omitted_site,rank,method,macro_site_worst_balanced_log_loss
cleveland,1,psmask:v4_structured_policy_bank,0.6180607838860728
cleveland,2,psmask:v3_mcar_augmentation,0.620462812515077
cleveland,3,psmask:v2_prior_separated,0.623238356604252
cleveland,4,classical:logistic:site_class_balanced,0.6233994726049418
cleveland,5,psmask:v7_ane,0.6267443386548404
cleveland,6,psmask:v5_site_mask_dro_brier,0.6269183596865526
cleveland,7,classical:random_forest:site_class_balanced,0.6305066121158691
cleveland,8,psmask:v5_site_mask_dro,0.6318700585194651
cleveland,9,classical:logistic:site_class_balanced:source_oof_platt,0.6335388453144689
cleveland,10,psmask:v5_mask_only_dro,0.6398558957401012
cleveland,11,classical:xgboost:site_class_balanced:source_oof_platt,0.6484989686412509
cleveland,12,classical:random_forest:site_class_balanced:source_oof_platt,0.649840758845658
cleveland,13,classical:hist_gradient_boosting:site_class_balanced:source_oof_platt,0.655241608426155
cleveland,14,psmask:v5_site_only_dro,0.6617765355905744
cleveland,15,classical:lightgbm:site_class_balanced:source_oof_platt,0.6654316296506216
cleveland,16,classical:xgboost:site_class_balanced,0.6666355639854059
cleveland,17,classical:logistic:pooled:source_oof_platt,0.6727703664829315
cleveland,18,psmask:v0_pooled_erm,0.6827259290032032
cleveland,19,classical:catboost:site_class_balanced:source_oof_platt,0.6859017900878998
cleveland,20,classical:elastic_net_logistic:site_class_balanced:source_oof_platt,0.6917719425595786
cleveland,21,modern_2026:ft_transformer:pooled:source_oof_platt,0.696172778860315
cleveland,22,classical:mask_logistic:pooled:source_oof_platt,0.6962336275100885
cleveland,23,classical:core_logistic:pooled:source_oof_platt,0.7006296963791763
cleveland,24,mirrams:mirrams_equation9,0.7041039892387938
cleveland,25,classical:catboost:site_class_balanced,0.7068361067146993
cleveland,26,psmask:v1_site_balanced,0.7093622644085427
cleveland,27,classical:hist_gradient_boosting:site_class_balanced,0.7184482453052854
cleveland,28,tabpfn_v3:tabpfn:pooled:source_oof_platt,0.7199941211457923
cleveland,29,classical:lightgbm:site_class_balanced,0.7205555981018764
cleveland,30,modern_2026:tabm:pooled:source_oof_platt,0.736285137875789
cleveland,31,modern_2026:tabicl:pooled:source_oof_platt,0.7376695949096658
cleveland,32,classical:logistic:pooled,0.7433279139147843
cleveland,33,classical:core_logistic:pooled,0.7569822065407242
cleveland,34,modern_v2:ebm:site_class_balanced:source_oof_platt,0.763400335727867
cleveland,35,modern_v2:tabpfn:pooled:source_oof_platt,0.7652444625135426
cleveland,36,modern_2026:realmlp:pooled:source_oof_platt,0.8205543352503666
cleveland,37,tabpfn_v3:tabpfn:pooled,0.8318482609480345
cleveland,38,modern_v2:ebm:site_class_balanced,0.8388665407906334
cleveland,39,modern_2026:tabicl:pooled,0.8448192678351975
cleveland,40,modern_2026:ft_transformer:pooled,0.8554662875215531
cleveland,41,modern_v2:tabpfn:pooled,0.8933342315431839
cleveland,42,classical:elastic_net_logistic:site_class_balanced,0.8957770240605246
cleveland,43,classical:mask_logistic:pooled,0.9159432591815033
cleveland,44,modern_2026:realmlp:pooled,1.0302900418166627
cleveland,45,modern_2026:tabm:pooled,1.0824945578804723
hungary,1,psmask:v2_prior_separated,0.627517665889906
hungary,2,classical:random_forest:site_class_balanced,0.6342614682600828
hungary,3,psmask:v7_ane,0.6425439912291644
hungary,4,classical:random_forest:site_class_balanced:source_oof_platt,0.6434061775042114
hungary,5,psmask:v3_mcar_augmentation,0.6451126220364982
hungary,6,psmask:v5_site_mask_dro_brier,0.6510096706160377
hungary,7,psmask:v4_structured_policy_bank,0.6525765125200819
hungary,8,psmask:v5_mask_only_dro,0.6543946366886025
hungary,9,psmask:v5_site_mask_dro,0.6566237780536679
hungary,10,psmask:v0_pooled_erm,0.6574368009505872
hungary,11,classical:logistic:site_class_balanced:source_oof_platt,0.6591515558815616
hungary,12,classical:logistic:site_class_balanced,0.6600156539562801
hungary,13,classical:xgboost:site_class_balanced:source_oof_platt,0.6604370959738303
hungary,14,psmask:v5_site_only_dro,0.6682462881672219
hungary,15,classical:hist_gradient_boosting:site_class_balanced:source_oof_platt,0.6741611799066981
hungary,16,mirrams:mirrams_equation9,0.6791538737600332
hungary,17,classical:logistic:pooled:source_oof_platt,0.6822863651096167
hungary,18,classical:lightgbm:site_class_balanced:source_oof_platt,0.6834358696109932
hungary,19,classical:catboost:site_class_balanced:source_oof_platt,0.6882971163675142
hungary,20,classical:elastic_net_logistic:site_class_balanced:source_oof_platt,0.6903684992447259
hungary,21,modern_2026:ft_transformer:pooled:source_oof_platt,0.6920897616521304
hungary,22,classical:xgboost:site_class_balanced,0.698263884784169
hungary,23,classical:core_logistic:pooled:source_oof_platt,0.702454212256778
hungary,24,psmask:v1_site_balanced,0.7130383189573292
hungary,25,classical:mask_logistic:pooled:source_oof_platt,0.7133966888743027
hungary,26,tabpfn_v3:tabpfn:pooled:source_oof_platt,0.729092721714442
hungary,27,modern_2026:tabm:pooled:source_oof_platt,0.7341486612883129
hungary,28,modern_2026:tabicl:pooled:source_oof_platt,0.7456543985917206
hungary,29,classical:catboost:site_class_balanced,0.7476357810354758
hungary,30,classical:logistic:pooled,0.7532937059517244
