method,individual_seed_mean,individual_seed_sd,individual_seed_min,individual_seed_max,seed_count,ensemble_primary_balanced_log_loss
classical:catboost:site_class_balanced,0.714319700386827,0.015135819531935667,0.6996983360061122,0.7299222346403907,3,0.7058646708357421
classical:catboost:site_class_balanced:source_oof_platt,0.6789629259313302,0.007054000750567292,0.6743120641704468,0.6870793878296364,3,0.6761499761727642
classical:core_logistic:pooled,0.7465815831616771,0.0,0.7465815831616771,0.7465815831616771,3,0.7465815831616771
classical:core_logistic:pooled:source_oof_platt,0.6813208362571174,0.0,0.6813208362571174,0.6813208362571174,3,0.6813208362571173
classical:elastic_net_logistic:site_class_balanced,1.0386628258927184,0.19220991635536755,0.8906392355202909,1.2558926872063563,3,0.9244704012799048
classical:elastic_net_logistic:site_class_balanced:source_oof_platt,0.6921699403464009,0.0018264660380467688,0.6902211837687566,0.6938427017957836,3,0.6910735674418822
classical:hist_gradient_boosting:site_class_balanced,0.7371838867313324,0.0,0.7371838867313325,0.7371838867313325,3,0.7371838867313324
classical:hist_gradient_boosting:site_class_balanced:source_oof_platt,0.6571831703019988,0.0,0.6571831703019988,0.6571831703019988,3,0.6571831703019989
classical:lightgbm:site_class_balanced,0.7361084608569962,0.0022789998968464824,0.7334790691370898,0.7375157035553204,3,0.7349720997684674
classical:lightgbm:site_class_balanced:source_oof_platt,0.6662801290258895,0.0018844091903835395,0.6641852741192567,0.6678371496374402,3,0.6655986049178377
classical:logistic:pooled,0.7453828161352893,0.0,0.7453828161352893,0.7453828161352893,3,0.7453828161352893
classical:logistic:pooled:source_oof_platt,0.6618722304090776,0.0,0.6618722304090776,0.6618722304090776,3,0.6618722304090776
classical:logistic:site_class_balanced,0.6345911813700964,0.0,0.6345911813700964,0.6345911813700964,3,0.6345911813700964
classical:logistic:site_class_balanced:source_oof_platt,0.6384899956902537,0.0,0.6384899956902537,0.6384899956902537,3,0.6384899956902537
classical:mask_logistic:pooled,1.0382589501885302,0.0,1.0382589501885302,1.0382589501885302,3,1.0382589501885302
classical:mask_logistic:pooled:source_oof_platt,0.7083343477161647,0.0,0.7083343477161648,0.7083343477161648,3,0.7083343477161648
classical:random_forest:site_class_balanced,0.62715346940773,0.0018147583810468088,0.6250591533141093,0.6282616852679721,3,0.6270313025175467
classical:random_forest:site_class_balanced:source_oof_platt,0.6398443295833899,0.0004436059870658843,0.639471903035593,0.6403351083209128,3,0.6390991033491517
classical:xgboost:site_class_balanced,0.6702430468974425,0.0015637723705626857,0.6692283596153143,0.6720439095049507,3,0.6697173061226461
classical:xgboost:site_class_balanced:source_oof_platt,0.6461061522555838,0.0012150195739245747,0.6449106482622106,0.6473397896321867,3,0.6458281629296496
psmask:v0_pooled_erm,0.6930534072187017,0.023685447678980606,0.6718285256062106,0.7186033421975162,3,0.6477786383237008
psmask:v1_site_balanced,0.7194788145977341,0.03435645282991029,0.6941550569028465,0.7585867956761649,3,0.6807228543773371
psmask:v2_prior_separated,0.6385629922333095,0.012860487076311941,0.6276074172682223,0.6527225802622981,3,0.6025088335421755
psmask:v3_mcar_augmentation,0.643620198143494,0.008307955209452376,0.6352292340216666,0.6518425785880178,3,0.6159557678546476
psmask:v4_structured_policy_bank,0.6531511164666335,0.051703587245764855,0.6159341903722215,0.712187741024632,3,0.6180713536874614
psmask:v5_mask_only_dro,0.650591686276437,0.0029122700036650416,0.6472592210551851,0.6526482049822631,3,0.6259485409171809
psmask:v5_site_mask_dro,0.6507675258117795,0.022670470840387726,0.6258979833144807,0.6702789940375613,3,0.624153283791868
psmask:v5_site_mask_dro_brier,0.6369389811703648,0.0269700208868581,0.6078703952164431,0.6611503093140058,3,0.6164417529017989
psmask:v5_site_only_dro,0.6735282502595564,0.01257026861283317,0.66511238479422,0.6879778410294176,3,0.6405003449640447
psmask:v7_ane,0.6459302036058877,0.018106088498480492,0.6287416034656585,0.6648319989890884,3,0.6261495073598315
