method,outer_target,policy,mask_replicate,class_0_n,class_0_log_loss,class_1_n,class_1_log_loss,balanced_log_loss
classical:catboost:site_class_balanced,cleveland,drop_advanced,0,164,0.454712149333914,139,0.4819207391434391,0.4683164442386766
classical:catboost:site_class_balanced,cleveland,drop_exercise,0,164,0.5317467785500264,139,0.6334221581869632,0.5825844683684949
classical:catboost:site_class_balanced,cleveland,drop_routine,0,164,1.1660261001607446,139,0.19025990165075998,0.6781430009057523
classical:catboost:site_class_balanced,cleveland,empirical_source,0,164,0.47575700144825117,139,0.5236375251182059,0.49969726328322855
classical:catboost:site_class_balanced,cleveland,empirical_source,1,164,0.49337939087293553,139,0.5105977738136951,0.5019885823433153
classical:catboost:site_class_balanced,cleveland,empirical_source,2,164,0.5006760408781299,139,0.4929382770436978,0.4968071589609139
classical:catboost:site_class_balanced,cleveland,empirical_source,3,164,0.5283097570414849,139,0.5114221404319739,0.5198659487367294
classical:catboost:site_class_balanced,cleveland,empirical_source,4,164,0.4817062221442168,139,0.5091777662256664,0.4954419941849416
classical:catboost:site_class_balanced,cleveland,empirical_source,5,164,0.5227760846189005,139,0.5458675271179233,0.5343218058684118
classical:catboost:site_class_balanced,cleveland,empirical_source,6,164,0.4991422755399449,139,0.5220591408734936,0.5106007082067192
classical:catboost:site_class_balanced,cleveland,empirical_source,7,164,0.5269578202642278,139,0.4928360329739305,0.5098969266190791
classical:catboost:site_class_balanced,cleveland,empirical_source,8,164,0.5397998941419674,139,0.5017284206074365,0.5207641573747019
classical:catboost:site_class_balanced,cleveland,empirical_source,9,164,0.5070722711780495,139,0.5092785971535463,0.5081754341657979
classical:catboost:site_class_balanced,cleveland,mar_age_sex_30,0,164,0.6361181727295611,139,0.4178803214553392,0.5269992470924502
classical:catboost:site_class_balanced,cleveland,mar_age_sex_30,1,164,0.6935902725792954,139,0.41296716790143684,0.5532787202403662
classical:catboost:site_class_balanced,cleveland,mar_age_sex_30,2,164,0.729740627184967,139,0.40941259973795147,0.5695766134614593
classical:catboost:site_class_balanced,cleveland,mar_age_sex_30,3,164,0.6867291136187959,139,0.4083044447043596,0.5475167791615777
classical:catboost:site_class_balanced,cleveland,mar_age_sex_30,4,164,0.6780429113256348,139,0.3880853578069037,0.5330641345662692
classical:catboost:site_class_balanced,cleveland,mar_age_sex_30,5,164,0.6893375560202952,139,0.4227545035416656,0.5560460297809804
classical:catboost:site_class_balanced,cleveland,mar_age_sex_30,6,164,0.7004358152435913,139,0.4377288048184968,0.569082310031044
classical:catboost:site_class_balanced,cleveland,mar_age_sex_30,7,164,0.709080194788242,139,0.429556459100153,0.5693183269441975
classical:catboost:site_class_balanced,cleveland,mar_age_sex_30,8,164,0.6887659905839955,139,0.40530306456490706,0.5470345275744513
classical:catboost:site_class_balanced,cleveland,mar_age_sex_30,9,164,0.6987314122131583,139,0.39328492972006013,0.5460081709666091
classical:catboost:site_class_balanced,cleveland,mcar_10,0,164,0.6756767592897313,139,0.3753240496641937,0.5255004044769624
classical:catboost:site_class_balanced,cleveland,mcar_10,1,164,0.7144750344517815,139,0.3826997617900231,0.5485873981209023
classical:catboost:site_class_balanced,cleveland,mcar_10,2,164,0.7083065505016177,139,0.38825564220548814,0.5482810963535529
classical:catboost:site_class_balanced,cleveland,mcar_10,3,164,0.7074719805568865,139,0.3876831418408787,0.5475775611988827
classical:catboost:site_class_balanced,cleveland,mcar_10,4,164,0.6703605615393362,139,0.3904570321142412,0.5304087968267888
classical:catboost:site_class_balanced,cleveland,mcar_10,5,164,0.6920107517346973,139,0.40645428441845516,0.5492325180765762
