method,outer_target,candidate_site_worst_balanced_log_loss,reference_site_worst_balanced_log_loss,reference_method,difference_candidate_minus_reference
psmask:v2_prior_separated,cleveland,0.5403202643559458,0.66816630766556,classical:logistic:site_class_balanced,-0.12784604330961413
psmask:v2_prior_separated,hungary,0.5274823364989838,0.5583177636115452,classical:logistic:site_class_balanced,-0.030835427112561375
psmask:v2_prior_separated,switzerland,0.6483541684929341,0.6232444340534636,classical:logistic:site_class_balanced,0.02510973443947051
psmask:v2_prior_separated,va_long_beach,0.6938785648208381,0.6886362201498166,classical:logistic:site_class_balanced,0.0052423446710214705
psmask:v5_mask_only_dro,cleveland,0.5842264764484201,0.66816630766556,classical:logistic:site_class_balanced,-0.08393983121713988
psmask:v5_mask_only_dro,hungary,0.5406102536029158,0.5583177636115452,classical:logistic:site_class_balanced,-0.017707510008629357
psmask:v5_mask_only_dro,switzerland,0.699206911466918,0.6232444340534636,classical:logistic:site_class_balanced,0.07596247741345441
psmask:v5_mask_only_dro,va_long_beach,0.6797505221504695,0.6886362201498166,classical:logistic:site_class_balanced,-0.00888569799934713
psmask:v5_site_mask_dro_brier,cleveland,0.5850119325475377,0.66816630766556,classical:logistic:site_class_balanced,-0.08315437511802226
psmask:v5_site_mask_dro_brier,hungary,0.5127379997590824,0.5583177636115452,classical:logistic:site_class_balanced,-0.04557976385246276
psmask:v5_site_mask_dro_brier,switzerland,0.6970241266884594,0.6232444340534636,classical:logistic:site_class_balanced,0.07377969263499573
psmask:v5_site_mask_dro_brier,va_long_beach,0.6709929526121161,0.6886362201498166,classical:logistic:site_class_balanced,-0.017643267537700513
classical:random_forest:site_class_balanced,cleveland,0.6166053737225791,0.66816630766556,classical:logistic:site_class_balanced,-0.05156093394298089
classical:random_forest:site_class_balanced,hungary,0.605340805289938,0.5583177636115452,classical:logistic:site_class_balanced,0.047023041678392885
classical:random_forest:site_class_balanced,switzerland,0.6259843001730764,0.6232444340534636,classical:logistic:site_class_balanced,0.002739866119612744
classical:random_forest:site_class_balanced,va_long_beach,0.6601947308845928,0.6886362201498166,classical:logistic:site_class_balanced,-0.02844148926522383
