method,outer_target,sex,both_classes_observed,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
classical:catboost:site_class_balanced,cleveland,1.0,True,206.0,0.5533980582524272,0.8360030511060259,0.8645874819862924,0.5044951429099371,0.5168431681823549,0.16716898890740656,0.17211938391572257,0.7524271844660194,0.7417048054919908,0.7901234567901234,0.7441860465116279,0.8421052631578947,0.6754385964912281,-0.15159167341317684,1.028752416320852,0.12435731651119566
classical:catboost:site_class_balanced:source_oof_platt,cleveland,1.0,True,206.0,0.5533980582524272,0.8358123569794049,0.8644140487480891,0.5221877166097056,0.5279990227431322,0.17152863660718334,0.1741133098379979,0.7669902912621359,0.7590579710144928,0.7983193277310925,0.7661290322580645,0.8333333333333334,0.6754385964912281,-0.02472765538452898,1.5658180363528547,0.12368257640351463
classical:core_logistic:pooled,cleveland,1.0,True,206.0,0.5533980582524272,0.8035850495804728,0.8100564522279843,0.5519862597231961,0.5769525660114854,0.18489898167327581,0.1954376777557017,0.7184466019417476,0.6994660564454614,0.7751937984496124,0.6944444444444444,0.8771929824561403,0.6491228070175439,-0.5541333710395305,1.2772521667501404,0.1787792497886397
classical:core_logistic:pooled:source_oof_platt,cleveland,1.0,True,206.0,0.5533980582524272,0.8035850495804728,0.8100564522279843,0.5581035599520715,0.547902789349637,0.18800075203583594,0.1840035004207924,0.7087378640776699,0.714816933638444,0.7142857142857143,0.78125,0.6578947368421053,0.6491228070175439,0.538763567535334,1.2079406344177397,0.1796491609044143
classical:elastic_net_logistic:site_class_balanced,cleveland,1.0,True,206.0,0.5533980582524272,0.7607742181540808,0.775608330947434,0.7150385534946241,0.674587688632287,0.25749063405810463,0.2402992063396493,0.5485436893203883,0.585812356979405,0.3673469387755102,0.8181818181818182,0.23684210526315788,0.4824561403508772,1.3053882176964715,1.1779200726236396,0.3112255146099421
classical:elastic_net_logistic:site_class_balanced:source_oof_platt,cleveland,1.0,True,206.0,0.5533980582524272,0.740655987795576,0.7552290104983718,0.6791603088289959,0.6794682919518354,0.2430137302967717,0.24316736785720078,0.6844660194174758,0.6855453852021358,0.7031963470319634,0.7333333333333333,0.6754385964912281,0.4298245614035088,0.14383909305742637,14.187527990519232,0.22122750710435335
classical:hist_gradient_boosting:site_class_balanced,cleveland,1.0,True,206.0,0.5533980582524272,0.8136918382913806,0.841336037236837,0.5376157352592374,0.5514635008618721,0.17823955890252507,0.18325079062243277,0.7572815533980582,0.7513348588863462,0.7863247863247863,0.7666666666666667,0.8070175438596491,0.6491228070175439,-0.07070817127681474,0.7472613350869602,0.14404544938473088
classical:hist_gradient_boosting:site_class_balanced:source_oof_platt,cleveland,1.0,True,206.0,0.5533980582524272,0.8136918382913806,0.841336037236837,0.5361109726670537,0.5445817900975171,0.17832650450133472,0.1820187777541805,0.7572815533980582,0.7513348588863462,0.7863247863247863,0.7666666666666667,0.8070175438596491,0.6491228070175439,-0.07737426399535167,1.4282328657075094,0.14389271390971556
classical:lightgbm:site_class_balanced,cleveland,1.0,True,206.0,0.5533980582524272,0.8114988558352403,0.8311260532613377,0.5331330096726746,0.5538615555641173,0.1767901950478537,0.18470008623012024,0.7524271844660194,0.7396071700991609,0.7935222672064778,0.7368421052631579,0.8596491228070176,0.6578947368421053,-0.23347676205576837,0.837478101141258,0.14812857010692038
classical:lightgbm:site_class_balanced:source_oof_platt,cleveland,1.0,True,206.0,0.5533980582524272,0.8113081617086194,0.8309037171189211,0.5358124191888293,0.5475492199462326,0.17776825801502544,0.18300000765563518,0.7524271844660194,0.7406559877955758,0.7918367346938775,0.7404580152671756,0.8508771929824561,0.6578947368421053,-0.19916064709191886,1.4838011995527849,0.14666557787352236
classical:logistic:pooled,cleveland,1.0,True,206.0,0.5533980582524272,0.8362890922959574,0.8756245169328878,0.5137858369640326,0.5369939365180608,0.17261808482030447,0.18182614783498652,0.7621359223300971,0.7462814645308924,0.8063241106719368,0.7338129496402878,0.8947368421052632,0.6929824561403509,-0.5318700339006096,1.1365524266762488,0.1304643428510318
classical:logistic:pooled:source_oof_platt,cleveland,1.0,True,206.0,0.5533980582524272,0.8362890922959574,0.8756245169328878,0.5026136129158794,0.5066958122787422,0.1657021075970282,0.1673597397171219,0.7233009708737864,0.7216819221967963,0.7466666666666667,0.7567567567567568,0.7368421052631579,0.6929824561403509,0.048114358414696544,1.3119170205022321,0.11904256437758606
classical:logistic:site_class_balanced,cleveland,1.0,True,206.0,0.5533980582524272,0.8137871853546911,0.8472833861570803,0.5424274481951779,0.5340171861425872,0.18042812540670286,0.17701375451970514,0.7378640776699029,0.7411327231121281,0.75,0.7941176470588235,0.7105263157894737,0.6666666666666666,0.4184562399713669,1.0631561607415454,0.17385079140090576
classical:logistic:site_class_balanced:source_oof_platt,cleveland,1.0,True,206.0,0.5533980582524272,0.8137871853546911,0.8472833861570803,0.5372303314472431,0.5338048553560744,0.17851970399956102,0.17703110027686123,0.7281553398058253,0.7302631578947368,0.7431192660550459,0.7788461538461539,0.7105263157894737,0.6666666666666666,0.29240037900235244,1.1845863844051683,0.1632921873774491
classical:mask_logistic:pooled,cleveland,1.0,True,206.0,0.5533980582524272,0.4838386727688787,0.548596345825492,0.8441371480716148,0.9182114226131686,0.30861347960950286,0.34066069983238195,0.5533980582524272,0.5,0.7125,0.5533980582524272,1.0,0.008771929824561403,20.080418123361373,-14.320015283973422,0.4977494871078575
classical:mask_logistic:pooled:source_oof_platt,cleveland,1.0,True,206.0,0.5533980582524272,0.4838386727688787,0.548596345825492,0.6881487735143812,0.6998995545080564,0.24750396165455488,0.25335551389606414,0.5485436893203883,0.4956140350877193,0.7084639498432602,0.551219512195122,0.9912280701754386,0.008771929824561403,9.784631206518775,-43.364667087432295,0.4977612695567217
classical:random_forest:site_class_balanced,cleveland,1.0,True,206.0,0.5533980582524272,0.8329519450800916,0.8611376317262045,0.5386644118888865,0.545683826107652,0.17819778438223954,0.18124721120394383,0.7378640776699029,0.7306445461479787,0.7711864406779662,0.7459016393442623,0.7982456140350878,0.6754385964912281,-0.1002252527424,1.9213096310493578,0.12620338966294564
classical:random_forest:site_class_balanced:source_oof_platt,cleveland,1.0,True,206.0,0.5533980582524272,0.8329519450800916,0.8611376317262045,0.5120257435929724,0.5168014168681503,0.16910955806028985,0.17089265474298615,0.7330097087378641,0.7294050343249427,0.759825327510917,0.7565217391304347,0.7631578947368421,0.6754385964912281,0.038961172773776365,1.316784096057997,0.12609337127950299
classical:xgboost:site_class_balanced,cleveland,1.0,True,206.0,0.5533980582524272,0.8331426392067125,0.8603163883115345,0.5053421404569064,0.5163331559549216,0.16722007192236138,0.17168404229477824,0.7427184466019418,0.7339816933638443,0.7782426778242678,0.744,0.8157894736842105,0.6929824561403509,-0.11131653637789335,1.0573205417671603,0.1278119206357352
classical:xgboost:site_class_balanced:source_oof_platt,cleveland,1.0,True,206.0,0.5533980582524272,0.8331426392067124,0.8603039119778371,0.5282592000642427,0.5363161366212073,0.17398062238668846,0.17757247092534478,0.7427184466019418,0.7339816933638443,0.7782426778242678,0.744,0.8157894736842105,0.6929824561403509,-0.12379637046615992,1.6788242513132356,0.127875927781273
classical:catboost:site_class_balanced,cleveland,0.0,True,97.0,0.25773195876288657,0.8577777777777778,0.7493169254276824,0.5157877356670286,0.48410258664395256,0.17119270763678437,0.15695864679668037,0.7628865979381443,0.8011111111111111,0.6567164179104478,0.5238095238095238,0.88,0.76,-1.3835795167817373,1.3432198534493665,0.1212729501342418
classical:catboost:site_class_balanced:source_oof_platt,cleveland,0.0,True,97.0,0.25773195876288657,0.8583333333333334,0.7522477928668188,0.5226125692533873,0.5141557673781117,0.17073600884094584,0.16630072438401025,0.7628865979381443,0.8011111111111111,0.6567164179104478,0.5238095238095238,0.88,0.76,-1.2168916232724185,2.042088023974485,0.10368975710673495
classical:core_logistic:pooled,cleveland,0.0,True,97.0,0.25773195876288657,0.8327777777777777,0.571452082268937,0.5318812031421682,0.5221730345640574,0.17724177394413435,0.17001623135065683,0.7525773195876289,0.7811111111111111,0.6363636363636364,0.5121951219512195,0.84,0.84,-1.1879038984169046,1.5707365334001033,0.14931277032225945
classical:core_logistic:pooled:source_oof_platt,cleveland,0.0,True,97.0,0.25773195876288657,0.8327777777777777,0.571452082268937,0.43769435061301254,0.5903953491292832,0.13953150919403134,0.20029637407283876,0.8144329896907216,0.7183333333333333,0.5909090909090909,0.6842105263157895,0.52,0.84,0.1561768970433193,1.4855070112417694,0.08491827917223177
classical:elastic_net_logistic:site_class_balanced,cleveland,0.0,True,97.0,0.25773195876288657,0.6883333333333334,0.45592979524987604,0.560562712795063,0.6665412251706714,0.18807788725519717,0.23485498209976874,0.7525773195876289,0.6375,0.45454545454545453,0.5263157894736842,0.4,0.44,-0.568115212949917,1.0220865648354003,0.17481485584659578
classical:elastic_net_logistic:site_class_balanced:source_oof_platt,cleveland,0.0,True,97.0,0.25773195876288657,0.6616666666666666,0.42229339816793343,0.6980818026859161,0.6856221189968729,0.2524643223708,0.246241877379165,0.4742268041237113,0.6066666666666667,0.4631578947368421,0.3142857142857143,0.88,0.36,-1.5255397634905226,9.041327417313802,0.5586509674833346
classical:hist_gradient_boosting:site_class_balanced,cleveland,0.0,True,97.0,0.25773195876288657,0.8411111111111113,0.7287913236361674,0.4743267237714321,0.4968226071255457,0.15317605188512626,0.16066524183823702,0.7835051546391752,0.7758333333333334,0.6440677966101694,0.5588235294117647,0.76,0.76,-0.9979171072814765,0.9572828542956764,0.11392559395803695
classical:hist_gradient_boosting:site_class_balanced:source_oof_platt,cleveland,0.0,True,97.0,0.25773195876288657,0.8411111111111113,0.7287913236361674,0.5128276096359226,0.5218263075136675,0.16634369448903133,0.170235404801693,0.7835051546391752,0.7758333333333334,0.6440677966101694,0.5588235294117647,0.76,0.76,-1.0063474445683818,1.8296582168666842,0.11476091239618039
classical:lightgbm:site_class_balanced,cleveland,0.0,True,97.0,0.25773195876288657,0.8361111111111111,0.6861886220525445,0.5490805278895278,0.5133192029411915,0.1846797598212575,0.16893012136078353,0.7319587628865979,0.7802777777777778,0.6285714285714286,0.4888888888888889,0.88,0.76,-1.2978554151244626,0.9832616831172953,0.1516971068452393
classical:lightgbm:site_class_balanced:source_oof_platt,cleveland,0.0,True,97.0,0.25773195876288657,0.8361111111111111,0.6861886220525445,0.5511039271794048,0.5329796550635312,0.1842684478563955,0.1755355713590442,0.7422680412371134,0.7872222222222223,0.6376811594202898,0.5,0.88,0.76,-1.2574308262590284,1.7428560534131887,0.14787092856722966
classical:logistic:pooled,cleveland,0.0,True,97.0,0.25773195876288657,0.895,0.848195005189742,0.45591717613221044,0.44157615158316266,0.14572440479683887,0.13889763758430876,0.7938144329896907,0.8088888888888889,0.6774193548387096,0.5675675675675675,0.84,0.84,-1.355751582576152,1.7103195545041383,0.08693918633057446
classical:logistic:pooled:source_oof_platt,cleveland,0.0,True,97.0,0.25773195876288657,0.895,0.848195005189742,0.4052292670310946,0.4611427018566712,0.12131740716746624,0.14320497260858525,0.8762886597938144,0.851388888888889,0.7692307692307693,0.7407407407407407,0.8,0.84,-0.48302535852489104,1.9741923840279227,0.05775987003365558
classical:logistic:site_class_balanced,cleveland,0.0,True,97.0,0.25773195876288657,0.8738888888888888,0.8130054923659841,0.4330918845178299,0.4682964379468554,0.13397368768090848,0.1475686044609726,0.8041237113402062,0.7766666666666666,0.6545454545454545,0.6,0.72,0.8,-0.8123369808533538,1.4621293981371266,0.08247594980234357
classical:logistic:site_class_balanced:source_oof_platt,cleveland,0.0,True,97.0,0.25773195876288657,0.8738888888888888,0.8130054923659841,0.4602858546251221,0.474386963686592,0.14451257735597794,0.1502534315537539,0.8144329896907216,0.7966666666666666,0.6785714285714286,0.6129032258064516,0.76,0.8,-0.9856239909754964,1.62915488260774,0.09236187455786729
classical:mask_logistic:pooled,cleveland,0.0,True,97.0,0.25773195876288657,0.5069444444444444,0.2604166666666667,1.2468242332587474,0.9127117007990686,0.48332587533596455,0.338630985240443,0.25773195876288657,0.5,0.4098360655737705,0.25773195876288657,1.0,0.0,-25.577609918209095,17.698485226930263,0.7540163007825853
classical:mask_logistic:pooled:source_oof_platt,cleveland,0.0,True,97.0,0.25773195876288657,0.5069444444444444,0.2604166666666667,0.7513395314120487,0.6983653686353354,0.2789729281559921,0.2525924959634423,0.26804123711340205,0.5069444444444444,0.4132231404958678,0.2604166666666667,1.0,0.0,-12.005510864741114,49.74997726217049,0.753963160172531
classical:random_forest:site_class_balanced,cleveland,0.0,True,97.0,0.25773195876288657,0.8783333333333333,0.8113958079797533,0.5588163747410763,0.5215060216909106,0.18620558046809435,0.16937066913509685,0.7422680412371134,0.7872222222222223,0.6376811594202898,0.5,0.88,0.88,-1.6358606941102882,2.7037954789983614,0.13776500656183263
classical:random_forest:site_class_balanced:source_oof_platt,cleveland,0.0,True,97.0,0.25773195876288657,0.8788888888888888,0.8121016903326944,0.5075066129596372,0.47838322516296067,0.1650129806918671,0.1527084711262613,0.7628865979381443,0.8011111111111111,0.6567164179104478,0.5238095238095238,0.88,0.88,-1.4400711253696958,1.8538694008647982,0.11376580543610162
classical:xgboost:site_class_balanced,cleveland,0.0,True,97.0,0.25773195876288657,0.8494444444444444,0.7105598857586235,0.5486321885066034,0.49776855599318487,0.18213010973353638,0.16164106775479892,0.7628865979381443,0.8011111111111111,0.6567164179104478,0.5238095238095238,0.88,0.76,-1.4884902138524922,1.250730382445231,0.1818074871811512
