method,macro_site_worst_mask_balanced_log_loss,worst_site_mask_balanced_log_loss,macro_site_worst_mask_balanced_brier,macro_site_worst_mask_aurc,macro_natural_roc_auc,macro_mcar_balanced_log_loss_auc,macro_mcar50_minus_natural_balanced_log_loss
psmask:v2_prior_separated,0.6025088335421755,0.6938785648208381,0.20810536316874548,0.17779476025954044,0.8183222613744907,0.5549607731446489,0.06547640181795288
psmask:v3_mcar_augmentation,0.6159557678546476,0.6718079621409632,0.21263620354691318,0.2221760938082798,0.803982814141414,0.5707105409654811,0.07161656427863843
psmask:v5_site_mask_dro_brier,0.6164417529017989,0.6970241266884594,0.2129041149798387,0.198960067418314,0.8120545766088467,0.5723563662565623,0.07777850454664025
psmask:v4_structured_policy_bank,0.6180713536874614,0.676198140288547,0.21420578409220986,0.21103852001116327,0.8064506454991865,0.5688945339267641,0.07344250265942945
psmask:v5_site_mask_dro,0.624153283791868,0.6978227528381729,0.2163789243131299,0.20530454092952005,0.8019242546835434,0.580163233910308,0.06564697905957197
psmask:v5_mask_only_dro,0.6259485409171809,0.699206911466918,0.21641049540479457,0.19875691617691882,0.8014861030595164,0.58333618316517,0.0732508815655326
psmask:v7_ane,0.6261495073598315,0.6665395209838701,0.21820826231295773,0.2937621350386807,0.8048828803801307,0.5838785497752047,0.0659672293979552
classical:random_forest:site_class_balanced,0.6270313025175467,0.6601947308845928,0.2188309931517895,0.35792730143590124,0.8046285995304854,0.5935835031080359,0.06334940347555043
classical:logistic:site_class_balanced,0.6345911813700964,0.6886362201498166,0.22174596008543676,0.3592609715049863,0.798880674017341,0.5885139348879691,0.0674053080181316
classical:logistic:site_class_balanced:source_oof_platt,0.6384899956902537,0.6941303307506914,0.22228743501662876,0.3219055159324563,0.798880674017341,0.5970258591098665,0.06568808212076288
classical:random_forest:site_class_balanced:source_oof_platt,0.6390991033491517,0.7016998237732319,0.22322175464029642,0.3552345379631161,0.804672465432439,0.5944250664348499,0.06233851045356607
psmask:v5_site_only_dro,0.6405003449640447,0.7393775502799708,0.22148260742117737,0.2055710934216181,0.8064839873055836,0.5938457599503559,0.0645949909712451
classical:xgboost:site_class_balanced:source_oof_platt,0.6458281629296496,0.7275525573408369,0.2269228076349568,0.3507464749550744,0.7943774513429247,0.6064760684827444,0.06306180685238402
psmask:v0_pooled_erm,0.6477786383237008,0.7520865629326617,0.2247321132533224,0.19528768090435278,0.8286153359350468,0.579466231323441,0.08336693674490209
classical:hist_gradient_boosting:site_class_balanced:source_oof_platt,0.6571831703019989,0.7336407476784872,0.23202814622186915,0.37906017772636585,0.7891140979403816,0.6102443589688883,0.07309648182446823
classical:logistic:pooled:source_oof_platt,0.6618722304090776,0.7463810483372346,0.230409965651697,0.280351051766328,0.8136760730750848,0.5905810809534482,0.08840363705329041
classical:lightgbm:site_class_balanced:source_oof_platt,0.6655986049178377,0.7584293194891203,0.23544097916207113,0.38995140584141563,0.7840989785758958,0.6198409498067304,0.07082315922035073
classical:xgboost:site_class_balanced,0.6697173061226461,0.797203303045217,0.22993856413984254,0.3657941512733573,0.7944370205032547,0.6169664227922458,0.08116045040773803
classical:catboost:site_class_balanced:source_oof_platt,0.6761499761727642,0.767251578611886,0.23670080003763197,0.3219748899622039,0.7970780290106465,0.6186421724491677,0.06857197638039361
modern_2026:ft_transformer:pooled:source_oof_platt,0.6791201065073693,0.808081389638471,0.23926540469264,0.2954436705457263,0.8054131102125524,0.6028018661094545,0.07236562683289305
psmask:v1_site_balanced,0.6807228543773371,0.7879792577752879,0.23725603723232946,0.21849436804575015,0.8036110277338113,0.6350302176234712,0.059142416520496316
classical:core_logistic:pooled:source_oof_platt,0.6813208362571173,0.7898184378813847,0.24125221500341515,0.20642612423626933,0.7815524656148031,0.6359357288605672,0.09093935194679825
