omitted_site,rank,method,macro_site_worst_balanced_log_loss
cleveland,1,router:equal_logit_blend,0.6324293758898986
cleveland,2,router:support_aware_router,0.6380617957955367
cleveland,3,router:selected_convex_blend,0.649969783858927
cleveland,4,control:logistic_structured,0.6662364886505326
cleveland,5,neural:v2_deepsets_smoke,0.6939554413727649
cleveland,6,neural_ensemble:v2_backbones_equal,0.70587463275498
cleveland,7,neural:v2_attention_smoke,0.7277129776091821
cleveland,8,control:logistic_natural,0.7698186791225461
hungary,1,router:selected_convex_blend,0.6393568171480754
hungary,2,router:equal_logit_blend,0.6398141034416853
hungary,3,router:support_aware_router,0.641504393542376
hungary,4,neural:v2_deepsets_smoke,0.6954397071097801
hungary,5,neural_ensemble:v2_backbones_equal,0.6958861084487523
hungary,6,neural:v2_attention_smoke,0.7116681910051196
hungary,7,control:logistic_structured,0.719229736012753
hungary,8,control:logistic_natural,0.8541365314771462
switzerland,1,router:equal_logit_blend,0.6034929605424387
switzerland,2,router:support_aware_router,0.6083449113170003
switzerland,3,router:selected_convex_blend,0.6214906548050773
switzerland,4,control:logistic_structured,0.6399427093702595
switzerland,5,neural_ensemble:v2_backbones_equal,0.6817157405576117
switzerland,6,neural:v2_attention_smoke,0.6827011937636985
switzerland,7,neural:v2_deepsets_smoke,0.6928188625728159
switzerland,8,control:logistic_natural,0.8034029419089653
va_long_beach,1,router:equal_logit_blend,0.6027384960300991
va_long_beach,2,router:support_aware_router,0.6075334582122428
va_long_beach,3,router:selected_convex_blend,0.6202789039991276
va_long_beach,4,control:logistic_structured,0.6365814193560864
va_long_beach,5,neural_ensemble:v2_backbones_equal,0.6939116530858858
va_long_beach,6,neural:v2_deepsets_smoke,0.694384727507693
va_long_beach,7,neural:v2_attention_smoke,0.7065987190808795
va_long_beach,8,control:logistic_natural,0.8068937512683626
