omitted_site,rank,method,macro_site_worst_balanced_log_loss
cleveland,1,router:equal_logit_blend,0.6226273919607089
cleveland,2,control:logistic_natural,0.6233994726049418
cleveland,3,neural_ensemble:v2_backbones_equal,0.6259244050826873
cleveland,4,router:support_aware_router,0.6267667960385944
cleveland,5,neural_ensemble:all_backbones_equal,0.6275841698815311
cleveland,6,control:random_forest_natural,0.6276699199367323
cleveland,7,router:selected_convex_blend,0.6289494881966776
cleveland,8,neural_ensemble:v5_backbones_equal,0.6313608233538209
cleveland,9,neural:v2_deepsets_equal_budget,0.6356316877109467
cleveland,10,neural:v5_attention_equal_budget,0.6371251585536636
cleveland,11,neural:v2_attention_equal_budget,0.6377455889003908
cleveland,12,control:logistic_structured,0.6381126149760477
cleveland,13,control:random_forest_structured,0.6382463764345658
cleveland,14,neural:v5_deepsets_equal_budget,0.6384581843294913
cleveland,15,control:histgb_structured,0.6647933934599799
cleveland,16,control:histgb_natural,0.7232591136781396
hungary,1,router:equal_logit_blend,0.6347178553154206
hungary,2,control:random_forest_natural,0.6356878211227721
hungary,3,router:support_aware_router,0.6362309850672653
hungary,4,neural_ensemble:all_backbones_equal,0.6364353413203238
hungary,5,neural_ensemble:v2_backbones_equal,0.6394708798795178
hungary,6,neural_ensemble:v5_backbones_equal,0.6397377216091981
hungary,7,neural:v5_attention_equal_budget,0.6411508077942228
hungary,8,router:selected_convex_blend,0.6427909483588082
hungary,9,neural:v2_attention_equal_budget,0.6493255267142422
hungary,10,neural:v2_deepsets_equal_budget,0.6498468921305339
hungary,11,neural:v5_deepsets_equal_budget,0.6529458916954275
hungary,12,control:logistic_natural,0.6600156539562801
hungary,13,control:random_forest_structured,0.6683090100091701
hungary,14,control:logistic_structured,0.6814694315634959
hungary,15,control:histgb_structured,0.6862429215278288
hungary,16,control:histgb_natural,0.7499284553694681
switzerland,1,neural:v5_attention_equal_budget,0.601670329008694
switzerland,2,neural_ensemble:all_backbones_equal,0.6026299175324409
switzerland,3,neural:v2_attention_equal_budget,0.6051518595988443
switzerland,4,neural_ensemble:v5_backbones_equal,0.6054250537242999
switzerland,5,neural_ensemble:v2_backbones_equal,0.6058720241729872
switzerland,6,router:equal_logit_blend,0.6115148723756186
switzerland,7,router:support_aware_router,0.615808900448159
switzerland,8,router:selected_convex_blend,0.6172878290155767
switzerland,9,neural:v2_deepsets_equal_budget,0.619739982565958
switzerland,10,neural:v5_deepsets_equal_budget,0.6212927783558722
switzerland,11,control:random_forest_natural,0.6262320923904844
switzerland,12,control:logistic_structured,0.627942717778368
switzerland,13,control:random_forest_structured,0.6381986404495487
switzerland,14,control:logistic_natural,0.6383734304756405
switzerland,15,control:histgb_structured,0.6630926103476485
switzerland,16,control:histgb_natural,0.7440508977359087
va_long_beach,1,control:random_forest_structured,0.5936918720561216
va_long_beach,2,neural_ensemble:v5_backbones_equal,0.5936953333197484
va_long_beach,3,neural_ensemble:all_backbones_equal,0.5937142995165461
va_long_beach,4,router:selected_convex_blend,0.5938804615876342
va_long_beach,5,router:equal_logit_blend,0.5950783061980423
va_long_beach,6,router:support_aware_router,0.5975154948970284
va_long_beach,7,neural_ensemble:v2_backbones_equal,0.5993759407905631
va_long_beach,8,neural:v5_deepsets_equal_budget,0.6000662779755301
va_long_beach,9,neural:v5_attention_equal_budget,0.6021541944253138
va_long_beach,10,neural:v2_deepsets_equal_budget,0.6025288586450345
va_long_beach,11,control:logistic_structured,0.6033398876485941
va_long_beach,12,control:histgb_structured,0.6067547050052602
va_long_beach,13,neural:v2_attention_equal_budget,0.6115552701244709
va_long_beach,14,control:random_forest_natural,0.6122622212919624
va_long_beach,15,control:logistic_natural,0.6165761684435229
va_long_beach,16,control:histgb_natural,0.6653679256337551
