method,reference_method,observed_difference,bootstrap_mean_difference,bootstrap_bias,percentile_ci_025,percentile_ci_975,basic_ci_025,basic_ci_975,probability_better_descriptive,contrast_id
neural:v2_deepsets_equal_budget,neural:v2_attention_equal_budget,0.000992293928631205,0.0006141471692245772,-0.00037814675940662775,-0.03205311509045177,0.025033839485101277,-0.023049251627838867,0.03403770294771418,0.4415,v2_deepsets_minus_attention
neural:v5_deepsets_equal_budget,neural:v5_attention_equal_budget,0.007665660643606742,0.007343716007743716,-0.00032194463586302565,-0.014748540913082656,0.024773578877770788,-0.009442257590557303,0.03007986220029614,0.203,v5_deepsets_minus_attention
neural:v5_attention_equal_budget,neural:v2_attention_equal_budget,-0.005419438889013528,-0.004721393076045939,0.0006980458129675895,-0.016876256160119514,0.006543982009319989,-0.017382859787347046,0.006037378382092458,0.786,v5_minus_v2_attention
neural:v5_deepsets_equal_budget,neural:v2_deepsets_equal_budget,0.001253927825962009,0.0020081757624732014,0.0007542479365111924,-0.00730234554406248,0.016464981217608823,-0.013957125565684805,0.009810201195986499,0.4095,v5_minus_v2_deepsets
neural_ensemble:all_backbones_equal,router:support_aware_router,-0.003989612050051217,-0.0032742821461700113,0.0007153299038812054,-0.011012392779809607,0.0051606452094633114,-0.013139869309565745,0.0030331686797071735,0.7885,router_fixed_comparisons
router:equal_logit_blend,router:support_aware_router,-0.003095937650314129,-0.002868975163893862,0.00022696248642026674,-0.006137719791996723,8.979808538809712e-05,-0.006281673386016355,-5.4155508631534635e-05,0.972,router_fixed_comparisons
neural_ensemble:v5_backbones_equal,router:support_aware_router,-0.0015258111109949235,-0.0014045324130292113,0.00012127869796571219,-0.010980172312043993,0.00832448749530562,-0.011376109717295467,0.007928550090054146,0.6185,router_fixed_comparisons
neural_ensemble:v2_backbones_equal,router:support_aware_router,-0.001419731631322807,-0.0016322229828032739,-0.0002124913514804669,-0.009449282611587914,0.006950665363124954,-0.009790128625770568,0.0066098193489423,0.6585,router_fixed_comparisons
router:selected_convex_blend,router:support_aware_router,0.0016466376769125324,0.003099352609569254,0.0014527149326567217,-0.002076807885489229,0.01067742069487881,-0.007384145341053746,0.0053700832393142935,0.132,router_fixed_comparisons
control:logistic_structured,control:logistic_natural,0.0031249816215299653,0.004362950900438042,0.0012379692789080765,-0.022143350424233203,0.03905710749855536,-0.03280714425549543,0.028393313667293134,0.4215,logistic_structured_minus_natural
control:random_forest_structured,control:random_forest_natural,0.009148461051863732,0.014996317527481921,0.005847856475618189,-0.01634106867013222,0.05228992821742324,-0.033993006113695774,0.034637990773859685,0.204,random_forest_structured_minus_natural
control:histgb_structured,control:histgb_natural,-0.06543069051913841,-0.06620046509312438,-0.0007697745739859707,-0.08518232719656402,-0.04951094590102578,-0.08135043513725104,-0.04567905384171281,1.0,histgb_structured_minus_natural
