method,fits,mean_fit_seconds,median_fit_seconds,family,mean_parameter_count,median_best_epoch
histgb_natural,240,1.2879359424999468,1.146414350005216,control,,
histgb_structured,240,1.6755645987507402,1.5380452000099467,control,,
logistic_natural,360,0.05688056583239808,0.0467762000043876,control,,
logistic_structured,360,0.2638770677780687,0.2567113999975845,control,,
random_forest_natural,240,0.8807820333325557,0.810942049996811,control,,
random_forest_structured,240,1.2775917733328241,1.2257907499879366,control,,
v2_attention_equal_budget,120,18.324132445832948,17.972172400011914,neural,71627.66666666667,5.0
v2_deepsets_equal_budget,120,18.583453411668838,18.13696770000388,neural,54603.666666666664,15.0
v5_attention_equal_budget,120,38.5673169700002,27.052575750014512,neural,71627.66666666667,5.0
v5_deepsets_equal_budget,120,27.829066179999305,25.995791099994676,neural,54603.666666666664,15.0
