method,track,outer_target,policy,mask_replicate,mean_observed_fraction,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
control:histgb_natural,dg_zero_shot,cleveland,drop_advanced,0,0.8461538461538459,303.0,0.45874587458745875,0.850938761186173,0.8372468641377294,0.4790586791347302,0.47835180001230065,0.15702400944347839,0.15667340608028296,0.7755775577557755,0.7773293560273733,0.7655172413793103,0.7350993377483444,0.7985611510791367,0.697841726618705,-0.202576362941858,0.9500656612308279,0.10967507308039191
control:histgb_structured,dg_zero_shot,cleveland,drop_advanced,0,0.8461538461538459,303.0,0.45874587458745875,0.8433058431303737,0.8221909057307266,0.49085527301539816,0.4885836039413942,0.16216843718351845,0.16135497389759557,0.768976897689769,0.7712317950517635,0.7602739726027398,0.7254901960784313,0.7985611510791367,0.7122302158273381,-0.24001097949656242,0.9741278831919116,0.11668194592248525
control:logistic_natural,dg_zero_shot,cleveland,drop_advanced,0,0.8461538461538459,303.0,0.45874587458745875,0.8656781891559923,0.8666531805074722,0.47098184545112237,0.48524073933168166,0.1509228051515534,0.15653446304920832,0.7887788778877888,0.780202667134585,0.746031746031746,0.831858407079646,0.6762589928057554,0.7410071942446043,0.4822516891987922,1.3002395897312586,0.11824013329605408
control:logistic_structured,dg_zero_shot,cleveland,drop_advanced,0,0.8461538461538459,303.0,0.45874587458745875,0.8548868222495174,0.8531890961310635,0.4802366887585447,0.494561226650723,0.15362361036460825,0.15853539558438257,0.7755775577557755,0.770200912440779,0.7424242424242424,0.784,0.7050359712230215,0.7410071942446043,0.31363651682230886,0.9435914161954356,0.1263276943323558
control:random_forest_natural,dg_zero_shot,cleveland,drop_advanced,0,0.8461538461538459,303.0,0.45874587458745875,0.846595894016494,0.8390688460698456,0.5105716471996806,0.5126932654339639,0.166274729531859,0.16726263860461082,0.7623762376237624,0.7591024741182664,0.7352941176470589,0.7518796992481203,0.7194244604316546,0.7050359712230215,-0.05754001796529323,1.760864271787349,0.1142511616236076
control:random_forest_structured,dg_zero_shot,cleveland,drop_advanced,0,0.8461538461538459,303.0,0.45874587458745875,0.8556764344621863,0.8370405345176027,0.4998245469280701,0.49396576971080586,0.16462871567647896,0.16213131097365943,0.759075907590759,0.7642788208457624,0.759075907590759,0.7012195121951219,0.8273381294964028,0.7553956834532374,-0.48060670252625365,1.4640053737601695,0.12037180522535113
control:histgb_natural,dg_zero_shot,cleveland,drop_exercise,0,0.6907844630616908,303.0,0.45874587458745875,0.7427618880505351,0.6689262263930505,0.6003284116232069,0.6098974360016137,0.20541259034476242,0.20866003982923675,0.7161716171617162,0.7147745218459378,0.6928571428571428,0.6879432624113475,0.697841726618705,0.539568345323741,0.09595172891181886,0.7659506427192082,0.21593511727677195
control:histgb_structured,dg_zero_shot,cleveland,drop_exercise,0,0.6907844630616908,303.0,0.45874587458745875,0.7326285313212845,0.6070366060988323,0.6028408279299043,0.5976340413442249,0.20637302800565246,0.20391960362517614,0.7128712871287128,0.7177575013160205,0.7128712871287128,0.6585365853658537,0.7769784172661871,0.4028776978417266,-0.22113944325117313,0.8077515223821408,0.22503481049140983
control:logistic_natural,dg_zero_shot,cleveland,drop_exercise,0,0.6907844630616908,303.0,0.45874587458745875,0.6976223898929637,0.603385090950657,0.6483325854975345,0.66816630766556,0.2276378331626817,0.23650499830196264,0.594059405940594,0.572359185822074,0.41148325358851673,0.6142857142857143,0.30935251798561153,0.4028776978417266,0.43586707664392416,1.1143809702731293,0.3091397508829602
control:logistic_structured,dg_zero_shot,cleveland,drop_exercise,0,0.6907844630616908,303.0,0.45874587458745875,0.7340761537111773,0.6754766112028481,0.6183180255995372,0.6365268070383626,0.21325609574272714,0.22067791074720144,0.6600660066006601,0.6475916827513599,0.5726141078838174,0.6764705882352942,0.49640287769784175,0.49640287769784175,0.32781034892489636,0.909997487343075,0.24089161507733728
control:random_forest_natural,dg_zero_shot,cleveland,drop_exercise,0,0.6907844630616908,303.0,0.45874587458745875,0.7647394279698192,0.6961361913221431,0.6000935116925942,0.6037055447656803,0.20476133636067156,0.20641640898504057,0.7557755775577558,0.756294964028777,0.7412587412587412,0.7210884353741497,0.762589928057554,0.5755395683453237,0.0476867090960485,2.28801013493949,0.20680854058054807
control:random_forest_structured,dg_zero_shot,cleveland,drop_exercise,0,0.6907844630616908,303.0,0.45874587458745875,0.7617564484997368,0.6627032547459034,0.5991186458682423,0.5883485923868941,0.20426951937322937,0.1994254727666378,0.6864686468646864,0.6961089664853484,0.7040498442367601,0.6208791208791209,0.8129496402877698,0.5971223021582733,-0.5947150103747297,1.377770668283901,0.2816433076466735
control:histgb_natural,dg_zero_shot,cleveland,drop_routine,0,0.6907844630616908,303.0,0.45874587458745875,0.8152307422354799,0.7514266332592197,0.5945785373740138,0.5730319249752988,0.19150067735644,0.18385884169818542,0.7524752475247525,0.7625679943849799,0.7663551401869159,0.6758241758241759,0.8848920863309353,0.6474820143884892,-0.7172820168984465,0.7453095430839191,0.20077115852110905
