method,reference_method,observed_difference,bootstrap_mean_difference,bootstrap_bias,percentile_ci_025,percentile_ci_975,basic_ci_025,basic_ci_975,probability_better_descriptive,contrast_id
psmask10:v4_structured_policy_bank,control:random_forest_natural,-0.02500492963783918,-0.025641552400032245,-0.0006366227621930655,-0.048843275647676085,-0.0025783718541295864,-0.04743148742154877,-0.001166583628002274,0.984,ten_seed_family_vs_random_forest
psmask10:v2_prior_separated,control:random_forest_natural,-0.022028947739900606,-0.022209752043145382,-0.0001808043032447762,-0.04722755824432057,0.004319221703440785,-0.048377117183241995,0.0031696627645193542,0.953,ten_seed_family_vs_random_forest
psmask10:v3_mcar_augmentation,control:random_forest_natural,-0.01891580800963122,-0.01616162818916355,0.0027541798204676685,-0.04705126790363343,0.016925118078294624,-0.05475673409755706,0.009219651884370995,0.839,ten_seed_family_vs_random_forest
psmask10:v5_site_mask_dro_brier,control:random_forest_natural,-0.014650674288511079,-0.01374071632526291,0.0009099579632481682,-0.042459915911131386,0.01396139663172008,-0.04326274520874224,0.01315856733410923,0.822,ten_seed_family_vs_random_forest
psmask10:v5_mask_only_dro,control:random_forest_natural,-0.014273423125205964,-0.013949988157117387,0.00032343496808857723,-0.04349324281656199,0.01660153901378888,-0.04514838526420081,0.014946396566150065,0.8135,ten_seed_family_vs_random_forest
psmask10:v5_site_mask_dro,control:random_forest_natural,-0.0033436799285986307,-0.004289315686659455,-0.0009456357580608244,-0.0342863475025947,0.026083728294967412,-0.032771088152164674,0.027598987645397435,0.618,ten_seed_family_vs_random_forest
psmask10:v7_ane,control:random_forest_natural,-0.00295915739083652,0.0010653019417910209,0.004024459332627541,-0.022858875326623854,0.034382585709683305,-0.040300900491356345,0.016940560544950814,0.5155,ten_seed_family_vs_random_forest
psmask10:v5_site_only_dro,control:random_forest_natural,0.001537940475940358,0.00036590855981864155,-0.0011720319161217165,-0.030981151054994476,0.030819914856481438,-0.027744033904600722,0.034057032006875196,0.483,ten_seed_family_vs_random_forest
psmask10:v0_pooled_erm,control:random_forest_natural,0.013656692373440471,0.015523259348391662,0.001866566974951191,-0.009525362953925573,0.04115789551678869,-0.013844510769907746,0.036838747700806515,0.118,ten_seed_family_vs_random_forest
psmask10:v1_site_balanced,control:random_forest_natural,0.060992825220630875,0.06290766663538856,0.001914841414757687,0.019964027702056956,0.1105539557939842,0.011431694647277557,0.10202162273920479,0.001,ten_seed_family_vs_random_forest
psmask10:v0_pooled_erm,psmask3:v0_pooled_erm,-0.008658932264772545,-0.008110661236169693,0.0005482710286028522,-0.031487940144190256,0.008813289076036348,-0.026131153605581436,0.014170075614645165,0.7675,ten_seed_minus_three_seed:v0_pooled_erm
psmask10:v1_site_balanced,psmask3:v1_site_balanced,0.00573298452878146,0.0030891158028988784,-0.002643868725882581,-0.018648546407218986,0.017976031599751866,-0.006510062542188947,0.030114515464781905,0.318,ten_seed_minus_three_seed:v1_site_balanced
psmask10:v2_prior_separated,psmask3:v2_prior_separated,0.00092523240341158,0.00251534801193997,0.00159011560852839,-0.00899817953243132,0.014845723816385256,-0.012995259009562096,0.01084864433925448,0.3455,ten_seed_minus_three_seed:v2_prior_separated
psmask10:v3_mcar_augmentation,psmask3:v3_mcar_augmentation,-0.009408562178791047,-0.006846347347737025,0.0025622148310540218,-0.014280636129720331,0.0025431439064547115,-0.021360268264036805,-0.004536488227861762,0.946,ten_seed_minus_three_seed:v3_mcar_augmentation
psmask10:v4_structured_policy_bank,psmask3:v4_structured_policy_bank,-0.0176132696398128,-0.016243689910425047,0.0013695797293877543,-0.025392071535981726,-0.007223756476666135,-0.028002782802959467,-0.009834467743643875,0.9995,ten_seed_minus_three_seed:v4_structured_policy_bank
psmask10:v5_site_only_dro,psmask3:v5_site_only_dro,-0.01349939080261664,-0.01290248093279178,0.0005969098698248593,-0.025960467370596107,-0.0014428626411452324,-0.025555918964088046,-0.0010383142346371728,0.9875,ten_seed_minus_three_seed:v5_site_only_dro
psmask10:v5_mask_only_dro,psmask3:v5_mask_only_dro,-0.014758950356899114,-0.014036174706484082,0.0007227756504150327,-0.02062019275492956,-0.00702917081923871,-0.02248872989455952,-0.00889770795886867,0.9985,ten_seed_minus_three_seed:v5_mask_only_dro
psmask10:v5_site_mask_dro,psmask3:v5_site_mask_dro,-0.0020339500349788597,-0.004021202474327073,-0.0019872524393482133,-0.012505636958029313,0.0024639318329985707,-0.00653183190295629,0.008437736888071593,0.857,ten_seed_minus_three_seed:v5_site_mask_dro
psmask10:v5_site_mask_dro_brier,psmask3:v5_site_mask_dro_brier,-0.005629413504822267,-0.0033613590501807514,0.0022680544546415157,-0.010232910555158556,0.004624455166354025,-0.015883282175998558,-0.0010259164544859783,0.8275,ten_seed_minus_three_seed:v5_site_mask_dro_brier
psmask10:v7_ane,psmask3:v7_ane,-0.003645651065180333,-0.002837697805759703,0.0008079532594206301,-0.012446737878293337,0.004272121395632333,-0.011563423525992999,0.0051554357479326705,0.773,ten_seed_minus_three_seed:v7_ane
psmask10:v4_structured_policy_bank,psmask10:v2_prior_separated,-0.0029759818979385733,-0.0031228357135257307,-0.00014685381558715745,-0.01185868731805063,0.00372844461344906,-0.009680408409326206,0.005906723522173484,0.7745,ten_seed_v4_minus_v2
