method,macro_site_worst_mask_balanced_log_loss,worst_site_mask_balanced_log_loss,macro_site_worst_mask_balanced_brier,macro_site_worst_mask_aurc,macro_natural_roc_auc,macro_mcar_balanced_log_loss_auc,macro_mcar50_minus_natural_balanced_log_loss
psmask10:v4_structured_policy_bank,0.6004580840476486,0.664594593311332,0.20665079082262,0.18644557653073507,0.8181956595576213,0.5587598125889243,0.07054758461459948
psmask3:v2_prior_separated,0.6025088335421755,0.6938785648208381,0.20810536316874548,0.17779476025954044,0.8183222613744907,0.5549607731446489,0.06547640181795288
psmask10:v2_prior_separated,0.6034340659455871,0.6723574158826211,0.2074308267191406,0.1825245553144905,0.8165371390728581,0.5595004187036228,0.06851991784727815
psmask10:v3_mcar_augmentation,0.6065472056758565,0.6789033288413795,0.20830773121291454,0.1927493451627765,0.805687900762694,0.568819971261059,0.06219477499604875
psmask10:v5_site_mask_dro_brier,0.6108123393969767,0.6971172101534573,0.21041695599286847,0.19680039109891323,0.810964618621685,0.5701716111208204,0.06953813960241963
psmask10:v5_mask_only_dro,0.6111895905602818,0.6904690455831761,0.2101766742118361,0.18084144662100698,0.8134360830661242,0.5710811787653356,0.06804551021747955
psmask3:v3_mcar_augmentation,0.6159557678546476,0.6718079621409632,0.21263620354691318,0.2221760938082798,0.803982814141414,0.5707105409654811,0.07161656427863843
psmask3:v5_site_mask_dro_brier,0.6164417529017989,0.6970241266884594,0.2129041149798387,0.198960067418314,0.8120545766088467,0.5723563662565623,0.07777850454664025
psmask3:v4_structured_policy_bank,0.6180713536874614,0.676198140288547,0.21420578409220986,0.21103852001116327,0.8064506454991865,0.5688945339267641,0.07344250265942945
psmask10:v5_site_mask_dro,0.6221193337568891,0.696564039728941,0.2152411631508009,0.20467327868454926,0.8040214118142018,0.578941484496857,0.06593997211675225
psmask10:v7_ane,0.6225038562946512,0.6547629928577149,0.21643728810767496,0.276692691858341,0.8042582821360982,0.5830946729391684,0.06413342630838578
psmask3:v5_site_mask_dro,0.624153283791868,0.6978227528381729,0.2163789243131299,0.20530454092952005,0.8019242546835434,0.580163233910308,0.06564697905957197
control:random_forest_natural,0.6254630136854877,0.6650653908660639,0.21827200094570104,0.3504020139235545,0.8035355254769719,0.5928120808911683,0.06461649553388794
psmask3:v5_mask_only_dro,0.6259485409171809,0.699206911466918,0.21641049540479457,0.19875691617691882,0.8014861030595164,0.58333618316517,0.0732508815655326
psmask3:v7_ane,0.6261495073598315,0.6665395209838701,0.21820826231295773,0.2937621350386807,0.8048828803801307,0.5838785497752047,0.0659672293979552
psmask10:v5_site_only_dro,0.6270009541614281,0.7112347324638112,0.2164496148309304,0.19545899661677088,0.8128443144079388,0.5840283524438405,0.06682478779992725
control:logistic_natural,0.6345911813700964,0.6886362201498166,0.22174596008543676,0.3592609715049863,0.798880674017341,0.5885139348879691,0.06740530801813158
psmask10:v0_pooled_erm,0.6391197060589282,0.7510668853973446,0.22248044129561986,0.19506724611577064,0.8154542808489784,0.5849193246728758,0.07209257491755104
psmask3:v5_site_only_dro,0.6405003449640447,0.7393775502799708,0.22148260742117737,0.2055710934216181,0.8064839873055836,0.5938457599503559,0.0645949909712451
psmask3:v0_pooled_erm,0.6477786383237008,0.7520865629326617,0.2247321132533224,0.19528768090435278,0.8286153359350468,0.579466231323441,0.08336693674490209
psmask3:v1_site_balanced,0.6807228543773371,0.7879792577752879,0.23725603723232946,0.21849436804575015,0.8036110277338113,0.6350302176234712,0.059142416520496316
psmask10:v1_site_balanced,0.6864558389061186,0.8269535093582825,0.24066685111693858,0.2088522668007618,0.8183314024989731,0.6200292449243896,0.06324074196452134
