omitted_site,rank,method,macro_site_worst_balanced_log_loss
cleveland,1,psmask10:v4_structured_policy_bank,0.6120725345927223
cleveland,2,psmask10:v2_prior_separated,0.61618670606246
cleveland,3,psmask3:v4_structured_policy_bank,0.6180607838860728
cleveland,4,psmask10:v3_mcar_augmentation,0.6199515952297133
cleveland,5,psmask3:v3_mcar_augmentation,0.620462812515077
cleveland,6,psmask10:v5_site_mask_dro_brier,0.6221497928961873
cleveland,7,psmask3:v2_prior_separated,0.623238356604252
cleveland,8,control:logistic_natural,0.6233994726049418
cleveland,9,psmask3:v7_ane,0.6267443386548404
cleveland,10,psmask3:v5_site_mask_dro_brier,0.6269183596865526
cleveland,11,psmask10:v7_ane,0.6275160780058447
cleveland,12,control:random_forest_natural,0.6276699199367323
cleveland,13,psmask10:v5_mask_only_dro,0.6301258504581119
cleveland,14,psmask3:v5_site_mask_dro,0.6318700585194651
cleveland,15,psmask10:v5_site_mask_dro,0.6340483914688543
cleveland,16,psmask3:v5_mask_only_dro,0.6398558957401012
cleveland,17,psmask10:v5_site_only_dro,0.6449908906294805
cleveland,18,psmask3:v5_site_only_dro,0.6617765355905744
cleveland,19,psmask10:v0_pooled_erm,0.6650287423970042
cleveland,20,psmask3:v0_pooled_erm,0.6827259290032032
cleveland,21,psmask3:v1_site_balanced,0.7093622644085427
cleveland,22,psmask10:v1_site_balanced,0.7192454241098337
hungary,1,psmask3:v2_prior_separated,0.627517665889906
hungary,2,psmask10:v4_structured_policy_bank,0.6286156274132572
hungary,3,psmask10:v2_prior_separated,0.631654565426262
hungary,4,psmask10:v7_ane,0.6336776530196918
hungary,5,psmask10:v3_mcar_augmentation,0.635203265723646
hungary,6,psmask10:v5_mask_only_dro,0.6353679409668155
hungary,7,control:random_forest_natural,0.6356878211227721
hungary,8,psmask3:v7_ane,0.6425439912291644
hungary,9,psmask3:v3_mcar_augmentation,0.6451126220364982
hungary,10,psmask10:v5_site_mask_dro_brier,0.6453729313384053
hungary,11,psmask10:v5_site_only_dro,0.6471142136349481
hungary,12,psmask3:v5_site_mask_dro_brier,0.6510096706160377
hungary,13,psmask3:v4_structured_policy_bank,0.6525765125200819
hungary,14,psmask3:v5_mask_only_dro,0.6543946366886025
hungary,15,psmask3:v5_site_mask_dro,0.6566237780536679
hungary,16,psmask10:v5_site_mask_dro,0.6570353731733426
hungary,17,psmask3:v0_pooled_erm,0.6574368009505872
hungary,18,control:logistic_natural,0.6600156539562801
hungary,19,psmask10:v0_pooled_erm,0.6621080508863727
hungary,20,psmask3:v5_site_only_dro,0.6682462881672219
hungary,21,psmask3:v1_site_balanced,0.7130383189573292
hungary,22,psmask10:v1_site_balanced,0.7222012772770626
switzerland,1,psmask10:v5_site_mask_dro_brier,0.5820440491448163
switzerland,2,psmask10:v4_structured_policy_bank,0.582064926558194
switzerland,3,psmask10:v3_mcar_augmentation,0.5824284979540155
switzerland,4,psmask10:v5_mask_only_dro,0.5847631055526504
switzerland,5,psmask10:v2_prior_separated,0.5854353763270507
switzerland,6,psmask3:v2_prior_separated,0.5872270552252559
switzerland,7,psmask3:v5_site_mask_dro_brier,0.5895809616395787
switzerland,8,psmask3:v3_mcar_augmentation,0.5973383697592091
switzerland,9,psmask10:v5_site_only_dro,0.5989230280606338
switzerland,10,psmask10:v5_site_mask_dro,0.6000891386191545
switzerland,11,psmask3:v5_mask_only_dro,0.6015290840672685
switzerland,12,psmask3:v4_structured_policy_bank,0.6029523601899246
switzerland,13,psmask3:v5_site_only_dro,0.6075412765254026
switzerland,14,psmask3:v5_site_mask_dro,0.6085225044845725
switzerland,15,psmask10:v7_ane,0.6170708833794382
switzerland,16,psmask3:v7_ane,0.6226235300701695
switzerland,17,control:random_forest_natural,0.6262320923904844
switzerland,18,psmask10:v0_pooled_erm,0.6275380513395464
switzerland,19,psmask3:v0_pooled_erm,0.637942493220299
switzerland,20,control:logistic_natural,0.6383734304756405
switzerland,21,psmask3:v1_site_balanced,0.6449707199113538
switzerland,22,psmask10:v1_site_balanced,0.6647533721488477
va_long_beach,1,psmask3:v2_prior_separated,0.5720522564492879
va_long_beach,2,psmask10:v4_structured_policy_bank,0.5790792476264207
va_long_beach,3,psmask10:v2_prior_separated,0.5804596159665758
va_long_beach,4,psmask10:v3_mcar_augmentation,0.588605463796051
va_long_beach,5,psmask10:v5_site_mask_dro_brier,0.5936825842084973
va_long_beach,6,psmask10:v5_mask_only_dro,0.5945014652635496
va_long_beach,7,psmask10:v5_site_mask_dro,0.5973044317662052
va_long_beach,8,psmask3:v5_site_mask_dro_brier,0.5982580196650265
va_long_beach,9,psmask3:v4_structured_policy_bank,0.5986957581537661
va_long_beach,10,psmask3:v5_site_mask_dro,0.5995967941097663
va_long_beach,11,psmask3:v3_mcar_augmentation,0.600909267107806
va_long_beach,12,psmask10:v0_pooled_erm,0.6018039796127894
va_long_beach,13,psmask3:v5_mask_only_dro,0.6080145471727513
va_long_beach,14,psmask10:v7_ane,0.6117508107736299
va_long_beach,15,control:random_forest_natural,0.6122622212919624
va_long_beach,16,psmask3:v7_ane,0.6126861694851521
va_long_beach,17,psmask3:v0_pooled_erm,0.6130093301207138
va_long_beach,18,control:logistic_natural,0.6165761684435229
va_long_beach,19,psmask10:v5_site_only_dro,0.6169756843206501
va_long_beach,20,psmask3:v5_site_only_dro,0.6244372795729798
va_long_beach,21,psmask10:v1_site_balanced,0.6396232820887308
va_long_beach,22,psmask3:v1_site_balanced,0.6555201142321235
