revision,mechanism,batch_size,acceptance_rate,episodes
v1_learned_mean,conditional_scale,32,0.965,200
v1_learned_mean,conditional_scale,64,0.985,200
v1_learned_mean,conditional_scale,128,0.985,200
v1_learned_mean,conditional_scale,256,0.945,200
v1_learned_mean,conditional_scale,512,0.935,200
v1_learned_mean,conditional_translation,32,0.69,200
v1_learned_mean,conditional_translation,64,0.555,200
v1_learned_mean,conditional_translation,128,0.355,200
v1_learned_mean,conditional_translation,256,0.285,200
v1_learned_mean,conditional_translation,512,0.23,200
v1_learned_mean,covariance_shear,32,1.0,200
v1_learned_mean,covariance_shear,64,1.0,200
v1_learned_mean,covariance_shear,128,1.0,200
v1_learned_mean,covariance_shear,256,1.0,200
v1_learned_mean,covariance_shear,512,0.995,200
v1_learned_mean,outcome_dependent_dropout,32,0.645,200
v1_learned_mean,outcome_dependent_dropout,64,0.43,200
v1_learned_mean,outcome_dependent_dropout,128,0.325,200
v1_learned_mean,outcome_dependent_dropout,256,0.215,200
v1_learned_mean,outcome_dependent_dropout,512,0.155,200
v1_learned_mean,pure_label_shift,32,0.995,200
v1_learned_mean,pure_label_shift,64,1.0,200
v1_learned_mean,pure_label_shift,128,1.0,200
v1_learned_mean,pure_label_shift,256,1.0,200
v1_learned_mean,pure_label_shift,512,1.0,200
v1_learned_mean,support_translation,32,0.005,200
v1_learned_mean,support_translation,64,0.0,200
v1_learned_mean,support_translation,128,0.0,200
v1_learned_mean,support_translation,256,0.0,200
v1_learned_mean,support_translation,512,0.0,200
v1_learned_mean,unidentifiable_concept_reversal,32,1.0,200
v1_learned_mean,unidentifiable_concept_reversal,64,1.0,200
v1_learned_mean,unidentifiable_concept_reversal,128,1.0,200
v1_learned_mean,unidentifiable_concept_reversal,256,1.0,200
v1_learned_mean,unidentifiable_concept_reversal,512,1.0,200
v2_omnibus_mean,conditional_scale,32,0.655,200
v2_omnibus_mean,conditional_scale,64,0.46,200
v2_omnibus_mean,conditional_scale,128,0.37,200
