revision,mechanism,batch_size,nominal_latent_prevalence,acceptance_rate,realized_latent_prevalence,episodes,affected_probability,expected_affected_rows,probability_fewer_than_five_affected
v1_learned_mean,conditional_scale,32,0.05,0.9,0.0625,10,0.95,30.4,1.0990871733520452e-32
v1_learned_mean,conditional_scale,32,0.1,1.0,0.13125,10,0.9,28.8,2.3958986499999816e-24
v1_learned_mean,conditional_scale,32,0.15,0.95,0.146875,20,0.85,27.2,1.6393785917991556e-19
v1_learned_mean,conditional_scale,32,0.2,1.0,0.21875,10,0.8,25.6,4.093647146450914e-16
v1_learned_mean,conditional_scale,32,0.25,1.0,0.253125,10,0.75,24.0,1.6540810604884215e-13
v1_learned_mean,conditional_scale,32,0.3,1.0,0.328125,10,0.7,22.4,2.0970850238283543e-11
v1_learned_mean,conditional_scale,32,0.35,1.0,0.334375,10,0.65,20.8,1.1862129577604564e-09
v1_learned_mean,conditional_scale,32,0.4,1.0,0.38125,10,0.6,19.2,3.68847259439842e-08
v1_learned_mean,conditional_scale,32,0.45,1.0,0.45625,10,0.55,17.6,7.201789402736721e-07
v1_learned_mean,conditional_scale,32,0.5,1.0,0.46875,10,0.5,16.0,9.650597348809242e-06
v1_learned_mean,conditional_scale,32,0.55,0.9,0.528125,10,0.44999999999999996,14.399999999999999,9.43388847906158e-05
v1_learned_mean,conditional_scale,32,0.6,1.0,0.615625,10,0.4,12.8,0.0007016051043794906
v1_learned_mean,conditional_scale,32,0.65,1.0,0.675,10,0.35,11.2,0.004081856372083048
v1_learned_mean,conditional_scale,32,0.7,1.0,0.7125,10,0.30000000000000004,9.600000000000001,0.018879066424117946
v1_learned_mean,conditional_scale,32,0.75,1.0,0.7375,10,0.25,8.0,0.06975738881925805
v1_learned_mean,conditional_scale,32,0.8,1.0,0.790625,10,0.19999999999999996,6.399999999999999,0.2043839004860168
v1_learned_mean,conditional_scale,32,0.85,0.9,0.834375,10,0.15000000000000002,4.800000000000001,0.4643584554055348
v1_learned_mean,conditional_scale,32,0.9,0.8,0.90625,10,0.09999999999999998,3.1999999999999993,0.7885017113006731
v1_learned_mean,conditional_scale,32,0.95,0.9,0.946875,10,0.050000000000000044,1.6000000000000014,0.9796461008175356
v1_learned_mean,conditional_scale,64,0.05,0.8,0.046875,10,0.95,60.8,4.504282042023015e-73
v1_learned_mean,conditional_scale,64,0.1,1.0,0.0796875,10,0.9,57.6,4.199238864999933e-55
v1_learned_mean,conditional_scale,64,0.15,1.0,0.15078125,20,0.85,54.4,1.233733741727586e-44
v1_learned_mean,conditional_scale,64,0.2,1.0,0.2140625,10,0.8,51.2,3.050266254695374e-37
v1_learned_mean,conditional_scale,64,0.25,1.0,0.2359375,10,0.75,48.0,1.546031358487146e-31
v1_learned_mean,conditional_scale,64,0.3,1.0,0.265625,10,0.7,44.8,6.652492221769527e-27
v1_learned_mean,conditional_scale,64,0.35,1.0,0.3359375,10,0.65,41.6,5.1788012746573165e-23
v1_learned_mean,conditional_scale,64,0.4,1.0,0.3921875,10,0.6,38.4,1.1439748724094953e-19
v1_learned_mean,conditional_scale,64,0.45,1.0,0.45625,10,0.55,35.2,9.568125603265461e-17
v1_learned_mean,conditional_scale,64,0.5,1.0,0.4984375,10,0.5,32.0,3.681522317902641e-14
v1_learned_mean,conditional_scale,64,0.55,1.0,0.546875,10,0.44999999999999996,28.799999999999997,7.466226553523208e-12
v1_learned_mean,conditional_scale,64,0.6,1.0,0.5859375,10,0.4,25.6,8.791057034367629e-10
v1_learned_mean,conditional_scale,64,0.65,1.0,0.646875,10,0.35,22.4,6.434023677560167e-08
v1_learned_mean,conditional_scale,64,0.7,1.0,0.7171875,10,0.30000000000000004,19.200000000000003,3.0632328762810053e-06
v1_learned_mean,conditional_scale,64,0.75,1.0,0.753125,10,0.25,16.0,9.720959483087329e-05
v1_learned_mean,conditional_scale,64,0.8,1.0,0.79375,10,0.19999999999999996,12.799999999999997,0.0020563392966268424
v1_learned_mean,conditional_scale,64,0.85,1.0,0.85625,10,0.15000000000000002,9.600000000000001,0.02797138992545886
v1_learned_mean,conditional_scale,64,0.9,1.0,0.8921875,10,0.09999999999999998,6.399999999999999,0.22046890416045234
v1_learned_mean,conditional_scale,64,0.95,0.9,0.9375,10,0.050000000000000044,3.200000000000003,0.7843570436086971
v1_learned_mean,conditional_scale,128,0.05,0.9,0.04375,10,0.95,121.6,4.0925096273022975e-155
v1_learned_mean,conditional_scale,128,0.1,0.9,0.10390625,10,0.9,115.2,7.024227062499768e-118
v1_learned_mean,conditional_scale,128,0.15,0.95,0.140625,20,0.85,108.8,3.832928303315164e-96
v1_learned_mean,conditional_scale,128,0.2,1.0,0.2,10,0.8,102.4,9.367928048566555e-81
v1_learned_mean,conditional_scale,128,0.25,1.0,0.2328125,10,0.75,96.0,7.542818294002512e-69
v1_learned_mean,conditional_scale,128,0.3,1.0,0.29609375,10,0.7,89.6,3.779955391387509e-59
v1_learned_mean,conditional_scale,128,0.35,1.0,0.340625,10,0.65,83.2,5.645319520937885e-51
v1_learned_mean,conditional_scale,128,0.4,1.0,0.4046875,10,0.6,76.8,6.389103529880944e-44
v1_learned_mean,conditional_scale,128,0.45,1.0,0.45390625,10,0.55,70.4,9.984547486384717e-38
v1_learned_mean,conditional_scale,128,0.5,1.0,0.478125,10,0.5,64.0,3.237791337733303e-32
v1_learned_mean,conditional_scale,128,0.55,1.0,0.5296875,10,0.44999999999999996,57.599999999999994,2.9043784798001435e-27
v1_learned_mean,conditional_scale,128,0.6,1.0,0.5796875,10,0.4,51.2,8.874953317822086e-23
v1_learned_mean,conditional_scale,128,0.65,1.0,0.64921875,10,0.35,44.8,1.0759469428490078e-18
v1_learned_mean,conditional_scale,128,0.7,1.0,0.70703125,10,0.30000000000000004,38.400000000000006,5.777425644676687e-15
v1_learned_mean,conditional_scale,128,0.75,1.0,0.75390625,10,0.25,32.0,1.4794132535259513e-11
v1_learned_mean,conditional_scale,128,0.8,1.0,0.790625,10,0.19999999999999996,25.599999999999994,1.873442263369217e-08
v1_learned_mean,conditional_scale,128,0.85,1.0,0.853125,10,0.15000000000000002,19.200000000000003,1.1547557243481733e-05
v1_learned_mean,conditional_scale,128,0.9,1.0,0.8875,10,0.09999999999999998,12.799999999999997,0.0030718357305998933
v1_learned_mean,conditional_scale,128,0.95,1.0,0.9453125,10,0.050000000000000044,6.400000000000006,0.22793974409833295
v1_learned_mean,conditional_scale,256,0.05,0.6,0.05078125,10,0.95,243.2,0.0
v1_learned_mean,conditional_scale,256,0.1,0.9,0.108203125,10,0.9,230.4,1.1488317632649232e-244
v1_learned_mean,conditional_scale,256,0.15,0.9,0.1478515625,20,0.85,217.6,2.1697448404779207e-200
v1_learned_mean,conditional_scale,256,0.2,0.9,0.209375,10,0.8,204.8,5.201879062271929e-169
v1_learned_mean,conditional_scale,256,0.25,0.9,0.254296875,10,0.75,192.0,1.0615540947013653e-144
v1_learned_mean,conditional_scale,256,0.3,1.0,0.291015625,10,0.7,179.2,7.251354181879847e-125
v1_learned_mean,conditional_scale,256,0.35,0.9,0.3546875,10,0.65,166.4,4.008932610994794e-108
v1_learned_mean,conditional_scale,256,0.4,1.0,0.41953125,10,0.6,153.6,1.199044770452736e-93
v1_learned_mean,conditional_scale,256,0.45,0.9,0.447265625,10,0.55,140.8,6.594216140054246e-81
v1_learned_mean,conditional_scale,256,0.5,1.0,0.488671875,10,0.5,128.0,1.533689029792275e-69
v1_learned_mean,conditional_scale,256,0.55,1.0,0.55,10,0.44999999999999996,115.19999999999999,2.7239744993953513e-59
v1_learned_mean,conditional_scale,256,0.6,1.0,0.59375,10,0.4,102.4,5.691644450106431e-50
v1_learned_mean,conditional_scale,256,0.65,1.0,0.65078125,10,0.35,89.6,1.931100727751128e-41
v1_learned_mean,conditional_scale,256,0.7,1.0,0.685546875,10,0.30000000000000004,76.80000000000001,1.3548171141530142e-33
v1_learned_mean,conditional_scale,256,0.75,1.0,0.74375,10,0.25,64.0,2.3472521173263672e-26
v1_learned_mean,conditional_scale,256,0.8,1.0,0.795703125,10,0.19999999999999996,51.19999999999999,1.1303399068137916e-19
v1_learned_mean,conditional_scale,256,0.85,1.0,0.837890625,10,0.15000000000000002,38.400000000000006,1.5856693586192995e-13
v1_learned_mean,conditional_scale,256,0.9,1.0,0.891796875,10,0.09999999999999998,25.599999999999994,5.96403647453753e-08
v1_learned_mean,conditional_scale,256,0.95,1.0,0.952734375,10,0.050000000000000044,12.800000000000011,0.003665973641299878
v1_learned_mean,conditional_scale,512,0.05,0.6,0.0490234375,10,0.95,486.4,0.0
v1_learned_mean,conditional_scale,512,0.1,0.8,0.0966796875,10,0.9,460.8,0.0
v1_learned_mean,conditional_scale,512,0.15,0.95,0.15009765625,20,0.85,435.2,0.0
v1_learned_mean,conditional_scale,512,0.2,0.9,0.205078125,10,0.8,409.6,0.0
v1_learned_mean,conditional_scale,512,0.25,0.9,0.24921875,10,0.75,384.0,1.2784254808794265e-297
v1_learned_mean,conditional_scale,512,0.3,0.8,0.2982421875,10,0.7,358.4,1.6263763129415455e-257
v1_learned_mean,conditional_scale,512,0.35,1.0,0.3548828125,10,0.65,332.8,1.2354557457242465e-223
v1_learned_mean,conditional_scale,512,0.4,1.0,0.398046875,10,0.6,307.2,2.58896641114876e-194
v1_learned_mean,conditional_scale,512,0.45,1.0,0.4443359375,10,0.55,281.6,1.7699955832766715e-168
v1_learned_mean,conditional_scale,512,0.5,1.0,0.5060546875,10,0.5,256.0,2.127303123600318e-145
v1_learned_mean,conditional_scale,512,0.55,1.0,0.5630859375,10,0.44999999999999996,230.39999999999998,1.4895160509509594e-124
v1_learned_mean,conditional_scale,512,0.6,0.9,0.5951171875,10,0.4,204.8,1.4654705323150793e-105
v1_learned_mean,conditional_scale,512,0.65,0.9,0.6509765625,10,0.35,179.2,3.9299420577095705e-88
v1_learned_mean,conditional_scale,512,0.7,1.0,0.7009765625,10,0.30000000000000004,153.60000000000002,4.764930670578672e-72
v1_learned_mean,conditional_scale,512,0.75,1.0,0.7375,10,0.25,128.0,3.845456713835231e-57
v1_learned_mean,conditional_scale,512,0.8,1.0,0.8048828125,10,0.19999999999999996,102.39999999999998,2.7501646713827256e-43
v1_learned_mean,conditional_scale,512,0.85,1.0,0.8490234375,10,0.15000000000000002,76.80000000000001,2.0916985156909672e-30
v1_learned_mean,conditional_scale,512,0.9,1.0,0.894921875,10,0.09999999999999998,51.19999999999999,1.7306587013811932e-18
v1_learned_mean,conditional_scale,512,0.95,1.0,0.9470703125,10,0.050000000000000044,25.600000000000023,9.963612455682541e-08
v1_learned_mean,conditional_translation,32,0.05,1.0,0.05625,10,0.05,1.6,0.9796461008175357
v1_learned_mean,conditional_translation,32,0.1,0.95,0.115625,20,0.1,3.2,0.7885017113006723
v1_learned_mean,conditional_translation,32,0.15,1.0,0.15625,10,0.15,4.8,0.46435845540553466
v1_learned_mean,conditional_translation,32,0.2,1.0,0.203125,10,0.2,6.4,0.20438390048601698
