revision,mechanism,batch_size,nominal_latent_prevalence,acceptance_rate,realized_latent_prevalence,episodes
v1_learned_mean,conditional_scale,32,0.05,0.9,0.0625,10
v1_learned_mean,conditional_scale,32,0.1,1.0,0.13125,10
v1_learned_mean,conditional_scale,32,0.15,0.95,0.146875,20
v1_learned_mean,conditional_scale,32,0.2,1.0,0.21875,10
v1_learned_mean,conditional_scale,32,0.25,1.0,0.253125,10
v1_learned_mean,conditional_scale,32,0.3,1.0,0.328125,10
v1_learned_mean,conditional_scale,32,0.35,1.0,0.334375,10
v1_learned_mean,conditional_scale,32,0.4,1.0,0.38125,10
v1_learned_mean,conditional_scale,32,0.45,1.0,0.45625,10
v1_learned_mean,conditional_scale,32,0.5,1.0,0.46875,10
v1_learned_mean,conditional_scale,32,0.55,0.9,0.528125,10
v1_learned_mean,conditional_scale,32,0.6,1.0,0.615625,10
v1_learned_mean,conditional_scale,32,0.65,1.0,0.675,10
v1_learned_mean,conditional_scale,32,0.7,1.0,0.7125,10
v1_learned_mean,conditional_scale,32,0.75,1.0,0.7375,10
v1_learned_mean,conditional_scale,32,0.8,1.0,0.790625,10
v1_learned_mean,conditional_scale,32,0.85,0.9,0.834375,10
v1_learned_mean,conditional_scale,32,0.9,0.8,0.90625,10
v1_learned_mean,conditional_scale,32,0.95,0.9,0.946875,10
v1_learned_mean,conditional_scale,64,0.05,0.8,0.046875,10
v1_learned_mean,conditional_scale,64,0.1,1.0,0.0796875,10
v1_learned_mean,conditional_scale,64,0.15,1.0,0.15078125,20
v1_learned_mean,conditional_scale,64,0.2,1.0,0.2140625,10
v1_learned_mean,conditional_scale,64,0.25,1.0,0.2359375,10
v1_learned_mean,conditional_scale,64,0.3,1.0,0.265625,10
v1_learned_mean,conditional_scale,64,0.35,1.0,0.3359375,10
v1_learned_mean,conditional_scale,64,0.4,1.0,0.3921875,10
v1_learned_mean,conditional_scale,64,0.45,1.0,0.45625,10
v1_learned_mean,conditional_scale,64,0.5,1.0,0.4984375,10
v1_learned_mean,conditional_scale,64,0.55,1.0,0.546875,10
v1_learned_mean,conditional_scale,64,0.6,1.0,0.5859375,10
v1_learned_mean,conditional_scale,64,0.65,1.0,0.646875,10
v1_learned_mean,conditional_scale,64,0.7,1.0,0.7171875,10
v1_learned_mean,conditional_scale,64,0.75,1.0,0.753125,10
v1_learned_mean,conditional_scale,64,0.8,1.0,0.79375,10
v1_learned_mean,conditional_scale,64,0.85,1.0,0.85625,10
v1_learned_mean,conditional_scale,64,0.9,1.0,0.8921875,10
v1_learned_mean,conditional_scale,64,0.95,0.9,0.9375,10
v1_learned_mean,conditional_scale,128,0.05,0.9,0.04375,10
v1_learned_mean,conditional_scale,128,0.1,0.9,0.10390625,10
v1_learned_mean,conditional_scale,128,0.15,0.95,0.140625,20
v1_learned_mean,conditional_scale,128,0.2,1.0,0.2,10
v1_learned_mean,conditional_scale,128,0.25,1.0,0.2328125,10
v1_learned_mean,conditional_scale,128,0.3,1.0,0.29609375,10
v1_learned_mean,conditional_scale,128,0.35,1.0,0.340625,10
v1_learned_mean,conditional_scale,128,0.4,1.0,0.4046875,10
v1_learned_mean,conditional_scale,128,0.45,1.0,0.45390625,10
