outer_target,inner_validation,control,parameter_id,parameters_json,seed,fit_seed,fit_seconds
cleveland,hungary,logistic_natural,0,"{""C"": 0.1}",5062,1591205733,0.07883129999390803
cleveland,hungary,logistic_natural,0,"{""C"": 0.1}",5063,385078638,0.03449520000140183
cleveland,hungary,logistic_natural,0,"{""C"": 0.1}",5064,2187502615,0.03394079999998212
cleveland,hungary,logistic_natural,0,"{""C"": 0.1}",5065,1880376766,0.0546782000164967
cleveland,hungary,logistic_natural,0,"{""C"": 0.1}",5066,807661595,0.04624840000178665
cleveland,hungary,logistic_natural,0,"{""C"": 0.1}",5067,2924167760,0.05940509997890331
cleveland,hungary,logistic_natural,0,"{""C"": 0.1}",5068,4272078248,0.040601100015919656
cleveland,hungary,logistic_natural,0,"{""C"": 0.1}",5069,633223476,0.044320100016193464
cleveland,hungary,logistic_natural,0,"{""C"": 0.1}",5070,1312683314,0.025899599975673482
cleveland,hungary,logistic_natural,0,"{""C"": 0.1}",5071,685578125,0.07000959999277256
cleveland,switzerland,logistic_natural,0,"{""C"": 0.1}",5062,3436980211,0.0364996999851428
cleveland,switzerland,logistic_natural,0,"{""C"": 0.1}",5063,2105801189,0.07089809997705743
cleveland,switzerland,logistic_natural,0,"{""C"": 0.1}",5064,3848722788,0.03287730002193712
cleveland,switzerland,logistic_natural,0,"{""C"": 0.1}",5065,1479833162,0.04076609999174252
cleveland,switzerland,logistic_natural,0,"{""C"": 0.1}",5066,3525035021,0.03961619999608956
cleveland,switzerland,logistic_natural,0,"{""C"": 0.1}",5067,2561436922,0.03757379998569377
cleveland,switzerland,logistic_natural,0,"{""C"": 0.1}",5068,1334733098,0.02381969999987632
cleveland,switzerland,logistic_natural,0,"{""C"": 0.1}",5069,745911363,0.021415499999420717
cleveland,switzerland,logistic_natural,0,"{""C"": 0.1}",5070,2960623913,0.03278900001896545
cleveland,switzerland,logistic_natural,0,"{""C"": 0.1}",5071,3216829638,0.03148440000950359
cleveland,va_long_beach,logistic_natural,0,"{""C"": 0.1}",5062,4051097687,0.07222169998567551
cleveland,va_long_beach,logistic_natural,0,"{""C"": 0.1}",5063,819643767,0.030595899996114895
cleveland,va_long_beach,logistic_natural,0,"{""C"": 0.1}",5064,2291313185,0.021869099989999086
cleveland,va_long_beach,logistic_natural,0,"{""C"": 0.1}",5065,1370806519,0.04320240000379272
cleveland,va_long_beach,logistic_natural,0,"{""C"": 0.1}",5066,3619647803,0.027983699983451515
cleveland,va_long_beach,logistic_natural,0,"{""C"": 0.1}",5067,3490770267,0.032895500015001744
cleveland,va_long_beach,logistic_natural,0,"{""C"": 0.1}",5068,429184987,0.03630209999391809
cleveland,va_long_beach,logistic_natural,0,"{""C"": 0.1}",5069,2471323958,0.10243560001254082
cleveland,va_long_beach,logistic_natural,0,"{""C"": 0.1}",5070,2517382545,0.04482640000060201
cleveland,va_long_beach,logistic_natural,0,"{""C"": 0.1}",5071,291511207,0.034366699983365834
cleveland,hungary,logistic_natural,1,"{""C"": 1.0}",5062,161018613,0.03669469998567365
cleveland,hungary,logistic_natural,1,"{""C"": 1.0}",5063,2568156919,0.03156539998599328
cleveland,hungary,logistic_natural,1,"{""C"": 1.0}",5064,2983240223,0.041309299995191395
cleveland,hungary,logistic_natural,1,"{""C"": 1.0}",5065,3091635177,0.0452923999982886
cleveland,hungary,logistic_natural,1,"{""C"": 1.0}",5066,3690799271,0.04554409999400377
cleveland,hungary,logistic_natural,1,"{""C"": 1.0}",5067,167375815,0.03264259998104535
cleveland,hungary,logistic_natural,1,"{""C"": 1.0}",5068,2259521366,0.03047070000320673
cleveland,hungary,logistic_natural,1,"{""C"": 1.0}",5069,2600601490,0.09113639997667633
cleveland,hungary,logistic_natural,1,"{""C"": 1.0}",5070,223333167,0.06983920000493526
cleveland,hungary,logistic_natural,1,"{""C"": 1.0}",5071,4206064410,0.04557740001473576
cleveland,switzerland,logistic_natural,1,"{""C"": 1.0}",5062,1927435846,0.06471890001557767
cleveland,switzerland,logistic_natural,1,"{""C"": 1.0}",5063,527442553,0.04097269999329001
cleveland,switzerland,logistic_natural,1,"{""C"": 1.0}",5064,240549187,0.07672889999230392
cleveland,switzerland,logistic_natural,1,"{""C"": 1.0}",5065,2112244221,0.04595629998948425
cleveland,switzerland,logistic_natural,1,"{""C"": 1.0}",5066,3055330036,0.04568550002295524
cleveland,switzerland,logistic_natural,1,"{""C"": 1.0}",5067,4081926405,0.04688380000879988
cleveland,switzerland,logistic_natural,1,"{""C"": 1.0}",5068,967259052,0.038356400007614866
cleveland,switzerland,logistic_natural,1,"{""C"": 1.0}",5069,1978906899,0.03905950000626035
cleveland,switzerland,logistic_natural,1,"{""C"": 1.0}",5070,746939899,0.06403750000754371
cleveland,switzerland,logistic_natural,1,"{""C"": 1.0}",5071,33282759,0.04317869999795221
cleveland,va_long_beach,logistic_natural,1,"{""C"": 1.0}",5062,1487908459,0.06573329999810085
cleveland,va_long_beach,logistic_natural,1,"{""C"": 1.0}",5063,964898236,0.08144060001359321
cleveland,va_long_beach,logistic_natural,1,"{""C"": 1.0}",5064,2584085443,0.044762800011085346
cleveland,va_long_beach,logistic_natural,1,"{""C"": 1.0}",5065,3217521958,0.0703753000125289
cleveland,va_long_beach,logistic_natural,1,"{""C"": 1.0}",5066,2233496571,0.06983630001195706
cleveland,va_long_beach,logistic_natural,1,"{""C"": 1.0}",5067,4175890672,0.06057519998284988
cleveland,va_long_beach,logistic_natural,1,"{""C"": 1.0}",5068,1365183030,0.04484860002412461
cleveland,va_long_beach,logistic_natural,1,"{""C"": 1.0}",5069,3774186222,0.03166189999319613
cleveland,va_long_beach,logistic_natural,1,"{""C"": 1.0}",5070,3609588811,0.02711920000729151
cleveland,va_long_beach,logistic_natural,1,"{""C"": 1.0}",5071,3929225527,0.024054200010141358
cleveland,hungary,logistic_natural,2,"{""C"": 10.0}",5062,2778960733,0.0974576999724377
cleveland,hungary,logistic_natural,2,"{""C"": 10.0}",5063,3833416134,0.10434459999669343
cleveland,hungary,logistic_natural,2,"{""C"": 10.0}",5064,1781744835,0.09833109998726286
cleveland,hungary,logistic_natural,2,"{""C"": 10.0}",5065,930136834,0.05724170000758022
