stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,cleveland,,v0_pooled_erm,v0,5062,1269814168,5.0,0.4835755527019501,0.4835755527019501,0.4835755527019501,0.1549344807863235
outer_final,cleveland,,v0_pooled_erm,v0,5063,4290982831,5.0,0.4438967108726501,0.4438967108726501,0.4438967108726501,0.1394955664873123
outer_final,cleveland,,v0_pooled_erm,v0,5064,1056429720,5.0,0.4687453508377075,0.4687453508377075,0.4687453508377075,0.1485947668552398
outer_final,cleveland,,v0_pooled_erm,v0,5065,3606119003,5.0,0.4544810652732849,0.4544810652732849,0.4544810652732849,0.1433225572109222
outer_final,cleveland,,v0_pooled_erm,v0,5066,4102298737,5.0,0.4476486444473266,0.4476486444473266,0.4476486444473266,0.1411092430353164
outer_final,cleveland,,v0_pooled_erm,v0,5067,1824799038,5.0,0.4568958282470703,0.4568958282470703,0.4568958282470703,0.1434292942285537
outer_final,cleveland,,v0_pooled_erm,v0,5068,2205188441,5.0,0.5346900820732117,0.5346900820732117,0.5346900820732117,0.1760653704404831
outer_final,cleveland,,v0_pooled_erm,v0,5069,3817950428,5.0,0.4579189717769623,0.4579189717769623,0.4579189717769623,0.1453990191221237
outer_final,cleveland,,v0_pooled_erm,v0,5070,615198528,5.0,0.4735780954360962,0.4735780954360962,0.4735780954360962,0.1499761193990707
outer_final,cleveland,,v0_pooled_erm,v0,5071,1727212603,5.0,0.5326812267303467,0.5326812267303467,0.5326812267303467,0.1748827844858169
outer_final,cleveland,,v1_site_balanced,v1,5062,933175474,5.0,0.4550120830535888,0.4550120830535888,0.5450067520141602,0.1432205289602279
outer_final,cleveland,,v1_site_balanced,v1,5063,2185436083,5.0,0.5159825086593628,0.5159825086593628,0.7011619210243225,0.1698776930570602
outer_final,cleveland,,v1_site_balanced,v1,5064,515029228,5.0,0.4797841906547546,0.4797841906547546,0.6343750357627869,0.1535109579563141
outer_final,cleveland,,v1_site_balanced,v1,5065,2530717682,5.0,0.4413997530937195,0.4413997530937195,0.5242807865142822,0.1372893750667572
outer_final,cleveland,,v1_site_balanced,v1,5066,1929204009,5.0,0.4706048369407654,0.4706048369407654,0.5205318331718445,0.1490066051483154
outer_final,cleveland,,v1_site_balanced,v1,5067,3098572765,5.0,0.4336556196212768,0.4336556196212768,0.5111610293388367,0.1357265412807464
outer_final,cleveland,,v1_site_balanced,v1,5068,1017053885,5.0,0.5795598030090332,0.5795598030090332,0.8702245950698853,0.1993094682693481
outer_final,cleveland,,v1_site_balanced,v1,5069,1309947407,5.0,0.4641861319541931,0.4641861319541931,0.5356253385543823,0.1463203430175781
outer_final,cleveland,,v1_site_balanced,v1,5070,1391988438,5.0,0.3897477984428406,0.3897477984428406,0.4839171767234802,0.1193103119730949
outer_final,cleveland,,v1_site_balanced,v1,5071,943193121,5.0,0.4645330309867859,0.4645330309867859,0.5024155378341675,0.1468340754508972
outer_final,cleveland,,v2_prior_separated,v2,5062,1205164812,5.0,0.5411742925643921,0.5411742925643921,0.6554784774780273,0.1801506727933883
outer_final,cleveland,,v2_prior_separated,v2,5062,1205164812,10.0,0.5012102127075195,0.5012102127075195,0.6452328562736511,0.165209949016571
outer_final,cleveland,,v2_prior_separated,v2,5063,2379880245,5.0,0.5369396209716797,0.5369396209716797,0.6221432089805603,0.1786023378372192
outer_final,cleveland,,v2_prior_separated,v2,5063,2379880245,10.0,0.493722528219223,0.493722528219223,0.607734203338623,0.1618657112121582
outer_final,cleveland,,v2_prior_separated,v2,5064,3808473293,5.0,0.5805952548980713,0.5805952548980713,0.6503490209579468,0.1973262727260589
outer_final,cleveland,,v2_prior_separated,v2,5064,3808473293,10.0,0.5232629776000977,0.5232629776000977,0.6324334144592285,0.1740617752075195
outer_final,cleveland,,v2_prior_separated,v2,5065,716835255,5.0,0.5763800740242004,0.5763800740242004,0.6269638538360596,0.1950885951519012
outer_final,cleveland,,v2_prior_separated,v2,5065,716835255,10.0,0.5095806121826172,0.5095806121826172,0.6504029035568237,0.1683100312948227
outer_final,cleveland,,v2_prior_separated,v2,5066,2429889119,5.0,0.5533120036125183,0.5533120036125183,0.6157171130180359,0.1841911971569061
outer_final,cleveland,,v2_prior_separated,v2,5066,2429889119,10.0,0.4878750741481781,0.4878750741481781,0.584062397480011,0.1579760313034057
outer_final,cleveland,,v2_prior_separated,v2,5067,3325082816,5.0,0.5862236022949219,0.5862236022949219,0.645548939704895,0.1987263858318328
outer_final,cleveland,,v2_prior_separated,v2,5067,3325082816,10.0,0.5065891146659851,0.5065891146659851,0.6221776604652405,0.1687171459197998
outer_final,cleveland,,v2_prior_separated,v2,5068,3299811396,5.0,0.5479332208633423,0.5479332208633423,0.6093726754188538,0.1844563484191894
outer_final,cleveland,,v2_prior_separated,v2,5068,3299811396,10.0,0.4920775890350342,0.4920775890350342,0.6065927743911743,0.1640314161777496
outer_final,cleveland,,v2_prior_separated,v2,5069,2812110064,5.0,0.5622233152389526,0.5622233152389526,0.6279329061508179,0.1890575587749481
outer_final,cleveland,,v2_prior_separated,v2,5069,2812110064,10.0,0.4864789843559265,0.4864789843559265,0.622760534286499,0.1605876386165619
outer_final,cleveland,,v2_prior_separated,v2,5070,1559361339,5.0,0.5407973527908325,0.5407973527908325,0.6039779186248779,0.1816938370466232
outer_final,cleveland,,v2_prior_separated,v2,5070,1559361339,10.0,0.5169933438301086,0.5169933438301086,0.609611988067627,0.1730101704597473
outer_final,cleveland,,v2_prior_separated,v2,5071,384593818,5.0,0.5837430953979492,0.5837430953979492,0.6351256370544434,0.1981748044490814
outer_final,cleveland,,v2_prior_separated,v2,5071,384593818,10.0,0.5246672034263611,0.5246672034263611,0.636603057384491,0.1748164296150207
outer_final,cleveland,,v3_mcar_augmentation,v3,5062,4155622069,5.0,0.5635396242141724,0.5635396242141724,0.6712132096290588,0.1906895339488983
outer_final,cleveland,,v3_mcar_augmentation,v3,5062,4155622069,10.0,0.5563092231750488,0.5563092231750488,0.7683668732643127,0.1889227330684662
outer_final,cleveland,,v3_mcar_augmentation,v3,5063,2156306441,5.0,0.585483729839325,0.585483729839325,0.7089745998382568,0.1999171674251556
outer_final,cleveland,,v3_mcar_augmentation,v3,5063,2156306441,10.0,0.5272747278213501,0.5272747278213501,0.6562166213989258,0.1748065650463104
outer_final,cleveland,,v3_mcar_augmentation,v3,5064,520008811,5.0,0.5606631636619568,0.5606631636619568,0.7344422340393066,0.1887721419334411
outer_final,cleveland,,v3_mcar_augmentation,v3,5064,520008811,10.0,0.5236495733261108,0.5236495733261108,0.7206581830978394,0.1738760322332382
outer_final,cleveland,,v3_mcar_augmentation,v3,5065,1901235579,5.0,0.5854926109313965,0.5854926109313965,0.7099496722221375,0.2002031654119491
outer_final,cleveland,,v3_mcar_augmentation,v3,5065,1901235579,10.0,0.5503512024879456,0.5503512024879456,0.7836915254592896,0.1861461102962494
outer_final,cleveland,,v3_mcar_augmentation,v3,5066,1066267692,5.0,0.64423668384552,0.64423668384552,0.6855172514915466,0.2261174917221069
outer_final,cleveland,,v3_mcar_augmentation,v3,5066,1066267692,10.0,0.573047399520874,0.573047399520874,0.6523042917251587,0.1951165050268173
