stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,cleveland,,v2_prior_separated,v2,5062,1205164812,5.0,0.5411742925643921,0.5411742925643921,0.6554784774780273,0.18015067279338837
outer_final,cleveland,,v2_prior_separated,v2,5062,1205164812,10.0,0.5012102127075195,0.5012102127075195,0.6452328562736511,0.16520994901657104
outer_final,cleveland,,v2_prior_separated,v2,5063,2379880245,5.0,0.5369396209716797,0.5369396209716797,0.6221432089805603,0.17860233783721924
outer_final,cleveland,,v2_prior_separated,v2,5063,2379880245,10.0,0.493722528219223,0.493722528219223,0.607734203338623,0.1618657112121582
outer_final,cleveland,,v2_prior_separated,v2,5064,3808473293,5.0,0.5805952548980713,0.5805952548980713,0.6503490209579468,0.19732627272605896
outer_final,cleveland,,v2_prior_separated,v2,5064,3808473293,10.0,0.5232629776000977,0.5232629776000977,0.6324334144592285,0.17406177520751953
outer_final,cleveland,,v2_prior_separated,v2,5065,716835255,5.0,0.5763800740242004,0.5763800740242004,0.6269638538360596,0.19508859515190125
outer_final,cleveland,,v2_prior_separated,v2,5065,716835255,10.0,0.5095806121826172,0.5095806121826172,0.6504029035568237,0.1683100312948227
outer_final,cleveland,,v2_prior_separated,v2,5066,2429889119,5.0,0.5533120036125183,0.5533120036125183,0.6157171130180359,0.18419119715690613
outer_final,cleveland,,v2_prior_separated,v2,5066,2429889119,10.0,0.4878750741481781,0.4878750741481781,0.584062397480011,0.15797603130340576
outer_final,cleveland,,v2_prior_separated,v2,5067,3325082816,5.0,0.5862236022949219,0.5862236022949219,0.645548939704895,0.19872638583183289
outer_final,cleveland,,v2_prior_separated,v2,5067,3325082816,10.0,0.5065891146659851,0.5065891146659851,0.6221776604652405,0.1687171459197998
outer_final,cleveland,,v2_prior_separated,v2,5068,3299811396,5.0,0.5479332208633423,0.5479332208633423,0.6093726754188538,0.18445634841918945
outer_final,cleveland,,v2_prior_separated,v2,5068,3299811396,10.0,0.4920775890350342,0.4920775890350342,0.6065927743911743,0.16403141617774963
outer_final,cleveland,,v2_prior_separated,v2,5069,2812110064,5.0,0.5622233152389526,0.5622233152389526,0.6279329061508179,0.18905755877494812
outer_final,cleveland,,v2_prior_separated,v2,5069,2812110064,10.0,0.4864789843559265,0.4864789843559265,0.622760534286499,0.1605876386165619
outer_final,cleveland,,v2_prior_separated,v2,5070,1559361339,5.0,0.5407973527908325,0.5407973527908325,0.6039779186248779,0.18169383704662323
outer_final,cleveland,,v2_prior_separated,v2,5070,1559361339,10.0,0.5169933438301086,0.5169933438301086,0.609611988067627,0.17301017045974731
outer_final,cleveland,,v2_prior_separated,v2,5071,384593818,5.0,0.5837430953979492,0.5837430953979492,0.6351256370544434,0.19817480444908142
outer_final,cleveland,,v2_prior_separated,v2,5071,384593818,10.0,0.5246672034263611,0.5246672034263611,0.636603057384491,0.17481642961502075
