stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,cleveland,,v4_structured_policy_bank,v4,5062,415899258,5.0,0.6411966681480408,0.6411966681480408,0.7006557583808899,0.22504375874996185
outer_final,cleveland,,v4_structured_policy_bank,v4,5062,415899258,10.0,0.5538351535797119,0.5538351535797119,0.759480357170105,0.18706479668617249
outer_final,cleveland,,v4_structured_policy_bank,v4,5063,654348927,5.0,0.5615025162696838,0.5615025162696838,0.6720565557479858,0.1893574446439743
outer_final,cleveland,,v4_structured_policy_bank,v4,5063,654348927,10.0,0.5104080438613892,0.5104080438613892,0.6778751611709595,0.1689215749502182
outer_final,cleveland,,v4_structured_policy_bank,v4,5064,3255243126,5.0,0.5651193857192993,0.5651193857192993,0.7140885591506958,0.19026164710521698
outer_final,cleveland,,v4_structured_policy_bank,v4,5064,3255243126,10.0,0.5298031568527222,0.5298031568527222,0.7390180230140686,0.17654691636562347
outer_final,cleveland,,v4_structured_policy_bank,v4,5065,765495238,5.0,0.5701270699501038,0.5701270699501038,0.6937394142150879,0.19376660883426666
outer_final,cleveland,,v4_structured_policy_bank,v4,5065,765495238,10.0,0.5389223694801331,0.5389223694801331,0.6993289589881897,0.18078213930130005
outer_final,cleveland,,v4_structured_policy_bank,v4,5066,1113862914,5.0,0.5851540565490723,0.5851540565490723,0.6789250373840332,0.19918310642242432
outer_final,cleveland,,v4_structured_policy_bank,v4,5066,1113862914,10.0,0.5284058451652527,0.5284058451652527,0.694377064704895,0.17709875106811523
outer_final,cleveland,,v4_structured_policy_bank,v4,5067,1367928583,5.0,0.5728760957717896,0.5728760957717896,0.6860016584396362,0.19495870172977448
outer_final,cleveland,,v4_structured_policy_bank,v4,5067,1367928583,10.0,0.5267118811607361,0.5267118811607361,0.7069938778877258,0.17637252807617188
outer_final,cleveland,,v4_structured_policy_bank,v4,5068,4273912676,5.0,0.5715129971504211,0.5715129971504211,0.6754773855209351,0.1931125819683075
outer_final,cleveland,,v4_structured_policy_bank,v4,5068,4273912676,10.0,0.532131016254425,0.532131016254425,0.7117893099784851,0.17821376025676727
outer_final,cleveland,,v4_structured_policy_bank,v4,5069,3489850852,5.0,0.6014763116836548,0.6014763116836548,0.6831016540527344,0.20656709372997284
outer_final,cleveland,,v4_structured_policy_bank,v4,5069,3489850852,10.0,0.5499155521392822,0.5499155521392822,0.7134157419204712,0.18474651873111725
outer_final,cleveland,,v4_structured_policy_bank,v4,5070,3551733644,5.0,0.5698548555374146,0.5698548555374146,0.7619822025299072,0.19440209865570068
outer_final,cleveland,,v4_structured_policy_bank,v4,5070,3551733644,10.0,0.5206775665283203,0.5206775665283203,0.655809760093689,0.1737895905971527
outer_final,cleveland,,v4_structured_policy_bank,v4,5071,3413385759,5.0,0.5870578289031982,0.5870578289031982,0.6593860387802124,0.2012355923652649
outer_final,cleveland,,v4_structured_policy_bank,v4,5071,3413385759,10.0,0.5374431610107422,0.5374431610107422,0.674592912197113,0.18088150024414062
