stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5062,2901792981,5.0,0.6030291318893433,0.577250063419342,0.5854565501213074,0.19624236226081848
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5062,2901792981,10.0,0.5599886178970337,0.52122962474823,0.5497457385063171,0.17371901869773865
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5062,2901792981,15.0,0.537280797958374,0.5017451047897339,0.5270334482192993,0.16569454967975616
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5063,3924803655,5.0,0.5759066939353943,0.5461692214012146,0.5613694190979004,0.18337303400039673
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5063,3924803655,10.0,0.5428699851036072,0.5127571821212769,0.5301944613456726,0.17034828662872314
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5063,3924803655,15.0,0.5319522023200989,0.5023937821388245,0.5195973515510559,0.1665572077035904
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5064,1174449269,5.0,0.6186345815658569,0.5942438244819641,0.5996471643447876,0.20338256657123566
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5064,1174449269,10.0,0.5623499155044556,0.53262859582901,0.5484736561775208,0.17837519943714142
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5064,1174449269,15.0,0.5478237271308899,0.5161815881729126,0.535449206829071,0.17191487550735474
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5065,2493579253,5.0,0.5863319635391235,0.5584521293640137,0.5705531239509583,0.18804070353507996
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5065,2493579253,10.0,0.5677778720855713,0.5353548526763916,0.5547536015510559,0.17873936891555786
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5065,2493579253,15.0,0.5389926433563232,0.507318377494812,0.5271781086921692,0.16779397428035736
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5066,1249745716,5.0,0.5728142857551575,0.544786274433136,0.5577632188796997,0.18295274674892426
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5066,1249745716,10.0,0.5560808777809143,0.521613359451294,0.544233500957489,0.17502406239509583
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5066,1249745716,15.0,0.5224824547767639,0.48959019780158997,0.5119967460632324,0.16087333858013153
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5067,2512528628,5.0,0.6205354332923889,0.5940208435058594,0.6022974252700806,0.20307113230228424
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5067,2512528628,10.0,0.5742053389549255,0.5404155850410461,0.5612528920173645,0.18161801993846893
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5067,2512528628,15.0,0.54007887840271,0.510258138179779,0.5274607539176941,0.1691877245903015
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5068,259624476,5.0,0.6152033805847168,0.5860499143600464,0.5982933044433594,0.19970865547657013
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5068,259624476,10.0,0.573978841304779,0.5397711396217346,0.5613604784011841,0.18015699088573456
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5068,259624476,15.0,0.5441768169403076,0.5180212259292603,0.5300082564353943,0.17165325582027435
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5069,4277640558,5.0,0.6290856003761292,0.6007283329963684,0.6109648942947388,0.20679831504821777
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5069,4277640558,10.0,0.571457028388977,0.5362973213195801,0.5591311454772949,0.18034334480762482
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5069,4277640558,15.0,0.5475842952728271,0.5129278302192688,0.5364767909049988,0.16994790732860565
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5070,3057049348,5.0,0.5912677645683289,0.565047562122345,0.574548065662384,0.19094817340373993
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5070,3057049348,10.0,0.5561624765396118,0.525376558303833,0.5429497957229614,0.17606042325496674
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5070,3057049348,15.0,0.5280755758285522,0.5002611875534058,0.5153708457946777,0.1648213118314743
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5071,3969821385,5.0,0.5880111455917358,0.5585468411445618,0.5727239847183228,0.18831421434879303
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5071,3969821385,10.0,0.556925892829895,0.522182047367096,0.5453373789787292,0.17377376556396484
outer_final,cleveland,,v5_site_mask_dro_brier,v5,5071,3969821385,15.0,0.546200156211853,0.5174446702003479,0.5328829884529114,0.1717677265405655
