stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,cleveland,,v5_site_only_dro,v5_site,5062,1780263946,5.0,0.6065261960029602,0.5842945575714111,0.5890368819236755,0.19860447943210602
outer_final,cleveland,,v5_site_only_dro,v5_site,5062,1780263946,10.0,0.5659642815589905,0.5408623218536377,0.5548800826072693,0.1809305101633072
outer_final,cleveland,,v5_site_only_dro,v5_site,5063,3354047104,5.0,0.6053501963615417,0.5830442905426025,0.5880475044250488,0.1980431079864502
outer_final,cleveland,,v5_site_only_dro,v5_site,5063,3354047104,10.0,0.5704312324523926,0.5441060066223145,0.5603508353233337,0.1820279359817505
outer_final,cleveland,,v5_site_only_dro,v5_site,5064,1735908622,5.0,0.5978951454162598,0.5758585929870605,0.5808486938476562,0.19541491568088531
outer_final,cleveland,,v5_site_only_dro,v5_site,5064,1735908622,10.0,0.5505461096763611,0.5248191952705383,0.5412788391113281,0.1749710589647293
outer_final,cleveland,,v5_site_only_dro,v5_site,5065,1737055077,5.0,0.5864115953445435,0.5627596378326416,0.5720189213752747,0.19022348523139954
outer_final,cleveland,,v5_site_only_dro,v5_site,5065,1737055077,10.0,0.555573046207428,0.5306341648101807,0.544982373714447,0.1776474565267563
outer_final,cleveland,,v5_site_only_dro,v5_site,5066,1525154759,5.0,0.614620566368103,0.5917661190032959,0.5969907641410828,0.20242108404636383
outer_final,cleveland,,v5_site_only_dro,v5_site,5066,1525154759,10.0,0.5516145825386047,0.5278262495994568,0.540277898311615,0.17562507092952728
outer_final,cleveland,,v5_site_only_dro,v5_site,5067,887679982,5.0,0.6115259528160095,0.587400496006012,0.5954870581626892,0.20082157850265503
outer_final,cleveland,,v5_site_only_dro,v5_site,5067,887679982,10.0,0.564191460609436,0.5390611290931702,0.5530612468719482,0.1813027262687683
outer_final,cleveland,,v5_site_only_dro,v5_site,5068,4182492551,5.0,0.6332865357398987,0.609805703163147,0.6147152185440063,0.21026068925857544
outer_final,cleveland,,v5_site_only_dro,v5_site,5068,4182492551,10.0,0.5601447224617004,0.5372470021247864,0.546998918056488,0.18021781742572784
outer_final,cleveland,,v5_site_only_dro,v5_site,5069,2601780678,5.0,0.5760174989700317,0.552544116973877,0.5623161196708679,0.18587352335453033
outer_final,cleveland,,v5_site_only_dro,v5_site,5069,2601780678,10.0,0.5377336144447327,0.5131937861442566,0.528296172618866,0.16988655924797058
outer_final,cleveland,,v5_site_only_dro,v5_site,5070,66466198,5.0,0.5860061645507812,0.5643848776817322,0.5695919990539551,0.1901768296957016
outer_final,cleveland,,v5_site_only_dro,v5_site,5070,66466198,10.0,0.5558889508247375,0.5304630994796753,0.5457326769828796,0.17791077494621277
outer_final,cleveland,,v5_site_only_dro,v5_site,5071,2860098529,5.0,0.5814906358718872,0.5589727759361267,0.5664953589439392,0.18756583333015442
outer_final,cleveland,,v5_site_only_dro,v5_site,5071,2860098529,10.0,0.5586338043212891,0.5355817675590515,0.5458172559738159,0.17934301495552063
