stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,hungary,,v0_pooled_erm,v0,5062,76772768,5.0,0.46210163831710815,0.46210163831710815,0.46210163831710815,0.1475592404603958
outer_final,hungary,,v0_pooled_erm,v0,5063,3280591633,5.0,0.48320290446281433,0.48320290446281433,0.48320290446281433,0.1533050835132599
outer_final,hungary,,v0_pooled_erm,v0,5064,2852075666,5.0,0.46696412563323975,0.46696412563323975,0.46696412563323975,0.14975041151046753
outer_final,hungary,,v0_pooled_erm,v0,5065,1307908446,5.0,0.4699719548225403,0.4699719548225403,0.4699719548225403,0.15090729296207428
outer_final,hungary,,v0_pooled_erm,v0,5066,4244401609,5.0,0.4467245042324066,0.4467245042324066,0.4467245042324066,0.14333198964595795
outer_final,hungary,,v0_pooled_erm,v0,5067,3902497709,5.0,0.4172247648239136,0.4172247648239136,0.4172247648239136,0.13097095489501953
outer_final,hungary,,v0_pooled_erm,v0,5068,3411346114,5.0,0.43468204140663147,0.43468204140663147,0.43468204140663147,0.1359352171421051
outer_final,hungary,,v0_pooled_erm,v0,5069,1469660910,5.0,0.4215633273124695,0.4215633273124695,0.4215633273124695,0.13261198997497559
outer_final,hungary,,v0_pooled_erm,v0,5070,1702146296,5.0,0.4385508596897125,0.4385508596897125,0.4385508596897125,0.13743242621421814
outer_final,hungary,,v0_pooled_erm,v0,5071,1824052043,5.0,0.44384804368019104,0.44384804368019104,0.44384804368019104,0.1411709040403366
