stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,hungary,,v2_prior_separated,v2,5062,1709467704,5.0,0.5412781238555908,0.5412781238555908,0.621964156627655,0.18136344850063324
outer_final,hungary,,v2_prior_separated,v2,5063,27095261,5.0,0.5623482465744019,0.5623482465744019,0.6644413471221924,0.18974480032920837
outer_final,hungary,,v2_prior_separated,v2,5064,2712443754,5.0,0.6067135334014893,0.6067135334014893,0.6737762689590454,0.2093927562236786
outer_final,hungary,,v2_prior_separated,v2,5065,4136608628,5.0,0.5552573204040527,0.5552573204040527,0.6838865280151367,0.1865880787372589
outer_final,hungary,,v2_prior_separated,v2,5066,2290645582,5.0,0.540538489818573,0.540538489818573,0.616089940071106,0.18153592944145203
outer_final,hungary,,v2_prior_separated,v2,5067,647044426,5.0,0.5711020231246948,0.5711020231246948,0.6459135413169861,0.1948942393064499
outer_final,hungary,,v2_prior_separated,v2,5068,2714177826,5.0,0.6090077757835388,0.6090077757835388,0.7035318613052368,0.21158979833126068
outer_final,hungary,,v2_prior_separated,v2,5069,2562269307,5.0,0.5216411352157593,0.5216411352157593,0.5931045413017273,0.17454755306243896
outer_final,hungary,,v2_prior_separated,v2,5070,4043719694,5.0,0.5471190810203552,0.5471190810203552,0.6262220144271851,0.18314310908317566
outer_final,hungary,,v2_prior_separated,v2,5071,605601060,5.0,0.5642591714859009,0.5642591714859009,0.6334860920906067,0.19044266641139984
