stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,hungary,,v3_mcar_augmentation,v3,5062,783453814,5.0,0.5859317183494568,0.5859317183494568,0.6945208311080933,0.20018164813518524
outer_final,hungary,,v3_mcar_augmentation,v3,5063,3156228279,5.0,0.5620349049568176,0.5620349049568176,0.7146885395050049,0.1914164423942566
outer_final,hungary,,v3_mcar_augmentation,v3,5064,2463362619,5.0,0.5732872486114502,0.5732872486114502,0.668715238571167,0.1948051154613495
outer_final,hungary,,v3_mcar_augmentation,v3,5065,339068654,5.0,0.5949143171310425,0.5949143171310425,0.6479625701904297,0.20526860654354095
outer_final,hungary,,v3_mcar_augmentation,v3,5066,3452202144,5.0,0.5961440801620483,0.5961440801620483,0.6847110986709595,0.20497307181358337
outer_final,hungary,,v3_mcar_augmentation,v3,5067,3764359207,5.0,0.6116024255752563,0.6116024255752563,0.6951777935028076,0.21173393726348877
outer_final,hungary,,v3_mcar_augmentation,v3,5068,276720387,5.0,0.6029490828514099,0.6029490828514099,0.6946104764938354,0.2077895849943161
outer_final,hungary,,v3_mcar_augmentation,v3,5069,967777728,5.0,0.5466077327728271,0.5466077327728271,0.6721763014793396,0.18410074710845947
outer_final,hungary,,v3_mcar_augmentation,v3,5070,1479520139,5.0,0.5994827747344971,0.5994827747344971,0.6814637780189514,0.2051713466644287
outer_final,hungary,,v3_mcar_augmentation,v3,5071,3020718815,5.0,0.5770183205604553,0.5770183205604553,0.6730644702911377,0.19661977887153625
