stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,hungary,,v5_mask_only_dro,v5_mask,5062,2848838906,5.0,0.6028796434402466,0.5815320014953613,0.5835273861885071,0.19851084053516388
outer_final,hungary,,v5_mask_only_dro,v5_mask,5063,2047030563,5.0,0.6239423155784607,0.6020908951759338,0.6036243438720703,0.20701342821121216
outer_final,hungary,,v5_mask_only_dro,v5_mask,5064,2146888502,5.0,0.614241898059845,0.5930080413818359,0.5942656397819519,0.202906996011734
outer_final,hungary,,v5_mask_only_dro,v5_mask,5065,4046188716,5.0,0.6320085525512695,0.6100077629089355,0.6112564206123352,0.21064265072345734
outer_final,hungary,,v5_mask_only_dro,v5_mask,5066,4193189281,5.0,0.5818747878074646,0.5616019368171692,0.5632964372634888,0.190019428730011
outer_final,hungary,,v5_mask_only_dro,v5_mask,5067,1013127447,5.0,0.5868247747421265,0.5651209950447083,0.5684548616409302,0.19203394651412964
outer_final,hungary,,v5_mask_only_dro,v5_mask,5068,2425236619,5.0,0.6072840094566345,0.5861696600914001,0.5876920819282532,0.19972506165504456
outer_final,hungary,,v5_mask_only_dro,v5_mask,5069,3282168891,5.0,0.6089525818824768,0.5873128771781921,0.5893498659133911,0.20111960172653198
outer_final,hungary,,v5_mask_only_dro,v5_mask,5070,3462371824,5.0,0.630867063999176,0.6091617941856384,0.6101030707359314,0.20999300479888916
outer_final,hungary,,v5_mask_only_dro,v5_mask,5071,1843586692,5.0,0.6391897797584534,0.6173713207244873,0.6179632544517517,0.21374550461769104
