stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,hungary,,v5_site_mask_dro,v5,5062,2977958044,5.0,0.5661377310752869,0.5636862516403198,0.5734922289848328,0.19143640995025635
outer_final,hungary,,v5_site_mask_dro,v5,5063,4123605919,5.0,0.5679618716239929,0.5634514689445496,0.5814931988716125,0.19058610498905182
outer_final,hungary,,v5_site_mask_dro,v5,5064,2405120373,5.0,0.5637473464012146,0.5586296319961548,0.5791004300117493,0.1888832300901413
outer_final,hungary,,v5_site_mask_dro,v5,5065,1003960505,5.0,0.5596799254417419,0.5559085607528687,0.5709940791130066,0.18797460198402405
outer_final,hungary,,v5_site_mask_dro,v5,5066,2355184499,5.0,0.5887255072593689,0.5876579880714417,0.5919279456138611,0.20117074251174927
outer_final,hungary,,v5_site_mask_dro,v5,5067,1962836683,5.0,0.5781627893447876,0.5748454332351685,0.5881149172782898,0.1957855224609375
outer_final,hungary,,v5_site_mask_dro,v5,5068,211776958,5.0,0.5679449439048767,0.5621473789215088,0.5853375792503357,0.19045110046863556
outer_final,hungary,,v5_site_mask_dro,v5,5069,196442763,5.0,0.5845335125923157,0.5810128450393677,0.5950955748558044,0.19706673920154572
outer_final,hungary,,v5_site_mask_dro,v5,5070,20806538,5.0,0.5845222473144531,0.5802859663963318,0.5972310304641724,0.19725464284420013
outer_final,hungary,,v5_site_mask_dro,v5,5071,3876031184,5.0,0.6141465306282043,0.6125258803367615,0.6190085411071777,0.21220244467258453
