stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,hungary,,v7_ane,v7,5062,3623141929,5.0,0.6014306545257568,0.5752720236778259,0.5840482115745544,0.19576489925384521
outer_final,hungary,,v7_ane,v7,5063,1543522894,5.0,0.6097640991210938,0.586067795753479,0.5910106897354126,0.1998913735151291
outer_final,hungary,,v7_ane,v7,5064,797620022,5.0,0.6346265077590942,0.6108953952789307,0.6144299507141113,0.2108021080493927
outer_final,hungary,,v7_ane,v7,5065,942445749,5.0,0.6411786675453186,0.6167835593223572,0.6208228468894958,0.2136562615633011
outer_final,hungary,,v7_ane,v7,5066,3456301378,5.0,0.6200463771820068,0.5927635431289673,0.60206139087677,0.20309437811374664
outer_final,hungary,,v7_ane,v7,5067,797544044,5.0,0.6052106618881226,0.5743979215621948,0.5894604921340942,0.19515807926654816
outer_final,hungary,,v7_ane,v7,5068,2513014170,5.0,0.623845100402832,0.5986360907554626,0.6048873066902161,0.20520593225955963
outer_final,hungary,,v7_ane,v7,5069,3952936641,5.0,0.6211369633674622,0.5939581394195557,0.6031094789505005,0.20315343141555786
outer_final,hungary,,v7_ane,v7,5070,3580908803,5.0,0.5992836356163025,0.5737747550010681,0.5818093419075012,0.19482891261577606
outer_final,hungary,,v7_ane,v7,5071,260712182,5.0,0.6200338006019592,0.5955391526222229,0.600984513759613,0.2041066735982895
