stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,switzerland,,v2_prior_separated,v2,5062,3817794359,5.0,0.6059896349906921,0.6059896349906921,0.6421571373939514,0.20938313007354736
outer_final,switzerland,,v2_prior_separated,v2,5063,1890372130,5.0,0.5249289274215698,0.5249289274215698,0.706177294254303,0.17451211810112
outer_final,switzerland,,v2_prior_separated,v2,5064,2849275270,5.0,0.48981961607933044,0.48981961607933044,0.6383233070373535,0.15947996079921722
outer_final,switzerland,,v2_prior_separated,v2,5065,260198196,5.0,0.5064842700958252,0.5064842700958252,0.6390028595924377,0.16547071933746338
outer_final,switzerland,,v2_prior_separated,v2,5066,3328430126,5.0,0.5305073261260986,0.5305073261260986,0.6141977310180664,0.17560911178588867
outer_final,switzerland,,v2_prior_separated,v2,5067,990290221,5.0,0.49024659395217896,0.49024659395217896,0.6262375116348267,0.16074417531490326
outer_final,switzerland,,v2_prior_separated,v2,5068,4045557736,5.0,0.5413714647293091,0.5413714647293091,0.6015340089797974,0.1802213042974472
outer_final,switzerland,,v2_prior_separated,v2,5069,1558046336,5.0,0.4965174198150635,0.4965174198150635,0.6096674203872681,0.1617971956729889
outer_final,switzerland,,v2_prior_separated,v2,5070,1294287057,5.0,0.49553555250167847,0.49553555250167847,0.6583555936813354,0.16234908998012543
outer_final,switzerland,,v2_prior_separated,v2,5071,265396099,5.0,0.5005953311920166,0.5005953311920166,0.6058600544929504,0.16544918715953827
