stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,switzerland,,v3_mcar_augmentation,v3,5062,960493949,5.0,0.5357668995857239,0.5357668995857239,0.6554571986198425,0.17894600331783295
outer_final,switzerland,,v3_mcar_augmentation,v3,5062,960493949,10.0,0.4975214898586273,0.4975214898586273,0.7202200889587402,0.16375407576560974
outer_final,switzerland,,v3_mcar_augmentation,v3,5062,960493949,15.0,0.4824119806289673,0.4824119806289673,0.6679151058197021,0.1580280363559723
outer_final,switzerland,,v3_mcar_augmentation,v3,5063,3926300421,5.0,0.5473815202713013,0.5473815202713013,0.6534585356712341,0.18354955315589905
outer_final,switzerland,,v3_mcar_augmentation,v3,5063,3926300421,10.0,0.49769315123558044,0.49769315123558044,0.625807523727417,0.1624045968055725
outer_final,switzerland,,v3_mcar_augmentation,v3,5063,3926300421,15.0,0.4942048490047455,0.4942048490047455,0.6630992889404297,0.1634766310453415
outer_final,switzerland,,v3_mcar_augmentation,v3,5064,2115900811,5.0,0.5802609324455261,0.5802609324455261,0.6688852310180664,0.19758859276771545
outer_final,switzerland,,v3_mcar_augmentation,v3,5064,2115900811,10.0,0.5189683437347412,0.5189683437347412,0.6717749834060669,0.17174503207206726
outer_final,switzerland,,v3_mcar_augmentation,v3,5064,2115900811,15.0,0.48619383573532104,0.48619383573532104,0.6251072883605957,0.15937475860118866
outer_final,switzerland,,v3_mcar_augmentation,v3,5065,4639368,5.0,0.5522006750106812,0.5522006750106812,0.6795365810394287,0.18583473563194275
outer_final,switzerland,,v3_mcar_augmentation,v3,5065,4639368,10.0,0.5050550699234009,0.5050550699234009,0.6815911531448364,0.16588130593299866
outer_final,switzerland,,v3_mcar_augmentation,v3,5065,4639368,15.0,0.48509201407432556,0.48509201407432556,0.6214898228645325,0.15911796689033508
outer_final,switzerland,,v3_mcar_augmentation,v3,5066,1314984414,5.0,0.5221585631370544,0.5221585631370544,0.6741141676902771,0.17219237983226776
outer_final,switzerland,,v3_mcar_augmentation,v3,5066,1314984414,10.0,0.507982611656189,0.507982611656189,0.6675260066986084,0.1672879308462143
outer_final,switzerland,,v3_mcar_augmentation,v3,5066,1314984414,15.0,0.48627039790153503,0.48627039790153503,0.6404008865356445,0.15918773412704468
outer_final,switzerland,,v3_mcar_augmentation,v3,5067,2582101117,5.0,0.5408450365066528,0.5408450365066528,0.643474817276001,0.18036329746246338
outer_final,switzerland,,v3_mcar_augmentation,v3,5067,2582101117,10.0,0.5083566904067993,0.5083566904067993,0.6635290384292603,0.1675747036933899
outer_final,switzerland,,v3_mcar_augmentation,v3,5067,2582101117,15.0,0.49218040704727173,0.49218040704727173,0.6266587376594543,0.16160081326961517
outer_final,switzerland,,v3_mcar_augmentation,v3,5068,2453394281,5.0,0.5278447866439819,0.5278447866439819,0.7071302533149719,0.17533427476882935
outer_final,switzerland,,v3_mcar_augmentation,v3,5068,2453394281,10.0,0.506619393825531,0.506619393825531,0.6680309772491455,0.16708657145500183
outer_final,switzerland,,v3_mcar_augmentation,v3,5068,2453394281,15.0,0.4934316873550415,0.4934316873550415,0.6259247064590454,0.16200564801692963
outer_final,switzerland,,v3_mcar_augmentation,v3,5069,414433345,5.0,0.5230089426040649,0.5230089426040649,0.6425496935844421,0.17333003878593445
outer_final,switzerland,,v3_mcar_augmentation,v3,5069,414433345,10.0,0.49456092715263367,0.49456092715263367,0.6379057765007019,0.16170170903205872
outer_final,switzerland,,v3_mcar_augmentation,v3,5069,414433345,15.0,0.47613638639450073,0.47613638639450073,0.6346150636672974,0.1552973985671997
outer_final,switzerland,,v3_mcar_augmentation,v3,5070,1842303265,5.0,0.5268733501434326,0.5268733501434326,0.682173490524292,0.17468127608299255
outer_final,switzerland,,v3_mcar_augmentation,v3,5070,1842303265,10.0,0.4932193160057068,0.4932193160057068,0.6839073300361633,0.1617240309715271
outer_final,switzerland,,v3_mcar_augmentation,v3,5070,1842303265,15.0,0.4818509519100189,0.4818509519100189,0.6216384172439575,0.15783797204494476
outer_final,switzerland,,v3_mcar_augmentation,v3,5071,3168726535,5.0,0.5326082706451416,0.5326082706451416,0.6964120268821716,0.17675566673278809
outer_final,switzerland,,v3_mcar_augmentation,v3,5071,3168726535,10.0,0.5018495321273804,0.5018495321273804,0.6693254709243774,0.1654025763273239
outer_final,switzerland,,v3_mcar_augmentation,v3,5071,3168726535,15.0,0.48623746633529663,0.48623746633529663,0.6340982913970947,0.15922287106513977
