stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,switzerland,,v7_ane,v7,5062,967157557,5.0,0.601028561592102,0.5778011679649353,0.5826055407524109,0.1962413638830185
outer_final,switzerland,,v7_ane,v7,5062,967157557,10.0,0.5632555484771729,0.5313110947608948,0.5503146052360535,0.17691873013973236
outer_final,switzerland,,v7_ane,v7,5063,4207818832,5.0,0.5736178755760193,0.545604407787323,0.5587178468704224,0.18178404867649078
outer_final,switzerland,,v7_ane,v7,5063,4207818832,10.0,0.5509697794914246,0.5201622843742371,0.5382911562919617,0.1721084862947464
outer_final,switzerland,,v7_ane,v7,5064,3631749685,5.0,0.6036784052848816,0.5797571539878845,0.5854105949401855,0.19681130349636078
outer_final,switzerland,,v7_ane,v7,5064,3631749685,10.0,0.5540921092033386,0.5280430316925049,0.5394203066825867,0.17516107857227325
outer_final,switzerland,,v7_ane,v7,5065,3069912484,5.0,0.6032508611679077,0.5784049034118652,0.5853423476219177,0.19642876088619232
outer_final,switzerland,,v7_ane,v7,5065,3069912484,10.0,0.5635558366775513,0.5312703251838684,0.5507926344871521,0.176438108086586
outer_final,switzerland,,v7_ane,v7,5066,2478727071,5.0,0.6015028953552246,0.5729148983955383,0.5851605534553528,0.19403782486915588
outer_final,switzerland,,v7_ane,v7,5066,2478727071,10.0,0.5450382232666016,0.5140247941017151,0.5326806306838989,0.17021530866622925
outer_final,switzerland,,v7_ane,v7,5067,261315450,5.0,0.6007763147354126,0.5747849941253662,0.5833582282066345,0.1956140547990799
outer_final,switzerland,,v7_ane,v7,5067,261315450,10.0,0.55515056848526,0.5272853970527649,0.5410037040710449,0.17576444149017334
outer_final,switzerland,,v7_ane,v7,5068,2091376885,5.0,0.5846903324127197,0.558282732963562,0.5685110092163086,0.1873636543750763
outer_final,switzerland,,v7_ane,v7,5068,2091376885,10.0,0.5419217348098755,0.5120454430580139,0.5292820334434509,0.16948901116847992
outer_final,switzerland,,v7_ane,v7,5069,2328802883,5.0,0.5785349011421204,0.5471886992454529,0.5646172761917114,0.18274758756160736
outer_final,switzerland,,v7_ane,v7,5069,2328802883,10.0,0.5411595106124878,0.5103426575660706,0.5289557576179504,0.16857020556926727
outer_final,switzerland,,v7_ane,v7,5070,3068352488,5.0,0.5994215607643127,0.575124204158783,0.5814701914787292,0.19537845253944397
outer_final,switzerland,,v7_ane,v7,5070,3068352488,10.0,0.5553478598594666,0.5252751708030701,0.5421450734138489,0.17420227825641632
outer_final,switzerland,,v7_ane,v7,5071,2780251379,5.0,0.5967820286750793,0.5677341818809509,0.5808703303337097,0.19195739924907684
outer_final,switzerland,,v7_ane,v7,5071,2780251379,10.0,0.5593476295471191,0.5285318493843079,0.5461425185203552,0.17607806622982025
