stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,va_long_beach,,v3_mcar_augmentation,v3,5062,1612295931,5.0,0.5223926305770874,0.5223926305770874,0.579010009765625,0.17201822996139526
outer_final,va_long_beach,,v3_mcar_augmentation,v3,5063,2770537410,5.0,0.5997076034545898,0.5997076034545898,0.6900476217269897,0.20566318929195404
outer_final,va_long_beach,,v3_mcar_augmentation,v3,5064,1638889970,5.0,0.5971837043762207,0.5971837043762207,0.6933544874191284,0.20420508086681366
outer_final,va_long_beach,,v3_mcar_augmentation,v3,5065,3207548426,5.0,0.5471233129501343,0.5471233129501343,0.6566963195800781,0.1819281429052353
outer_final,va_long_beach,,v3_mcar_augmentation,v3,5066,2297572996,5.0,0.5922847390174866,0.5922847390174866,0.6706554889678955,0.20162245631217957
outer_final,va_long_beach,,v3_mcar_augmentation,v3,5067,357985894,5.0,0.5759897232055664,0.5759897232055664,0.6840512156486511,0.19567619264125824
outer_final,va_long_beach,,v3_mcar_augmentation,v3,5068,170099870,5.0,0.5648207068443298,0.5648207068443298,0.615341067314148,0.18973004817962646
outer_final,va_long_beach,,v3_mcar_augmentation,v3,5069,1193703005,5.0,0.52549147605896,0.52549147605896,0.6199837923049927,0.17434561252593994
outer_final,va_long_beach,,v3_mcar_augmentation,v3,5070,3619070056,5.0,0.552149772644043,0.552149772644043,0.6200850009918213,0.18461844325065613
outer_final,va_long_beach,,v3_mcar_augmentation,v3,5071,2518354075,5.0,0.5687113404273987,0.5687113404273987,0.706119179725647,0.19145965576171875
