stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,va_long_beach,,v5_site_mask_dro_brier,v5,5062,3876979785,5.0,0.5966076850891113,0.5755094289779663,0.5819749236106873,0.19481909275054932
outer_final,va_long_beach,,v5_site_mask_dro_brier,v5,5063,218411124,5.0,0.5293799042701721,0.5107845664024353,0.5182076692581177,0.16739556193351746
outer_final,va_long_beach,,v5_site_mask_dro_brier,v5,5064,790577885,5.0,0.5457767248153687,0.525629460811615,0.536884605884552,0.17333495616912842
outer_final,va_long_beach,,v5_site_mask_dro_brier,v5,5065,2545768864,5.0,0.5919126868247986,0.5708417296409607,0.578217625617981,0.19226951897144318
outer_final,va_long_beach,,v5_site_mask_dro_brier,v5,5066,2137598370,5.0,0.5586690902709961,0.5395468473434448,0.5448512434959412,0.17796188592910767
outer_final,va_long_beach,,v5_site_mask_dro_brier,v5,5067,1023372180,5.0,0.5913872122764587,0.570972740650177,0.5758624076843262,0.19192056357860565
outer_final,va_long_beach,,v5_site_mask_dro_brier,v5,5068,1952359216,5.0,0.575918972492218,0.5539824962615967,0.5676197409629822,0.18527136743068695
outer_final,va_long_beach,,v5_site_mask_dro_brier,v5,5069,270685270,5.0,0.5705260634422302,0.5501659512519836,0.558296799659729,0.18327414989471436
outer_final,va_long_beach,,v5_site_mask_dro_brier,v5,5070,3106038137,5.0,0.5304517149925232,0.5121548771858215,0.5178144574165344,0.16881917417049408
outer_final,va_long_beach,,v5_site_mask_dro_brier,v5,5071,3385884732,5.0,0.5415274500846863,0.5231310725212097,0.527790367603302,0.1723160296678543
