stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,natural_supervised_risk,masked_supervised_risk,consistency_risk,confident_fraction
outer_final,switzerland,,mirrams_equation9,mirrams,5062,245433651,5.0,10.746136665344238,0.6441686153411865,0.6734645366668701,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5062,245433651,10.0,9.959664344787598,0.6015932559967041,0.6238714456558228,0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5062,245433651,15.0,9.344225883483887,0.5523592233657837,0.5861244201660156,0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5062,245433651,20.0,8.790040969848633,0.5012071132659912,0.552588939666748,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5062,245433651,25.0,8.124089241027832,0.47431480884552,0.5099849700927734,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5062,245433651,30.0,7.883748531341553,0.44603458046913147,0.4958476126194,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5062,245433651,35.0,7.683448314666748,0.42901262640953064,0.483629047870636,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5063,2683789982,5.0,10.46886157989502,0.6346305012702942,0.6556154489517212,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5063,2683789982,10.0,9.49302864074707,0.5611076951026917,0.5954614281654358,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5063,2683789982,15.0,8.921504974365234,0.5108003616333008,0.5607136487960815,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5063,2683789982,20.0,8.339986801147461,0.4652668237686157,0.5249813199043274,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5063,2683789982,25.0,7.760834217071533,0.4336540997028351,0.4884786605834961,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5063,2683789982,30.0,7.339576721191406,0.42354515194892883,0.4610687494277954,0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5063,2683789982,35.0,9.445226669311523,0.41988879442214966,0.44872310757637024,0.15296606719493866,0.003764115273952484
outer_final,switzerland,,mirrams_equation9,mirrams,5064,888338503,5.0,10.828832626342773,0.6602270007133484,0.6779070496559143,0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5064,888338503,10.0,10.088506698608398,0.6059132814407349,0.6321728825569153,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5064,888338503,15.0,9.256799697875977,0.5480117797851562,0.5805858373641968,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5064,888338503,20.0,8.763693809509277,0.49779847264289856,0.5510596632957458,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5064,888338503,25.0,8.295207977294922,0.47662782669067383,0.5212386846542358,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5064,888338503,30.0,8.040507316589355,0.45212891697883606,0.5058918595314026,-0.0,0.0
outer_final,switzerland,,mirrams_equation9,mirrams,5064,888338503,35.0,7.814510345458984,0.43185725808143616,0.49217689037323,0.0,0.0
