outer_target,model,weighting,calibration,policy,mask_replicate,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
cleveland,ft_transformer,pooled,raw,drop_advanced,0,303.0,0.45874587458745875,0.8698894542902263,0.8607223213627034,0.4689906294548598,0.463146363280099,0.15373004112023655,0.1514294549437302,0.768976897689769,0.77068345323741,0.7586206896551724,0.7284768211920529,0.7913669064748201,0.7410071942446043,-0.4591430710537171,1.135960141285014,0.1021587122100147
cleveland,ft_transformer,pooled,raw,drop_exercise,0,303.0,0.45874587458745875,0.794569222670644,0.7406928347060652,0.5529936943928292,0.5536841827287905,0.18583672383601219,0.18585627042317965,0.7194719471947195,0.7222100368485699,0.711864406779661,0.6730769230769231,0.7553956834532374,0.6618705035971223,-0.13184461020338897,1.3364876827088914,0.16605713703714586
cleveland,ft_transformer,pooled,raw,drop_routine,0,303.0,0.45874587458745875,0.8519477101245833,0.8277590968678381,0.7875455742901304,0.7384218036033957,0.2792473214642986,0.2600275979053681,0.5676567656765676,0.5989647306545008,0.674937965260546,0.5151515151515151,0.9784172661870504,0.697841726618705,-2.717862058214878,1.5676194117346278,0.25649162971534584
cleveland,ft_transformer,pooled,raw,empirical_source,0,303.0,0.45874587458745875,0.823960343919986,0.8029444085693784,0.5303358111251685,0.524089530860451,0.17853808485642828,0.17611351391738497,0.7227722772277227,0.726903842779435,0.72,0.6708074534161491,0.7769784172661871,0.6834532374100719,-0.39525523151347325,0.9313956194468768,0.14503181310359065
cleveland,ft_transformer,pooled,raw,empirical_source,1,303.0,0.45874587458745875,0.8301456395858922,0.8083208227036396,0.5197830634813321,0.5141168021750677,0.17263548311936808,0.170398143133897,0.7293729372937293,0.7330014037550447,0.7248322147651006,0.6792452830188679,0.7769784172661871,0.7122302158273381,-0.38917523849557567,0.941616845341569,0.14605958236112956
cleveland,ft_transformer,pooled,raw,empirical_source,2,303.0,0.45874587458745875,0.8404983330408843,0.8194261796991913,0.5145917066174734,0.5056225829783947,0.17018207834645235,0.166722429240238,0.7623762376237624,0.7673276013335673,0.7615894039735099,0.7055214723926381,0.8273381294964028,0.7266187050359713,-0.49669881002505734,0.9633287906510171,0.1356660471213055
cleveland,ft_transformer,pooled,raw,empirical_source,3,303.0,0.45874587458745875,0.833479557817161,0.80284256536887,0.5248689631014511,0.5159949796812429,0.17478409199384748,0.1712695207424329,0.7194719471947195,0.724951745920337,0.7213114754098361,0.6626506024096386,0.7913669064748201,0.7050359712230215,-0.4999641326023088,0.9832315089408666,0.15258649634098143
cleveland,ft_transformer,pooled,raw,empirical_source,4,303.0,0.45874587458745875,0.8444463941042288,0.8399985148967481,0.5064882489930553,0.499405349612951,0.16891965455668437,0.16605101586880439,0.7491749174917491,0.7534874539392875,0.7466666666666667,0.6956521739130435,0.8057553956834532,0.7410071942446043,-0.4637982472204916,1.010752111835612,0.12274768245724432
cleveland,ft_transformer,pooled,raw,empirical_source,5,303.0,0.45874587458745875,0.8135199157746973,0.776168005247604,0.5449761355127979,0.536979176028785,0.18237763212597655,0.17922969772435499,0.7458745874587459,0.7509870152658361,0.7458745874587459,0.6890243902439024,0.8129496402877698,0.6258992805755396,-0.410599985804012,0.8772947686320489,0.16525850230018832
cleveland,ft_transformer,pooled,raw,empirical_source,6,303.0,0.45874587458745875,0.844972802246008,0.8293687252619751,0.5046813629582263,0.49718696557024533,0.16761546038072228,0.1646027233460418,0.759075907590759,0.763730479031409,0.7574750830564784,0.7037037037037037,0.8201438848920863,0.7194244604316546,-0.45193202245438857,1.0099348347555648,0.12389164829127859
cleveland,ft_transformer,pooled,raw,empirical_source,7,303.0,0.45874587458745875,0.8233023337427618,0.8166497390852534,0.5479586763455829,0.5372283457671059,0.1853236868664101,0.1810041920054633,0.7227722772277227,0.729645551851202,0.7290322580645161,0.6608187134502924,0.8129496402877698,0.6906474820143885,-0.5264588985805265,0.8998740629574049,0.1473890295331098
cleveland,ft_transformer,pooled,raw,empirical_source,8,303.0,0.45874587458745875,0.8125548341814353,0.7987319285881256,0.5614450136053784,0.5509028682909055,0.19016160041783292,0.18603447105893597,0.7161716171617162,0.721902965432532,0.7189542483660131,0.6586826347305389,0.7913669064748201,0.6618705035971223,-0.4923905859251113,0.845972593410815,0.16090803920573085
cleveland,ft_transformer,pooled,raw,empirical_source,9,303.0,0.45874587458745875,0.8368573433935779,0.8099280413336901,0.5151980390693255,0.507179781514582,0.16958635573526593,0.16638677977369798,0.7557755775577558,0.761778382172311,0.7581699346405228,0.6946107784431138,0.8345323741007195,0.7266187050359713,-0.4650860261725231,0.9872256252210152,0.1416117449977284
cleveland,ft_transformer,pooled,raw,mar_age_sex_30,0,303.0,0.45874587458745875,0.828829619231444,0.8237708519664526,0.5536128916697745,0.5393791906857297,0.18709878964640328,0.18129444865170485,0.7227722772277227,0.7323872609229689,0.7375,0.6519337016574586,0.8489208633093526,0.697841726618705,-0.7253628659139297,1.0634081638703725,0.160390598040056
cleveland,ft_transformer,pooled,raw,mar_age_sex_30,1,303.0,0.45874587458745875,0.8161080891384452,0.7788713006960315,0.5732141076072631,0.5563851487531625,0.1938789092631231,0.1869681183075533,0.693069306930693,0.7054965783470785,0.7190332326283988,0.6197916666666666,0.8561151079136691,0.697841726618705,-0.7725976088408066,1.0562554985290709,0.18887265372584677
cleveland,ft_transformer,pooled,raw,mar_age_sex_30,2,303.0,0.45874587458745875,0.792156518687489,0.7556720600784808,0.5996716934553076,0.582138953571078,0.20388243719561192,0.19706022560302644,0.6963696369636964,0.7074486752061765,0.7177914110429447,0.6256684491978609,0.841726618705036,0.6115107913669064,-0.659198526710458,0.8667307043059789,0.20312132225480467
cleveland,ft_transformer,pooled,raw,mar_age_sex_30,3,303.0,0.45874587458745875,0.8305843130373749,0.7881112151081068,0.5569361076293489,0.5392810219731448,0.18694250638061294,0.17974478638016778,0.7227722772277227,0.7362256536234426,0.7485029940119761,0.6410256410256411,0.8992805755395683,0.6690647482014388,-0.8424039695177192,1.1198025398790765,0.17826544880594547
cleveland,ft_transformer,pooled,raw,mar_age_sex_30,4,303.0,0.45874587458745875,0.8342253026846816,0.7708002041358847,0.551469812994509,0.5337638947354625,0.1849038807806588,0.1778996736541942,0.7062706270627063,0.7176917002982979,0.72782874617737,0.6329787234042553,0.8561151079136691,0.7266187050359713,-0.8481845615725875,1.1163745347173886,0.18745004820210764
cleveland,ft_transformer,pooled,raw,mar_age_sex_30,5,303.0,0.45874587458745875,0.8080364976311633,0.7932739147013826,0.5897309449619101,0.5712305621255911,0.20203534108418159,0.1943766676992178,0.693069306930693,0.7071416037901386,0.7240356083086054,0.6161616161616161,0.8776978417266187,0.6402877697841727,-0.7732061885409919,0.9635463465542211,0.1833498739722184
cleveland,ft_transformer,pooled,raw,mar_age_sex_30,6,303.0,0.45874587458745875,0.791981049306896,0.7613086872767545,0.610785111104248,0.592779623448094,0.20986800705623562,0.20252011515460933,0.6765676567656765,0.6880593086506405,0.7012195121951219,0.6084656084656085,0.8273381294964028,0.6115107913669064,-0.6910343445091074,0.8700641671703653,0.20773678223607445
cleveland,ft_transformer,pooled,raw,mar_age_sex_30,7,303.0,0.45874587458745875,0.818652395157045,0.7716247853283351,0.5734904223801689,0.555930886939521,0.19506656206870446,0.18792335466515186,0.693069306930693,0.7065932619757853,0.7223880597014926,0.6173469387755102,0.8705035971223022,0.7050359712230215,-0.7983437941437674,1.045849211171507,0.19259851246634047
cleveland,ft_transformer,pooled,raw,mar_age_sex_30,8,303.0,0.45874587458745875,0.8090893139147219,0.7712916457126489,0.5796368286333965,0.5632796514752428,0.19780957805271643,0.19119210517552843,0.6864686468646864,0.6993990173714687,0.7147147147147147,0.6134020618556701,0.8561151079136691,0.6906474820143885,-0.7017555401180063,0.9659249740878826,0.18942065241841766
cleveland,ft_transformer,pooled,raw,mar_age_sex_30,9,303.0,0.45874587458745875,0.8167222319705211,0.8003392654658855,0.5837666760372286,0.5649825362249679,0.19871087571729762,0.19106094244620236,0.693069306930693,0.7060449201614318,0.7207207207207207,0.6185567010309279,0.8633093525179856,0.6474820143884892,-0.8182744449964515,1.0022343769686652,0.18384107475696104
cleveland,ft_transformer,pooled,raw,mcar_10,0,303.0,0.45874587458745875,0.8264169152482892,0.7976688277414915,0.5795058524186403,0.5598508739850627,0.19779557891534144,0.18996624832741038,0.7029702970297029,0.7173846288822601,0.7337278106508875,0.6231155778894473,0.8920863309352518,0.6618705035971223,-0.8916377294019584,1.0495303339368796,0.1859493557647135
cleveland,ft_transformer,pooled,raw,mcar_10,1,303.0,0.45874587458745875,0.8179066502895245,0.8045926397355014,0.5924944308439443,0.5720490220233225,0.20225272494357321,0.19402919037308244,0.6963696369636964,0.7112870679066503,0.7294117647058823,0.6169154228855721,0.8920863309352518,0.6546762589928058,-0.8939636372600218,1.0336952130816084,0.1888918797794723
cleveland,ft_transformer,pooled,raw,mcar_10,2,303.0,0.45874587458745875,0.8161080891384452,0.8075960150653506,0.5935130183004494,0.5732226832950306,0.20336432441218127,0.19531390777726332,0.6963696369636964,0.7090937006492367,0.7228915662650602,0.6217616580310881,0.8633093525179856,0.6546762589928058,-0.8662323103376587,0.993550703737712,0.18424761104809584
cleveland,ft_transformer,pooled,raw,mcar_10,3,303.0,0.45874587458745875,0.8185207931216002,0.8104421178819184,0.5936367571089404,0.5729990577102035,0.2039680939014829,0.19581872095105834,0.6897689768976898,0.702996139673627,0.718562874251497,0.6153846153846154,0.8633093525179856,0.6834532374100719,-0.871702290287524,0.9829563595115309,0.18336180127159216
cleveland,ft_transformer,pooled,raw,mcar_10,4,303.0,0.45874587458745875,0.822995262326724,0.8001367584723907,0.5746224423893181,0.5559592189575675,0.1961957322197287,0.18868731766905766,0.7095709570957096,0.722385506229163,0.7349397590361446,0.6321243523316062,0.8776978417266187,0.6402877697841727,-0.8264716028041088,1.019354365091877,0.17632086528625557
cleveland,ft_transformer,pooled,raw,mcar_10,5,303.0,0.45874587458745875,0.8277329356027373,0.7833252497619447,0.5752839878485324,0.5557685611137831,0.19472993383897377,0.18695721958837125,0.7194719471947195,0.7320801895069311,0.743202416918429,0.640625,0.8848920863309353,0.6690647482014388,-0.8842474216197311,1.0451587534615732,0.19174268778800038
cleveland,ft_transformer,pooled,raw,mcar_10,6,303.0,0.45874587458745875,0.8201000175469381,0.7864595794697425,0.583194015477335,0.5639881728230822,0.198994052880119,0.19123915764310193,0.6996699669966997,0.7137875065801018,0.7299703264094956,0.6212121212121212,0.8848920863309353,0.6330935251798561,-0.8400370448350769,1.0053372649056898,0.18853637420933245
cleveland,ft_transformer,pooled,raw,mcar_10,7,303.0,0.45874587458745875,0.8289612212668888,0.8254842411079434,0.5783597718802372,0.558521724154835,0.19822407393536798,0.19020866854976232,0.6897689768976898,0.7040928233023338,0.7218934911242604,0.6130653266331658,0.8776978417266187,0.6546762589928058,-0.9194452640943486,1.0721044755515614,0.1710928705002812
cleveland,ft_transformer,pooled,raw,mcar_10,8,303.0,0.45874587458745875,0.8048341814353395,0.7736325783223899,0.604846081512208,0.5849563721200781,0.20906806862340713,0.20111179211495847,0.6633663366336634,0.6775092121424812,0.6982248520710059,0.592964824120603,0.8489208633093526,0.6906474820143885,-0.8340524179730878,0.9658144775782029,0.20515523670116384
cleveland,ft_transformer,pooled,raw,mcar_10,9,303.0,0.45874587458745875,0.8237410071942447,0.786713535300791,0.5719512819126853,0.5532159274352995,0.19279965262618132,0.18531297153345944,0.7260726072607261,0.7392744341112476,0.7507507507507507,0.6443298969072165,0.8992805755395683,0.6546762589928058,-0.8321194968631943,1.0301098751701638,0.18532610199237726
cleveland,ft_transformer,pooled,raw,mcar_30,0,303.0,0.45874587458745875,0.7868924372696965,0.7817246834421219,0.6525870511780546,0.628202055946143,0.22918715281434654,0.21913137241674213,0.6336633663366337,0.6506185295665906,0.6819484240687679,0.5666666666666667,0.8561151079136691,0.5971223021582733,-0.8844883679028261,0.9029929415370765,0.21845952491153758
cleveland,ft_transformer,pooled,raw,mcar_30,1,303.0,0.45874587458745875,0.783909457799614,0.7837015626305037,0.66034334617413,0.63463801432424,0.23219307923793972,0.22171448319044418,0.6435643564356436,0.6614098964730655,0.6931818181818182,0.5727699530516432,0.8776978417266187,0.6115107913669064,-0.8940974504422052,0.8764924645832484,0.21744407688954204
cleveland,ft_transformer,pooled,raw,mcar_30,2,303.0,0.45874587458745875,0.7700035093876119,0.7158493868983788,0.6825359988853086,0.6504980744448456,0.23720121604787314,0.22425828601558065,0.6468646864686468,0.6688454114756974,0.7084468664850136,0.5701754385964912,0.935251798561151,0.5611510791366906,-1.1119462810816334,0.974530928076135,0.2665957823195646
cleveland,ft_transformer,pooled,raw,mcar_30,3,303.0,0.45874587458745875,0.7974644674504299,0.7815063044385085,0.6618611297296227,0.6355200260244993,0.23277383868602433,0.22187945665318465,0.636963696369637,0.6564090191261625,0.6927374301675978,0.5662100456621004,0.8920863309352518,0.6546762589928058,-1.0532122594111517,1.0046372770933996,0.2378962986119064
cleveland,ft_transformer,pooled,raw,mcar_30,4,303.0,0.45874587458745875,0.7696964379715739,0.746657493082818,0.6800082265313602,0.6531145286435468,0.24093702892598787,0.22990783645303767,0.6138613861386139,0.6328741884541147,0.6722689075630253,0.5504587155963303,0.8633093525179856,0.6258992805755396,-0.9162854878302702,0.8789497656102307,0.2517349884455512
cleveland,ft_transformer,pooled,raw,mcar_30,5,303.0,0.45874587458745875,0.7558782242498684,0.7408047390806876,0.6934525506782445,0.6646471604677635,0.2425565738790174,0.23082161773481297,0.636963696369637,0.6569573609405158,0.6944444444444444,0.5656108597285068,0.8992805755395683,0.5251798561151079,-0.9064257559428881,0.8434931345697152,0.2627174243604573
cleveland,ft_transformer,pooled,raw,mcar_30,6,303.0,0.45874587458745875,0.7891296718722581,0.7700965747630324,0.6720017802372539,0.6435298081841944,0.23712904410667693,0.22539525987604137,0.6204620462046204,0.6400684330584313,0.6796657381615598,0.5545454545454546,0.8776978417266187,0.6187050359712231,-1.0528782935929233,0.960216074349959,0.23829506377934004
