stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,cleveland,,v2_attention_equal_budget,v2,5062,3571018787,5.0,0.5673291683197021,0.5673291683197021,0.6485965847969055,0.1911586970090866
outer_final,cleveland,,v2_attention_equal_budget,v2,5063,3807015100,5.0,0.5429264307022095,0.5429264307022095,0.6155919432640076,0.18090569972991943
outer_final,cleveland,,v2_attention_equal_budget,v2,5064,2976196022,5.0,0.5480347871780396,0.5480347871780396,0.6095055937767029,0.18346646428108215
outer_final,cleveland,,v2_attention_equal_budget,v2,5065,4269525336,5.0,0.5386028289794922,0.5386028289794922,0.6411791443824768,0.18067991733551025
outer_final,cleveland,,v2_attention_equal_budget,v2,5066,3309472251,5.0,0.5167490243911743,0.5167490243911743,0.5928329229354858,0.1699998378753662
outer_final,cleveland,,v2_attention_equal_budget,v2,5067,932915184,5.0,0.5593264102935791,0.5593264102935791,0.6059015989303589,0.18805357813835144
outer_final,cleveland,,v2_attention_equal_budget,v2,5068,2267348798,5.0,0.5358873009681702,0.5358873009681702,0.6076286435127258,0.18087808787822723
outer_final,cleveland,,v2_attention_equal_budget,v2,5069,4214561113,5.0,0.5992774963378906,0.5992774963378906,0.6503306031227112,0.20522722601890564
outer_final,cleveland,,v2_attention_equal_budget,v2,5070,3866899283,5.0,0.5584642291069031,0.5584642291069031,0.6521826982498169,0.18794196844100952
outer_final,cleveland,,v2_attention_equal_budget,v2,5071,3907152527,5.0,0.5656862258911133,0.5656862258911133,0.6032934188842773,0.19066381454467773
