stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5062,1129605672,5.0,0.6770327687263489,0.653657078742981,0.654329240322113,0.230396568775177
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5062,1129605672,10.0,0.6154115200042725,0.5928084850311279,0.5977579355239868,0.20128300786018372
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5063,2143104434,5.0,0.6559688448905945,0.6329960227012634,0.634891152381897,0.2202528566122055
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5063,2143104434,10.0,0.5916047692298889,0.5676413178443909,0.5774971842765808,0.19035519659519196
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5064,3638488599,5.0,0.6648351550102234,0.6416527032852173,0.6431213617324829,0.22448129951953888
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5064,3638488599,10.0,0.5964289903640747,0.5733519792556763,0.5809134840965271,0.19296294450759888
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5065,407799215,5.0,0.6391260027885437,0.6162803173065186,0.6195134520530701,0.21229073405265808
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5065,407799215,10.0,0.5743830800056458,0.5504442453384399,0.5617112517356873,0.18305344879627228
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5066,126050272,5.0,0.6614042520523071,0.6383293867111206,0.6399044990539551,0.22287316620349884
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5066,126050272,10.0,0.5907785892486572,0.5675763487815857,0.5758822560310364,0.19049273431301117
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5067,472443209,5.0,0.6951613426208496,0.6711044311523438,0.6713854074478149,0.23916442692279816
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5067,472443209,10.0,0.6417846083641052,0.6192833781242371,0.6215157508850098,0.21385030448436737
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5068,922732731,5.0,0.6491678953170776,0.6265822649002075,0.628324031829834,0.21714772284030914
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5068,922732731,10.0,0.5812683701515198,0.5576720237731934,0.5676484107971191,0.18608176708221436
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5069,2934240379,5.0,0.6543125510215759,0.6314057111740112,0.6333128213882446,0.21953299641609192
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5069,2934240379,10.0,0.587919294834137,0.5645899772644043,0.57343989610672,0.18904386460781097
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5070,4142964809,5.0,0.6516897678375244,0.6291186213493347,0.630585789680481,0.21837595105171204
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5070,4142964809,10.0,0.5871732234954834,0.5629843473434448,0.5736529231071472,0.18854635953903198
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5071,3412555906,5.0,0.6719445586204529,0.6486437320709229,0.6496632695198059,0.22791080176830292
outer_final,cleveland,,v5_deepsets_equal_budget,v5,5071,3412555906,10.0,0.6029479503631592,0.5801991820335388,0.5865868926048279,0.19554901123046875
