stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,hungary,,v5_deepsets_equal_budget,v5,5062,98306648,5.0,0.6686837077140808,0.6456320881843567,0.6464452147483826,0.2264506071805954
outer_final,hungary,,v5_deepsets_equal_budget,v5,5062,98306648,10.0,0.608687698841095,0.5857845544815063,0.5919138193130493,0.19838513433933258
outer_final,hungary,,v5_deepsets_equal_budget,v5,5063,635140969,5.0,0.6762768626213074,0.6530371308326721,0.6535000205039978,0.23008300364017487
outer_final,hungary,,v5_deepsets_equal_budget,v5,5063,635140969,10.0,0.6170206069946289,0.5946739912033081,0.5988703966140747,0.20248404145240784
outer_final,hungary,,v5_deepsets_equal_budget,v5,5064,494817138,5.0,0.6895865201950073,0.665643036365509,0.6662511825561523,0.236394464969635
outer_final,hungary,,v5_deepsets_equal_budget,v5,5064,494817138,10.0,0.6421809196472168,0.6199383735656738,0.6215821504592896,0.2142062783241272
outer_final,hungary,,v5_deepsets_equal_budget,v5,5065,3522714298,5.0,0.657574474811554,0.6348262429237366,0.6360831260681152,0.22119823098182678
outer_final,hungary,,v5_deepsets_equal_budget,v5,5065,3522714298,10.0,0.6020194888114929,0.5794239044189453,0.5854625105857849,0.19576264917850494
outer_final,hungary,,v5_deepsets_equal_budget,v5,5066,2471768041,5.0,0.6635210514068604,0.6405225992202759,0.641716480255127,0.2240149974822998
outer_final,hungary,,v5_deepsets_equal_budget,v5,5066,2471768041,10.0,0.6030477285385132,0.5803964734077454,0.5864222645759583,0.1963837444782257
outer_final,hungary,,v5_deepsets_equal_budget,v5,5067,2284611466,5.0,0.6979561448097229,0.6737286448478699,0.6740931868553162,0.24045248329639435
outer_final,hungary,,v5_deepsets_equal_budget,v5,5067,2284611466,10.0,0.6526205539703369,0.6299538016319275,0.6314913034439087,0.21898019313812256
outer_final,hungary,,v5_deepsets_equal_budget,v5,5068,2002725847,5.0,0.665211021900177,0.6422351002693176,0.643226146697998,0.2248041331768036
outer_final,hungary,,v5_deepsets_equal_budget,v5,5068,2002725847,10.0,0.6063722372055054,0.5839928388595581,0.5892336964607239,0.19758929312229156
outer_final,hungary,,v5_deepsets_equal_budget,v5,5069,1686406856,5.0,0.6661741733551025,0.643218994140625,0.6440777778625488,0.22525811195373535
outer_final,hungary,,v5_deepsets_equal_budget,v5,5069,1686406856,10.0,0.6057488918304443,0.582800567150116,0.5892152190208435,0.197409987449646
outer_final,hungary,,v5_deepsets_equal_budget,v5,5070,2536165526,5.0,0.6603760719299316,0.6374472379684448,0.6388224959373474,0.22241264581680298
outer_final,hungary,,v5_deepsets_equal_budget,v5,5070,2536165526,10.0,0.609488308429718,0.5852379202842712,0.5940302014350891,0.19854260981082916
outer_final,hungary,,v5_deepsets_equal_budget,v5,5071,999633639,5.0,0.651056706905365,0.6286970973014832,0.6297626495361328,0.21826782822608948
outer_final,hungary,,v5_deepsets_equal_budget,v5,5071,999633639,10.0,0.5893531441688538,0.5669798851013184,0.573580265045166,0.190730482339859
