stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_final,cleveland,,v2_attention_smoke,v2,5062,4009317519,1.0,0.7232162356376648,0.7232162356376648,0.792500376701355,0.2624958753585815
outer_final,cleveland,,v2_attention_smoke,v2,5062,4009317519,2.0,0.6820364594459534,0.6820364594459534,0.7556278705596924,0.2437920570373535
outer_final,cleveland,,v2_attention_smoke,v2,5062,4009317519,3.0,0.6572224497795105,0.6572224497795105,0.7245134711265564,0.2321600914001464
outer_final,cleveland,,v2_deepsets_smoke,v2,5062,3655982102,1.0,0.6966374516487122,0.6966374516487122,0.6997034549713135,0.2517395317554474
outer_final,cleveland,,v2_deepsets_smoke,v2,5062,3655982102,2.0,0.6931775212287903,0.6931775212287903,0.6951723098754883,0.250022143125534
outer_final,cleveland,,v2_deepsets_smoke,v2,5062,3655982102,3.0,0.6903104782104492,0.6903104782104492,0.692852258682251,0.2485936433076858
outer_final,hungary,,v2_attention_smoke,v2,5062,1127096016,1.0,0.7423816323280334,0.7423816323280334,0.7490500211715698,0.2739332020282745
outer_final,hungary,,v2_attention_smoke,v2,5062,1127096016,2.0,0.7110537886619568,0.7110537886619568,0.7164263725280762,0.2588514685630798
outer_final,hungary,,v2_attention_smoke,v2,5062,1127096016,3.0,0.6920917630195618,0.6920917630195618,0.694903552532196,0.2494655400514602
outer_final,hungary,,v2_deepsets_smoke,v2,5062,1089864956,1.0,0.7045801281929016,0.7045801281929016,0.7059537768363953,0.2556684017181396
outer_final,hungary,,v2_deepsets_smoke,v2,5062,1089864956,2.0,0.6980634331703186,0.6980634331703186,0.7004711627960205,0.252449095249176
outer_final,hungary,,v2_deepsets_smoke,v2,5062,1089864956,3.0,0.6930341720581055,0.6930341720581055,0.6962682008743286,0.2499442249536514
outer_final,switzerland,,v2_attention_smoke,v2,5062,4079811336,1.0,0.865471601486206,0.865471601486206,0.924794614315033,0.3208608031272888
outer_final,switzerland,,v2_attention_smoke,v2,5062,4079811336,2.0,0.7550250887870789,0.7550250887870789,0.8439654111862183,0.2770495414733886
outer_final,switzerland,,v2_attention_smoke,v2,5062,4079811336,3.0,0.6958449482917786,0.6958449482917786,0.7626644372940063,0.2507394850254059
outer_final,switzerland,,v2_deepsets_smoke,v2,5062,2036537987,1.0,0.7007977366447449,0.7007977366447449,0.7071192264556885,0.2538021504878998
outer_final,switzerland,,v2_deepsets_smoke,v2,5062,2036537987,2.0,0.6937518119812012,0.6937518119812012,0.6996501088142395,0.2503107488155365
outer_final,switzerland,,v2_deepsets_smoke,v2,5062,2036537987,3.0,0.6880264282226562,0.6880264282226562,0.6935124397277832,0.247450590133667
outer_final,va_long_beach,,v2_attention_smoke,v2,5062,1527439598,1.0,0.8270780444145203,0.8270780444145203,0.8520900011062622,0.3112924993038177
outer_final,va_long_beach,,v2_attention_smoke,v2,5062,1527439598,2.0,0.7651497721672058,0.7651497721672058,0.7929637432098389,0.2845896184444427
outer_final,va_long_beach,,v2_attention_smoke,v2,5062,1527439598,3.0,0.723884105682373,0.723884105682373,0.7470690011978149,0.2648718655109405
outer_final,va_long_beach,,v2_deepsets_smoke,v2,5062,2780787204,1.0,0.6985552310943604,0.6985552310943604,0.7065243124961853,0.2527021169662475
outer_final,va_long_beach,,v2_deepsets_smoke,v2,5062,2780787204,2.0,0.6952168345451355,0.6952168345451355,0.7027707099914551,0.2510342895984649
outer_final,va_long_beach,,v2_deepsets_smoke,v2,5062,2780787204,3.0,0.6922990679740906,0.6922990679740906,0.6995404362678528,0.2495759278535843
