view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,outer_target,experiment,variant,epochs,config_sha256
evidence,0.3,0.0002004983474950215,0.0027110265281677674,0.815,True,0.05,128,1.0063856178860742,drop_advanced,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.018907096435849795,0.003497082457068869,0.005,False,0.05,128,2.2128682345625577,drop_advanced,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.65,0.1680252195351882,0.0035246732557629506,0.005,False,0.05,128,2.9225353617686856,drop_advanced,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.4,0.06630541703377216,0.002444448418856675,0.005,False,0.05,384,,drop_advanced,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.5,0.013039510673731006,0.0020680442661539216,0.005,False,0.05,128,0.9762319693675988,drop_exercise,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.016282858744819495,0.002746691780334258,0.005,False,0.05,128,2.2128682345625577,drop_exercise,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,1.322807172674489,0.003787819881850613,0.005,False,0.05,128,3.375063445554771,drop_exercise,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.6,0.465908276853104,0.0021579532033696837,0.005,False,0.05,384,,drop_exercise,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.45,0.005574289752872559,0.002226431276426046,0.005,False,0.05,128,1.0119842374649297,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.019516742910856595,0.003806062889804493,0.005,False,0.05,128,2.2128682345625577,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.8,1.2927779411003102,0.004043515810230756,0.005,False,0.05,128,2.4318493236199186,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.5,0.4439970298115366,0.002547566596457565,0.005,False,0.05,384,,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.3,0.00039398342114751913,0.0017125809258184356,0.515,True,0.05,128,1.006727968717704,empirical_source,0,composite_multiview_v3,False,False,False,0.976897689768977,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.014092925290530097,0.002877569047447907,0.005,False,0.05,128,2.2128682345625577,empirical_source,0,composite_multiview_v3,False,False,False,0.976897689768977,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.8,0.038627370469756464,0.0037972785431070128,0.005,False,0.05,128,3.8153528889106565,empirical_source,0,composite_multiview_v3,False,False,False,0.976897689768977,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.35,0.01965493767078671,0.0022354134729781067,0.005,False,0.05,384,,empirical_source,0,composite_multiview_v3,False,False,False,0.976897689768977,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.3,0.00027754301580509475,0.00274173070445767,0.78,True,0.05,128,1.0039041363816938,empirical_source,1,composite_multiview_v3,False,False,False,0.9702970297029703,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.016604979952713803,0.003476853508001728,0.005,False,0.05,128,2.2128682345625577,empirical_source,1,composite_multiview_v3,False,False,False,0.9702970297029703,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.05644692622060608,0.005260787395013922,0.005,False,0.05,128,3.8759328747222184,empirical_source,1,composite_multiview_v3,False,False,False,0.9702970297029703,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.4,0.030034710085861446,0.0031109796483896482,0.005,False,0.05,384,,empirical_source,1,composite_multiview_v3,False,False,False,0.9702970297029703,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.35,0.0004878225846948424,0.0023292954261532805,0.535,True,0.05,128,1.0025883920060383,empirical_source,2,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.019183686915896687,0.0030859353198676226,0.005,False,0.05,128,2.2128682345625577,empirical_source,2,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.85,0.05298148427152032,0.003978406329213225,0.005,False,0.05,128,3.7762570195413048,empirical_source,2,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.35,0.026593166984073942,0.002626412987768589,0.005,False,0.05,384,,empirical_source,2,composite_multiview_v3,False,False,False,0.9504950495049505,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.3,0.0005644488424244188,0.0015368774626733383,0.265,True,0.05,128,1.0096395473341637,empirical_source,3,composite_multiview_v3,False,True,True,0.9438943894389439,0.07692307692307693,0.15384615384615385,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.45,0.01924253456961937,0.0037091288075417387,0.005,False,0.05,128,2.2128682345625577,empirical_source,3,composite_multiview_v3,False,True,True,0.9438943894389439,0.07692307692307693,0.15384615384615385,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.7,0.0478575185706211,0.004270315460344398,0.005,False,0.05,128,3.4669716447709873,empirical_source,3,composite_multiview_v3,False,True,True,0.9438943894389439,0.07692307692307693,0.15384615384615385,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.4,0.024787189630079587,0.002775249358621723,0.005,False,0.05,384,,empirical_source,3,composite_multiview_v3,False,True,True,0.9438943894389439,0.07692307692307693,0.15384615384615385,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.3,0.0007198762916750922,0.0019564775266126566,0.365,True,0.05,128,1.0043080248607303,empirical_source,4,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.35,0.01748732837580376,0.0037469610139645925,0.005,False,0.05,128,2.2128682345625577,empirical_source,4,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.9,0.03568881609775691,0.004200361395813506,0.005,False,0.05,128,3.823572203051489,empirical_source,4,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.35,0.020906864388504552,0.002577480009624931,0.005,False,0.05,384,,empirical_source,4,composite_multiview_v3,False,False,False,0.9735973597359736,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.3,0.0011808103449151295,0.0023584797267047425,0.185,True,0.05,128,1.0044701498780078,empirical_source,5,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.019553410480643126,0.0038847999727139627,0.005,False,0.05,128,2.2128682345625577,empirical_source,5,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.9,0.05350965812376417,0.004984422027989214,0.005,False,0.05,128,3.7920344265995807,empirical_source,5,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.35,0.02911193008066819,0.002649265666296893,0.005,False,0.05,384,,empirical_source,5,composite_multiview_v3,False,False,False,0.9603960396039604,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.3,0.0005250448525325215,0.0017165082267985507,0.345,True,0.05,128,1.0103243628643637,empirical_source,6,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.01796180429526343,0.003164129229376078,0.005,False,0.05,128,2.2128682345625577,empirical_source,6,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.8,0.047718832828197874,0.0038132207221247072,0.005,False,0.05,128,3.8494160892098477,empirical_source,6,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.35,0.023959457878189826,0.002836645590872707,0.005,False,0.05,384,,empirical_source,6,composite_multiview_v3,False,False,False,0.9801980198019802,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.3,0.001150829430560596,0.002141343473410555,0.185,True,0.05,128,1.0001737152550896,empirical_source,7,composite_multiview_v3,False,True,True,0.9702970297029703,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.019085581872956454,0.003032493488825876,0.005,False,0.05,128,2.2128682345625577,empirical_source,7,composite_multiview_v3,False,True,True,0.9702970297029703,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.03865022581718012,0.004237337760001117,0.005,False,0.05,128,3.947903726207487,empirical_source,7,composite_multiview_v3,False,True,True,0.9702970297029703,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.4,0.026278548739576177,0.002516795031479991,0.005,False,0.05,384,,empirical_source,7,composite_multiview_v3,False,True,True,0.9702970297029703,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.35,0.00031844219722723075,0.0020177762740796784,0.7,True,0.05,128,1.0054804280985101,empirical_source,8,composite_multiview_v3,False,False,False,0.9174917491749175,0.07692307692307693,0.15384615384615385,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.02161144357881914,0.0036086200458584003,0.005,False,0.05,128,2.2128682345625577,empirical_source,8,composite_multiview_v3,False,False,False,0.9174917491749175,0.07692307692307693,0.15384615384615385,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.04862581919228366,0.004476336431096003,0.005,False,0.05,128,3.7876289771537803,empirical_source,8,composite_multiview_v3,False,False,False,0.9174917491749175,0.07692307692307693,0.15384615384615385,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.35,0.027745386404345908,0.0026744235720120597,0.005,False,0.05,384,,empirical_source,8,composite_multiview_v3,False,False,False,0.9174917491749175,0.07692307692307693,0.15384615384615385,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.3,0.0004406512479406034,0.0031540303867449646,0.675,True,0.05,128,1.0114333281801668,empirical_source,9,composite_multiview_v3,False,True,True,0.9801980198019802,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.01808251706076216,0.0029341396567943287,0.005,False,0.05,128,2.2128682345625577,empirical_source,9,composite_multiview_v3,False,True,True,0.9801980198019802,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.7,0.04752339839776272,0.005774190332122962,0.005,False,0.05,128,3.3124383963471216,empirical_source,9,composite_multiview_v3,False,True,True,0.9801980198019802,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.35,0.023994475964416312,0.0032002089136727017,0.005,False,0.05,384,,empirical_source,9,composite_multiview_v3,False,True,True,0.9801980198019802,0.0,0.07692307692307693,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.4,0.0032059502430812846,0.001650705557288143,0.015,False,0.05,128,0.9956808318466069,mar_age_sex_30,0,composite_multiview_v3,False,True,True,0.16501650165016502,0.15384615384615385,0.23076923076923078,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.35,0.016461942683490882,0.004209532595063254,0.005,False,0.05,128,2.2128682345625577,mar_age_sex_30,0,composite_multiview_v3,False,True,True,0.16501650165016502,0.15384615384615385,0.23076923076923078,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.6387154726632752,0.0031518124159056063,0.005,False,0.05,128,4.1726767691958555,mar_age_sex_30,0,composite_multiview_v3,False,True,True,0.16501650165016502,0.15384615384615385,0.23076923076923078,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.45,0.23086216485341046,0.002623897163058029,0.005,False,0.05,384,,mar_age_sex_30,0,composite_multiview_v3,False,True,True,0.16501650165016502,0.15384615384615385,0.23076923076923078,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.45,0.005541626987028596,0.002618184989801579,0.005,False,0.05,128,0.9862196857528204,mar_age_sex_30,1,composite_multiview_v3,False,True,True,0.18151815181518152,0.15384615384615385,0.23076923076923078,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.01867083787241329,0.00350301672532666,0.005,False,0.05,128,2.2128682345625577,mar_age_sex_30,1,composite_multiview_v3,False,True,True,0.18151815181518152,0.15384615384615385,0.23076923076923078,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.5482876079443544,0.003681769976836139,0.005,False,0.05,128,4.159676418360886,mar_age_sex_30,1,composite_multiview_v3,False,True,True,0.18151815181518152,0.15384615384615385,0.23076923076923078,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
