policy,mask_replicate,diagnostic_mode,calibration_intercept,calibration_slope,estimated_target_prevalence_mlls,estimated_target_prevalence_soft_bbse,diagnostic_best_prior,diagnostic_best_statistic,diagnostic_p_value,diagnostic_accepted_interval_low,diagnostic_accepted_interval_high,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,adaptation_allowed,outer_target,experiment,variant,epochs,config_sha256
drop_advanced,0,composite_multiview_v3,-0.19675889237264255,0.7034665418414503,0.19637351979712792,0.3192393551074864,0.4,0.06630541703377216,0.005,,,True,True,1.0,0.0,0.0,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
drop_exercise,0,composite_multiview_v3,-0.11378305014141539,0.6665993401293464,0.33338856374684245,0.4884656656567203,0.6,0.465908276853104,0.005,,,True,True,1.0,0.0,0.0,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
drop_routine,0,composite_multiview_v3,-0.1758268982684227,0.6830522345132178,0.3432755942610254,0.4841134222133777,0.5,0.4439970298115366,0.005,,,True,True,1.0,0.0,0.0,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,0,composite_multiview_v3,-0.16776741075600174,0.6627706243554036,0.1476677976194672,0.3195130511555464,0.35,0.01965493767078671,0.005,,,False,False,0.976897689768977,0.0,0.07692307692307693,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,1,composite_multiview_v3,-0.14124164979333695,0.6822876671373589,0.20152884997500162,0.3284389438794888,0.4,0.030034710085861446,0.005,,,False,False,0.9702970297029703,0.0,0.07692307692307693,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,2,composite_multiview_v3,-0.14036462808439348,0.6716655613509828,0.21681460108099723,0.34007663075196665,0.35,0.026593166984073942,0.005,,,False,False,0.9504950495049505,0.0,0.07692307692307693,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,3,composite_multiview_v3,-0.12944204983039298,0.6662331673144607,0.18778859903522033,0.31801570547616925,0.4,0.024787189630079587,0.005,,,True,True,0.9438943894389439,0.07692307692307693,0.15384615384615385,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,4,composite_multiview_v3,-0.13878769675165914,0.6797346731587091,0.17343292335254898,0.3061784690517595,0.35,0.020906864388504552,0.005,,,False,False,0.9735973597359736,0.0,0.07692307692307693,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,5,composite_multiview_v3,-0.15041301267290458,0.6844776314150123,0.1606668611904122,0.3150761975462099,0.35,0.02911193008066819,0.005,,,False,False,0.9603960396039604,0.0,0.07692307692307693,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,6,composite_multiview_v3,-0.11069833975914414,0.7209366433857319,0.22523561220920896,0.3211701748064059,0.35,0.023959457878189826,0.005,,,False,False,0.9801980198019802,0.0,0.07692307692307693,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,7,composite_multiview_v3,-0.13419330308127875,0.6715522393526322,0.1878571771466729,0.3194241417840347,0.4,0.026278548739576177,0.005,,,True,True,0.9702970297029703,0.0,0.07692307692307693,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,8,composite_multiview_v3,-0.12178345967095709,0.716615715227281,0.24817234818031647,0.3360704500344338,0.35,0.027745386404345908,0.005,,,False,False,0.9174917491749175,0.07692307692307693,0.15384615384615385,False,cleveland,v2_prior_separated,v2,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
