stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_crossfit_v3_same_policy,cleveland,hungary,v2_prior_separated,v2,5062,822751217,5.0,0.5668606758117676,0.5668606758117676,0.6399860382080078,0.19145411252975464
outer_crossfit_v3_same_policy,cleveland,hungary,v2_prior_separated,v2,5062,822751217,10.0,0.5136375427246094,0.5136375427246094,0.6433618664741516,0.17077699303627014
outer_crossfit_v3_same_policy,cleveland,hungary,v2_prior_separated,v2,5063,3292089358,5.0,0.6271947622299194,0.6271947622299194,0.647355854511261,0.2188621312379837
outer_crossfit_v3_same_policy,cleveland,hungary,v2_prior_separated,v2,5063,3292089358,10.0,0.532204270362854,0.532204270362854,0.6038398742675781,0.1778857558965683
outer_crossfit_v3_same_policy,cleveland,hungary,v2_prior_separated,v2,5064,758234670,5.0,0.5949265956878662,0.5949265956878662,0.6211104989051819,0.20558664202690125
outer_crossfit_v3_same_policy,cleveland,hungary,v2_prior_separated,v2,5064,758234670,10.0,0.5328967571258545,0.5328967571258545,0.6611149311065674,0.18010187149047852
outer_crossfit_v3_same_policy,cleveland,switzerland,v2_prior_separated,v2,5062,3908447829,5.0,0.5440735816955566,0.5440735816955566,0.6405075788497925,0.181768536567688
outer_crossfit_v3_same_policy,cleveland,switzerland,v2_prior_separated,v2,5062,3908447829,10.0,0.5061416029930115,0.5061416029930115,0.6117138862609863,0.16700491309165955
outer_crossfit_v3_same_policy,cleveland,switzerland,v2_prior_separated,v2,5063,4278326723,5.0,0.5361642837524414,0.5361642837524414,0.5837857723236084,0.17808163166046143
outer_crossfit_v3_same_policy,cleveland,switzerland,v2_prior_separated,v2,5063,4278326723,10.0,0.4906423091888428,0.4906423091888428,0.589840829372406,0.16190901398658752
outer_crossfit_v3_same_policy,cleveland,switzerland,v2_prior_separated,v2,5064,4147220747,5.0,0.5173661708831787,0.5173661708831787,0.6187053918838501,0.1702231466770172
outer_crossfit_v3_same_policy,cleveland,switzerland,v2_prior_separated,v2,5064,4147220747,10.0,0.47689875960350037,0.47689875960350037,0.5660338401794434,0.15685656666755676
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v2_prior_separated,v2,5062,1322526551,5.0,0.532223105430603,0.532223105430603,0.5655521154403687,0.17529886960983276
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v2_prior_separated,v2,5062,1322526551,10.0,0.44090336561203003,0.44090336561203003,0.45414450764656067,0.1393437385559082
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v2_prior_separated,v2,5063,2808976083,5.0,0.4938916563987732,0.4938916563987732,0.4987812936306,0.15982577204704285
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v2_prior_separated,v2,5063,2808976083,10.0,0.4440845847129822,0.4440845847129822,0.449497252702713,0.1439102590084076
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v2_prior_separated,v2,5064,1908818807,5.0,0.5209891200065613,0.5209891200065613,0.5398477911949158,0.16886697709560394
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v2_prior_separated,v2,5064,1908818807,10.0,0.43168962001800537,0.43168962001800537,0.44954705238342285,0.13713139295578003
outer_final,cleveland,,v2_prior_separated,v2,5062,1205164812,5.0,0.5411742925643921,0.5411742925643921,0.6554784774780273,0.18015067279338837
outer_final,cleveland,,v2_prior_separated,v2,5062,1205164812,10.0,0.5012102127075195,0.5012102127075195,0.6452328562736511,0.16520994901657104
outer_final,cleveland,,v2_prior_separated,v2,5063,2379880245,5.0,0.5369396209716797,0.5369396209716797,0.6221432089805603,0.17860233783721924
outer_final,cleveland,,v2_prior_separated,v2,5063,2379880245,10.0,0.493722528219223,0.493722528219223,0.607734203338623,0.1618657112121582
outer_final,cleveland,,v2_prior_separated,v2,5064,3808473293,5.0,0.5805952548980713,0.5805952548980713,0.6503490209579468,0.19732627272605896
outer_final,cleveland,,v2_prior_separated,v2,5064,3808473293,10.0,0.5232629776000977,0.5232629776000977,0.6324334144592285,0.17406177520751953
