view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,outer_target,experiment,variant,epochs,config_sha256
evidence,0.35,0.002293110161637286,0.0024720317299667706,0.06,True,0.05,128,1.0157944895475772,drop_advanced,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.018907096435849795,0.003497082457068869,0.005,False,0.05,128,2.2128682345625577,drop_advanced,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.65,0.1680252195351882,0.0035246732557629506,0.005,False,0.05,128,2.9225353617686856,drop_advanced,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.4,0.06594583788078852,0.0023211467878659644,0.005,False,0.05,384,,drop_advanced,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.45,0.03970519760577976,0.0016171907825891028,0.005,False,0.05,128,0.9634184521305169,drop_exercise,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.016282858744819495,0.002746691780334258,0.005,False,0.05,128,2.2128682345625577,drop_exercise,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,1.322807172674489,0.003787819881850613,0.005,False,0.05,128,3.375063445554771,drop_exercise,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.55,0.4759781554513788,0.0019285925133509844,0.005,False,0.05,384,,drop_exercise,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.5,0.023141039743914585,0.0020916399341979366,0.005,False,0.05,128,1.0186180687460038,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.019516742910856595,0.003806062889804493,0.005,False,0.05,128,2.2128682345625577,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.8,1.2927779411003102,0.004043515810230756,0.005,False,0.05,128,2.4318493236199186,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.5,0.44970242062963095,0.0025260666099429594,0.005,False,0.05,384,,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.35,0.0029330472136929143,0.0014083779738317947,0.015,False,0.05,128,1.0160950062086473,empirical_source,0,composite_multiview_v3,False,False,False,0.976897689768977,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.014092925290530097,0.002877569047447907,0.005,False,0.05,128,2.2128682345625577,empirical_source,0,composite_multiview_v3,False,False,False,0.976897689768977,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.8,0.038627370469756464,0.0037972785431070128,0.005,False,0.05,128,3.8153528889106565,empirical_source,0,composite_multiview_v3,False,False,False,0.976897689768977,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.4,0.02010576991729047,0.0021716280827651343,0.005,False,0.05,384,,empirical_source,0,composite_multiview_v3,False,False,False,0.976897689768977,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.35,0.0028964808862383686,0.0029708470131071764,0.06,True,0.05,128,1.0018114192275729,empirical_source,1,composite_multiview_v3,False,False,False,0.9702970297029703,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.4,0.016604979952713803,0.003476853508001728,0.005,False,0.05,128,2.2128682345625577,empirical_source,1,composite_multiview_v3,False,False,False,0.9702970297029703,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.05644692622060608,0.005260787395013922,0.005,False,0.05,128,3.8759328747222184,empirical_source,1,composite_multiview_v3,False,False,False,0.9702970297029703,0.0,0.07692307692307693,cleveland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
