stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_crossfit_v3_same_policy,cleveland,hungary,v5_mask_only_dro,v5_mask,5062,1629033337,5.0,0.5987955331802368,0.5782554745674133,0.5794793963432312,0.19622153043746948
outer_crossfit_v3_same_policy,cleveland,hungary,v5_mask_only_dro,v5_mask,5062,1629033337,10.0,0.5774494409561157,0.5564951300621033,0.5594178438186646,0.18762297928333282
outer_crossfit_v3_same_policy,cleveland,hungary,v5_mask_only_dro,v5_mask,5063,1593430354,5.0,0.6146462559700012,0.5933942794799805,0.5946891903877258,0.20280803740024567
outer_crossfit_v3_same_policy,cleveland,hungary,v5_mask_only_dro,v5_mask,5063,1593430354,10.0,0.5623947381973267,0.5417606234550476,0.5448233485221863,0.18337054550647736
outer_crossfit_v3_same_policy,cleveland,hungary,v5_mask_only_dro,v5_mask,5064,2874318978,5.0,0.6455596089363098,0.6231819987297058,0.6241375803947449,0.21660900115966797
outer_crossfit_v3_same_policy,cleveland,hungary,v5_mask_only_dro,v5_mask,5064,2874318978,10.0,0.5834784507751465,0.563967227935791,0.5646352171897888,0.19010260701179504
outer_crossfit_v3_same_policy,cleveland,switzerland,v5_mask_only_dro,v5_mask,5062,200942098,5.0,0.5964645743370056,0.5753858685493469,0.5774763226509094,0.19510842859745026
outer_crossfit_v3_same_policy,cleveland,switzerland,v5_mask_only_dro,v5_mask,5062,200942098,10.0,0.556308925151825,0.5372107625007629,0.5388726592063904,0.17851774394512177
outer_crossfit_v3_same_policy,cleveland,switzerland,v5_mask_only_dro,v5_mask,5063,2332629452,5.0,0.5815057158470154,0.5614699721336365,0.562980592250824,0.1890278309583664
outer_crossfit_v3_same_policy,cleveland,switzerland,v5_mask_only_dro,v5_mask,5063,2332629452,10.0,0.5431219339370728,0.525019645690918,0.5259103775024414,0.17434246838092804
outer_crossfit_v3_same_policy,cleveland,switzerland,v5_mask_only_dro,v5_mask,5064,1791339868,5.0,0.6098746061325073,0.588750958442688,0.5901393890380859,0.2008233368396759
outer_crossfit_v3_same_policy,cleveland,switzerland,v5_mask_only_dro,v5_mask,5064,1791339868,10.0,0.5595417022705078,0.54034024477005,0.5418316125869751,0.1808290034532547
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v5_mask_only_dro,v5_mask,5062,3108106134,5.0,0.5514861345291138,0.5307708978652954,0.5349435806274414,0.17585770785808563
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v5_mask_only_dro,v5_mask,5062,3108106134,10.0,0.4786958694458008,0.46095508337020874,0.4646054208278656,0.15003028512001038
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v5_mask_only_dro,v5_mask,5063,2979883693,5.0,0.5583706498146057,0.5395041704177856,0.5409477353096008,0.17783793807029724
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v5_mask_only_dro,v5_mask,5063,2979883693,10.0,0.48184627294540405,0.4617600440979004,0.46852588653564453,0.15011845529079437
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v5_mask_only_dro,v5_mask,5064,1206914435,5.0,0.5244625210762024,0.506078839302063,0.508478581905365,0.16583864390850067
outer_crossfit_v3_same_policy,cleveland,va_long_beach,v5_mask_only_dro,v5_mask,5064,1206914435,10.0,0.4626241624355316,0.4455999732017517,0.44907742738723755,0.14416077733039856
outer_final,cleveland,,v5_mask_only_dro,v5_mask,5062,2908162408,5.0,0.5909128189086914,0.5680614113807678,0.572888195514679,0.19231346249580383
outer_final,cleveland,,v5_mask_only_dro,v5_mask,5062,2908162408,10.0,0.5530713200569153,0.5311498045921326,0.5367264747619629,0.1773899644613266
outer_final,cleveland,,v5_mask_only_dro,v5_mask,5063,402972144,5.0,0.597862958908081,0.5772320032119751,0.5786334872245789,0.1957988440990448
outer_final,cleveland,,v5_mask_only_dro,v5_mask,5063,402972144,10.0,0.536221981048584,0.5177534818649292,0.5194624066352844,0.1718677580356598
outer_final,cleveland,,v5_mask_only_dro,v5_mask,5064,1626198281,5.0,0.5931687355041504,0.5720173716545105,0.5743814706802368,0.193783238530159
outer_final,cleveland,,v5_mask_only_dro,v5_mask,5064,1626198281,10.0,0.5501302480697632,0.5306356549263,0.5328446626663208,0.17837847769260406
