view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,outer_target,experiment,variant,epochs,config_sha256
evidence,0.25,0.036813483157682306,0.0023774118689575624,0.005,False,0.05,128,1.0010048139784662,drop_advanced,0,composite_multiview_v3,False,True,True,0.9931972789115646,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.05,0.03595969573258691,0.0063189806814433515,0.005,False,0.05,128,2.322862924197019,drop_advanced,0,composite_multiview_v3,False,True,True,0.9931972789115646,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.3,0.10327577416430672,0.0028945077521899632,0.005,False,0.05,128,3.698991182306973,drop_advanced,0,composite_multiview_v3,False,True,True,0.9931972789115646,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.15,0.06095359824989597,0.00276089723177001,0.005,False,0.05,384,,drop_advanced,0,composite_multiview_v3,False,True,True,0.9931972789115646,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.05,0.018489768619673445,0.006771345878768455,0.01,False,0.05,128,0.9922340256356217,drop_exercise,0,composite_multiview_v3,False,True,True,0.9897959183673469,0.0,0.07692307692307693,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.05,0.03837881003638011,0.007745745143346659,0.005,False,0.05,128,2.322862924197019,drop_exercise,0,composite_multiview_v3,False,True,True,0.9897959183673469,0.0,0.07692307692307693,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.18672022575769665,0.0038692708657531564,0.005,False,0.05,128,3.629353675548564,drop_exercise,0,composite_multiview_v3,False,True,True,0.9897959183673469,0.0,0.07692307692307693,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.25,0.11204758202651173,0.0029355184568444726,0.005,False,0.05,384,,drop_exercise,0,composite_multiview_v3,False,True,True,0.9897959183673469,0.0,0.07692307692307693,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.25,0.023720186155927393,0.0023078216029599795,0.005,False,0.05,128,0.9904715777616406,drop_routine,0,composite_multiview_v3,False,True,True,0.9965986394557823,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.05,0.03195268142213891,0.005783779437230298,0.005,False,0.05,128,2.322862924197019,drop_routine,0,composite_multiview_v3,False,True,True,0.9965986394557823,0.0,0.15384615384615385,hungary,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
