stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_crossfit_v3_same_policy,hungary,cleveland,v2_prior_separated,v2,5062,3370629961,5.0,0.5768860578536987,0.5768860578536987,0.6129875183105469,0.196753591299057
outer_crossfit_v3_same_policy,hungary,cleveland,v2_prior_separated,v2,5063,2834301705,5.0,0.6275882720947266,0.6275882720947266,0.6569699048995972,0.2183161973953247
outer_crossfit_v3_same_policy,hungary,cleveland,v2_prior_separated,v2,5064,3485454041,5.0,0.556435227394104,0.556435227394104,0.6110354661941528,0.18739259243011475
outer_crossfit_v3_same_policy,hungary,switzerland,v2_prior_separated,v2,5062,1970434882,5.0,0.562281608581543,0.562281608581543,0.5805141925811768,0.19112065434455872
outer_crossfit_v3_same_policy,hungary,switzerland,v2_prior_separated,v2,5063,318896272,5.0,0.5648626089096069,0.5648626089096069,0.6338822841644287,0.19202718138694763
outer_crossfit_v3_same_policy,hungary,switzerland,v2_prior_separated,v2,5064,1258235991,5.0,0.5211822986602783,0.5211822986602783,0.6255887746810913,0.17339792847633362
outer_crossfit_v3_same_policy,hungary,va_long_beach,v2_prior_separated,v2,5062,540654349,5.0,0.47131234407424927,0.47131234407424927,0.47254952788352966,0.15125343203544617
outer_crossfit_v3_same_policy,hungary,va_long_beach,v2_prior_separated,v2,5063,3437223325,5.0,0.48042407631874084,0.48042407631874084,0.4989135265350342,0.15844964981079102
outer_crossfit_v3_same_policy,hungary,va_long_beach,v2_prior_separated,v2,5064,3723999510,5.0,0.5238761305809021,0.5238761305809021,0.5757805109024048,0.17319343984127045
outer_final,hungary,,v2_prior_separated,v2,5062,1709467704,5.0,0.5412781238555908,0.5412781238555908,0.621964156627655,0.18136344850063324
outer_final,hungary,,v2_prior_separated,v2,5063,27095261,5.0,0.5623482465744019,0.5623482465744019,0.6644413471221924,0.18974480032920837
outer_final,hungary,,v2_prior_separated,v2,5064,2712443754,5.0,0.6067135334014893,0.6067135334014893,0.6737762689590454,0.2093927562236786
