stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_crossfit_v3_same_policy,hungary,cleveland,v5_mask_only_dro,v5_mask,5062,287479587,5.0,0.6413671970367432,0.6191256642341614,0.6201537251472473,0.2147049605846405
outer_crossfit_v3_same_policy,hungary,cleveland,v5_mask_only_dro,v5_mask,5063,1797962183,5.0,0.6501644253730774,0.6271427869796753,0.6287245154380798,0.21835409104824066
outer_crossfit_v3_same_policy,hungary,cleveland,v5_mask_only_dro,v5_mask,5064,3611645978,5.0,0.6354072093963623,0.6118316650390625,0.6149751543998718,0.21217915415763855
outer_crossfit_v3_same_policy,hungary,switzerland,v5_mask_only_dro,v5_mask,5062,1729199502,5.0,0.619331419467926,0.5975512266159058,0.5992799997329712,0.2048363983631134
outer_crossfit_v3_same_policy,hungary,switzerland,v5_mask_only_dro,v5_mask,5063,3616846105,5.0,0.6062444448471069,0.5859508514404297,0.5863828659057617,0.1996956616640091
outer_crossfit_v3_same_policy,hungary,switzerland,v5_mask_only_dro,v5_mask,5064,4113356170,5.0,0.5943096280097961,0.5740723609924316,0.5751428008079529,0.1943443864583969
outer_crossfit_v3_same_policy,hungary,va_long_beach,v5_mask_only_dro,v5_mask,5062,3817809398,5.0,0.5617538690567017,0.543060302734375,0.543860137462616,0.18093706667423248
outer_crossfit_v3_same_policy,hungary,va_long_beach,v5_mask_only_dro,v5_mask,5063,2004662910,5.0,0.5677388906478882,0.5486276149749756,0.5497295260429382,0.18284861743450165
outer_crossfit_v3_same_policy,hungary,va_long_beach,v5_mask_only_dro,v5_mask,5064,733989990,5.0,0.5880367755889893,0.5667831897735596,0.5696651339530945,0.19092170894145966
outer_final,hungary,,v5_mask_only_dro,v5_mask,5062,2848838906,5.0,0.6028796434402466,0.5815320014953613,0.5835273861885071,0.19851084053516388
outer_final,hungary,,v5_mask_only_dro,v5_mask,5063,2047030563,5.0,0.6239423155784607,0.6020908951759338,0.6036243438720703,0.20701342821121216
outer_final,hungary,,v5_mask_only_dro,v5_mask,5064,2146888502,5.0,0.614241898059845,0.5930080413818359,0.5942656397819519,0.202906996011734
