view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,outer_target,experiment,variant,epochs,config_sha256
evidence,0.7,0.04809928432555912,0.004870471600261699,0.005,False,0.05,128,1.0024859630558751,drop_advanced,0,composite_multiview_v3,False,True,True,0.8617886178861789,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.004341987621487513,0.006139373273334297,0.125,True,0.05,128,2.38253044334952,drop_advanced,0,composite_multiview_v3,False,True,True,0.8617886178861789,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.7037116001537104,0.007723672919691428,0.005,False,0.05,128,3.3464362312899243,drop_advanced,0,composite_multiview_v3,False,True,True,0.8617886178861789,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.8,0.2589559114222709,0.004296177895518742,0.005,False,0.05,384,,drop_advanced,0,composite_multiview_v3,False,True,True,0.8617886178861789,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.04189982888411511,0.01112551498947223,0.005,False,0.05,128,1.0047099207896082,drop_exercise,0,composite_multiview_v3,False,True,True,0.7398373983739838,0.07692307692307693,0.07692307692307693,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.004490850244981094,0.006091695866733233,0.12,True,0.05,128,2.38253044334952,drop_exercise,0,composite_multiview_v3,False,True,True,0.7398373983739838,0.07692307692307693,0.07692307692307693,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.7766587386375039,0.008872716684700079,0.005,False,0.05,128,2.875820092219201,drop_exercise,0,composite_multiview_v3,False,True,True,0.7398373983739838,0.07692307692307693,0.07692307692307693,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.27434980592220004,0.007095205500645241,0.005,False,0.05,384,,drop_exercise,0,composite_multiview_v3,False,True,True,0.7398373983739838,0.07692307692307693,0.07692307692307693,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.7,0.02610762859639089,0.002933970044907223,0.005,False,0.05,128,1.0008435671104052,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.003760665082559035,0.005905804253089987,0.19,True,0.05,128,2.38253044334952,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.06642345224677546,0.009189051250120792,0.005,False,0.05,128,2.923356506301114,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.8,0.038768825390527846,0.004493669234439424,0.005,False,0.05,384,,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.7,0.04242105666252233,0.006054760498058026,0.005,False,0.05,128,0.9984283930738452,empirical_source,0,composite_multiview_v3,False,True,True,0.8536585365853658,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.00391232635146354,0.006199092466725101,0.21,True,0.05,128,2.38253044334952,empirical_source,0,composite_multiview_v3,False,True,True,0.8536585365853658,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.4,0.3722396502214636,0.006810250395660312,0.005,False,0.05,128,4.094555194836158,empirical_source,0,composite_multiview_v3,False,True,True,0.8536585365853658,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.8,0.14425564924241346,0.004564814789926802,0.005,False,0.05,384,,empirical_source,0,composite_multiview_v3,False,True,True,0.8536585365853658,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.7,0.03461626302698606,0.0037723870729237967,0.005,False,0.05,128,1.0071019601748352,empirical_source,1,composite_multiview_v3,False,True,True,0.8292682926829268,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.003604255618254691,0.005304488956606603,0.175,True,0.05,128,2.38253044334952,empirical_source,1,composite_multiview_v3,False,True,True,0.8292682926829268,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.38261316769864856,0.006687137641185009,0.005,False,0.05,128,4.222158906819223,empirical_source,1,composite_multiview_v3,False,True,True,0.8292682926829268,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.85,0.14517026440483094,0.0043943104901513815,0.005,False,0.05,384,,empirical_source,1,composite_multiview_v3,False,True,True,0.8292682926829268,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.7,0.03638994874446317,0.003471263013590036,0.005,False,0.05,128,1.0038402625372047,empirical_source,2,composite_multiview_v3,False,True,True,0.8455284552845529,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.0031492931871825733,0.004909941127588694,0.22,True,0.05,128,2.38253044334952,empirical_source,2,composite_multiview_v3,False,True,True,0.8455284552845529,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.4067666523144391,0.00751787844254739,0.005,False,0.05,128,4.136554687678503,empirical_source,2,composite_multiview_v3,False,True,True,0.8455284552845529,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.8,0.15402136680515904,0.004333876700054126,0.005,False,0.05,384,,empirical_source,2,composite_multiview_v3,False,True,True,0.8455284552845529,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.7,0.03562158100651902,0.003975218495247689,0.005,False,0.05,128,1.0055585353285217,empirical_source,3,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.004560621460570647,0.006429580899011109,0.13,True,0.05,128,2.38253044334952,empirical_source,3,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.44519618393551885,0.007120085673177834,0.005,False,0.05,128,4.283960024828556,empirical_source,3,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.85,0.16899529585563142,0.004784918427339754,0.005,False,0.05,384,,empirical_source,3,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.75,0.04026043169150819,0.005090852790366975,0.005,False,0.05,128,1.0077661086099012,empirical_source,4,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.0041455431607885385,0.006172045681069553,0.19,True,0.05,128,2.38253044334952,empirical_source,4,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.36600175270701174,0.007599752073941991,0.005,False,0.05,128,4.281507033452144,empirical_source,4,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.85,0.14113059586255072,0.0048786265359248735,0.005,False,0.05,384,,empirical_source,4,composite_multiview_v3,False,True,True,0.8211382113821138,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.8,0.04989055528951261,0.007182461486704032,0.005,False,0.05,128,1.0054837156821872,empirical_source,5,composite_multiview_v3,False,True,True,0.8373983739837398,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.0036768272610893855,0.0066426974658399494,0.19,True,0.05,128,2.38253044334952,empirical_source,5,composite_multiview_v3,False,True,True,0.8373983739837398,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.4164533117339234,0.008627967579203831,0.005,False,0.05,128,4.324768217216452,empirical_source,5,composite_multiview_v3,False,True,True,0.8373983739837398,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.85,0.15971491197786153,0.005243013526305338,0.005,False,0.05,384,,empirical_source,5,composite_multiview_v3,False,True,True,0.8373983739837398,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.75,0.04168407055331769,0.00445037466256416,0.005,False,0.05,128,1.000516243645253,empirical_source,6,composite_multiview_v3,False,True,True,0.8373983739837398,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.0033785064310412442,0.00534245324209639,0.225,True,0.05,128,2.38253044334952,empirical_source,6,composite_multiview_v3,False,True,True,0.8373983739837398,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.9,0.28307890731997903,0.008065451564897954,0.005,False,0.05,128,4.287490536556559,empirical_source,6,composite_multiview_v3,False,True,True,0.8373983739837398,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.85,0.11215914400720016,0.004328973261290082,0.005,False,0.05,384,,empirical_source,6,composite_multiview_v3,False,True,True,0.8373983739837398,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.7,0.04059218938503073,0.004916031171982239,0.005,False,0.05,128,1.0135858012667731,empirical_source,7,composite_multiview_v3,False,True,True,0.7642276422764228,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.0042714359010997465,0.005650236112316434,0.135,True,0.05,128,2.38253044334952,empirical_source,7,composite_multiview_v3,False,True,True,0.7642276422764228,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.3500582010257849,0.007013867031727252,0.005,False,0.05,128,4.2807350362722145,empirical_source,7,composite_multiview_v3,False,True,True,0.7642276422764228,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.8,0.13738015280282856,0.004845374141400778,0.005,False,0.05,384,,empirical_source,7,composite_multiview_v3,False,True,True,0.7642276422764228,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.75,0.029456100716292746,0.002864866270623433,0.005,False,0.05,128,1.0040583196069999,empirical_source,8,composite_multiview_v3,False,True,True,0.8292682926829268,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.0036185928710493883,0.006333262940629546,0.18,True,0.05,128,2.38253044334952,empirical_source,8,composite_multiview_v3,False,True,True,0.8292682926829268,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.310234358671691,0.007155428723787695,0.005,False,0.05,128,4.356730637646418,empirical_source,8,composite_multiview_v3,False,True,True,0.8292682926829268,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.85,0.11878098312545612,0.004210869514166109,0.005,False,0.05,384,,empirical_source,8,composite_multiview_v3,False,True,True,0.8292682926829268,0.07692307692307693,0.15384615384615385,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.8,0.04762832326422129,0.006222177509517109,0.005,False,0.05,128,1.0076640338164788,empirical_source,9,composite_multiview_v3,False,True,True,0.8699186991869918,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.00363355519639875,0.005475006157805676,0.175,True,0.05,128,2.38253044334952,empirical_source,9,composite_multiview_v3,False,True,True,0.8699186991869918,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.4223761182133906,0.007305753965143211,0.005,False,0.05,128,4.161841287723946,empirical_source,9,composite_multiview_v3,False,True,True,0.8699186991869918,0.07692307692307693,0.23076923076923078,switzerland,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
