stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_crossfit_v3_same_policy,switzerland,cleveland,v2_prior_separated,v2,5062,1447833008,5.0,0.5538304448127747,0.5538304448127747,0.6487832069396973,0.18586811423301697
outer_crossfit_v3_same_policy,switzerland,cleveland,v2_prior_separated,v2,5063,1382791142,5.0,0.52354496717453,0.52354496717453,0.6148184537887573,0.17338210344314575
outer_crossfit_v3_same_policy,switzerland,cleveland,v2_prior_separated,v2,5064,2808067068,5.0,0.5157592296600342,0.5157592296600342,0.6146649718284607,0.17033863067626953
outer_crossfit_v3_same_policy,switzerland,hungary,v2_prior_separated,v2,5062,388150356,5.0,0.5431216955184937,0.5431216955184937,0.6299955248832703,0.18179014325141907
outer_crossfit_v3_same_policy,switzerland,hungary,v2_prior_separated,v2,5063,1852883632,5.0,0.5264652371406555,0.5264652371406555,0.5722507834434509,0.1747439205646515
outer_crossfit_v3_same_policy,switzerland,hungary,v2_prior_separated,v2,5064,1282321727,5.0,0.5393763780593872,0.5393763780593872,0.6119816303253174,0.18146507441997528
outer_crossfit_v3_same_policy,switzerland,va_long_beach,v2_prior_separated,v2,5062,1427663272,5.0,0.4637347459793091,0.4637347459793091,0.4855082035064697,0.14981910586357117
outer_crossfit_v3_same_policy,switzerland,va_long_beach,v2_prior_separated,v2,5063,3494699976,5.0,0.40777474641799927,0.40777474641799927,0.41163870692253113,0.12759149074554443
outer_crossfit_v3_same_policy,switzerland,va_long_beach,v2_prior_separated,v2,5064,2279928075,5.0,0.418390691280365,0.418390691280365,0.4358425736427307,0.13312451541423798
outer_final,switzerland,,v2_prior_separated,v2,5062,3817794359,5.0,0.6059896349906921,0.6059896349906921,0.6421571373939514,0.20938313007354736
outer_final,switzerland,,v2_prior_separated,v2,5063,1890372130,5.0,0.5249289274215698,0.5249289274215698,0.706177294254303,0.17451211810112
outer_final,switzerland,,v2_prior_separated,v2,5064,2849275270,5.0,0.48981961607933044,0.48981961607933044,0.6383233070373535,0.15947996079921722
