view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,outer_target,experiment,variant,epochs,config_sha256
evidence,0.85,0.010869463557388402,0.004491654561009568,0.005,False,0.05,128,0.9911252147317824,drop_advanced,0,composite_multiview_v3,False,True,True,0.8617886178861789,0.07692307692307693,0.23076923076923078,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.004341987621487513,0.006139373273334297,0.125,True,0.05,128,2.38253044334952,drop_advanced,0,composite_multiview_v3,False,True,True,0.8617886178861789,0.07692307692307693,0.23076923076923078,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.7037116001537104,0.007723672919691428,0.005,False,0.05,128,3.3464362312899243,drop_advanced,0,composite_multiview_v3,False,True,True,0.8617886178861789,0.07692307692307693,0.23076923076923078,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.24121855803739523,0.00515279015350076,0.005,False,0.05,384,,drop_advanced,0,composite_multiview_v3,False,True,True,0.8617886178861789,0.07692307692307693,0.23076923076923078,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.036773381776524276,0.009182154731078362,0.005,False,0.05,128,1.0072427894277864,drop_exercise,0,composite_multiview_v3,False,True,True,0.7398373983739838,0.07692307692307693,0.07692307692307693,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.004490850244981094,0.006091695866733233,0.12,True,0.05,128,2.38253044334952,drop_exercise,0,composite_multiview_v3,False,True,True,0.7398373983739838,0.07692307692307693,0.07692307692307693,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.7766587386375039,0.008872716684700079,0.005,False,0.05,128,2.875820092219201,drop_exercise,0,composite_multiview_v3,False,True,True,0.7398373983739838,0.07692307692307693,0.07692307692307693,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.2726409902196698,0.006959671330806469,0.005,False,0.05,384,,drop_exercise,0,composite_multiview_v3,False,True,True,0.7398373983739838,0.07692307692307693,0.07692307692307693,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.9,0.003737349592771849,0.004835087718545794,0.1,True,0.05,128,0.9865534756852948,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.003760665082559035,0.005905804253089987,0.19,True,0.05,128,2.38253044334952,drop_routine,0,composite_multiview_v3,False,True,True,1.0,0.0,0.0,switzerland,v5_mask_only_dro,v5_mask,10,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
