stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_crossfit_v3_same_policy,switzerland,cleveland,v5_mask_only_dro,v5_mask,5062,2539915707,5.0,0.5969520211219788,0.5762937068939209,0.5778366923332214,0.19501064717769623
outer_crossfit_v3_same_policy,switzerland,cleveland,v5_mask_only_dro,v5_mask,5062,2539915707,10.0,0.5635221600532532,0.5435714721679688,0.5459244847297668,0.1818591207265854
outer_crossfit_v3_same_policy,switzerland,cleveland,v5_mask_only_dro,v5_mask,5063,3229847114,5.0,0.5676573514938354,0.5474017858505249,0.5498678088188171,0.18406009674072266
outer_crossfit_v3_same_policy,switzerland,cleveland,v5_mask_only_dro,v5_mask,5063,3229847114,10.0,0.534095823764801,0.5151395201683044,0.5175377130508423,0.17157654464244843
outer_crossfit_v3_same_policy,switzerland,cleveland,v5_mask_only_dro,v5_mask,5064,441379791,5.0,0.5748844742774963,0.5537601113319397,0.5570446252822876,0.18660981953144073
outer_crossfit_v3_same_policy,switzerland,cleveland,v5_mask_only_dro,v5_mask,5064,441379791,10.0,0.5526108145713806,0.5337973237037659,0.5350179672241211,0.1789802759885788
outer_crossfit_v3_same_policy,switzerland,hungary,v5_mask_only_dro,v5_mask,5062,1256630159,5.0,0.580386221408844,0.560415506362915,0.5618520975112915,0.18893329799175262
outer_crossfit_v3_same_policy,switzerland,hungary,v5_mask_only_dro,v5_mask,5062,1256630159,10.0,0.5482797026634216,0.5289558172225952,0.5311269760131836,0.17695462703704834
outer_crossfit_v3_same_policy,switzerland,hungary,v5_mask_only_dro,v5_mask,5063,3691158096,5.0,0.5789504051208496,0.5593567490577698,0.5604107975959778,0.18803121149539948
outer_crossfit_v3_same_policy,switzerland,hungary,v5_mask_only_dro,v5_mask,5063,3691158096,10.0,0.5472460985183716,0.5281363129615784,0.5301477313041687,0.17601278424263
outer_crossfit_v3_same_policy,switzerland,hungary,v5_mask_only_dro,v5_mask,5064,3734103802,5.0,0.6211128234863281,0.5996904373168945,0.6008176207542419,0.20577041804790497
outer_crossfit_v3_same_policy,switzerland,hungary,v5_mask_only_dro,v5_mask,5064,3734103802,10.0,0.5604994297027588,0.541658878326416,0.5425063967704773,0.18204936385154724
outer_crossfit_v3_same_policy,switzerland,va_long_beach,v5_mask_only_dro,v5_mask,5062,3727328983,5.0,0.5073170065879822,0.4894354045391083,0.49223119020462036,0.1578473001718521
outer_crossfit_v3_same_policy,switzerland,va_long_beach,v5_mask_only_dro,v5_mask,5062,3727328983,10.0,0.45097869634628296,0.4329189658164978,0.43859121203422546,0.13805562257766724
outer_crossfit_v3_same_policy,switzerland,va_long_beach,v5_mask_only_dro,v5_mask,5063,1115100487,5.0,0.543184220790863,0.5246290564537048,0.5264558792114258,0.1718500405550003
outer_crossfit_v3_same_policy,switzerland,va_long_beach,v5_mask_only_dro,v5_mask,5063,1115100487,10.0,0.45511263608932495,0.4386250078678131,0.4418770968914032,0.14048583805561066
outer_crossfit_v3_same_policy,switzerland,va_long_beach,v5_mask_only_dro,v5_mask,5064,2592335420,5.0,0.5077481269836426,0.49041882157325745,0.49245700240135193,0.1580067276954651
outer_crossfit_v3_same_policy,switzerland,va_long_beach,v5_mask_only_dro,v5_mask,5064,2592335420,10.0,0.4362127482891083,0.42000362277030945,0.42374229431152344,0.13405127823352814
outer_final,switzerland,,v5_mask_only_dro,v5_mask,5062,416670779,5.0,0.5902838706970215,0.5701375007629395,0.571262538433075,0.19302605092525482
outer_final,switzerland,,v5_mask_only_dro,v5_mask,5062,416670779,10.0,0.5359372496604919,0.5176461338996887,0.5191581845283508,0.1715710610151291
outer_final,switzerland,,v5_mask_only_dro,v5_mask,5063,1432647259,5.0,0.5582501292228699,0.5396925210952759,0.5404899716377258,0.179595485329628
outer_final,switzerland,,v5_mask_only_dro,v5_mask,5063,1432647259,10.0,0.515474796295166,0.4980069696903229,0.49952879548072815,0.16326448321342468
outer_final,switzerland,,v5_mask_only_dro,v5_mask,5064,2182804483,5.0,0.5448302626609802,0.5259613394737244,0.527887761592865,0.17424125969409943
outer_final,switzerland,,v5_mask_only_dro,v5_mask,5064,2182804483,10.0,0.5119782090187073,0.49477386474609375,0.4960811734199524,0.16223856806755066
