view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,outer_target,experiment,variant,epochs,config_sha256
evidence,0.95,0.0381511681539423,0.006807243851921378,0.005,False,0.05,128,0.9974142339324816,drop_advanced,0,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.045153416065410144,0.0045812753865029,0.005,False,0.05,128,2.364140825746896,drop_advanced,0,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.65,0.1326514482584916,0.004848724914818515,0.005,False,0.05,128,2.487139370845939,drop_advanced,0,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.07451986560791468,0.004951834804027166,0.005,False,0.05,384,,drop_advanced,0,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.8,0.006567882712117128,0.003824731217898753,0.015,False,0.05,128,0.994547014401818,drop_exercise,0,composite_multiview_v3,False,True,True,0.935,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.04597057239238878,0.004038951783635477,0.005,False,0.05,128,2.364140825746896,drop_exercise,0,composite_multiview_v3,False,True,True,0.935,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.6,0.17058582640060782,0.005416611664670746,0.005,False,0.05,128,2.8528263664868425,drop_exercise,0,composite_multiview_v3,False,True,True,0.935,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.85,0.07794543489097093,0.0036333176323258137,0.005,False,0.05,384,,drop_exercise,0,composite_multiview_v3,False,True,True,0.935,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.014246725524107936,0.00455253144883707,0.005,False,0.05,128,0.9908935685241036,drop_routine,0,composite_multiview_v3,False,True,True,0.74,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.042484470770620814,0.004165177271445717,0.005,False,0.05,128,2.364140825746896,drop_routine,0,composite_multiview_v3,False,True,True,0.74,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.45,0.18447994807123128,0.003864351774107053,0.005,False,0.05,128,2.8528263664868425,drop_routine,0,composite_multiview_v3,False,True,True,0.74,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.08491765286253733,0.004021724369774704,0.005,False,0.05,384,,drop_routine,0,composite_multiview_v3,False,True,True,0.74,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.02675301007859877,0.007333977005491595,0.005,False,0.05,128,0.9966583676461676,empirical_source,0,composite_multiview_v3,False,True,True,0.8,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.04203731559299219,0.003909716617874701,0.005,False,0.05,128,2.364140825746896,empirical_source,0,composite_multiview_v3,False,True,True,0.8,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.1287752258373526,0.006185722473921525,0.005,False,0.05,128,3.372889422127189,empirical_source,0,composite_multiview_v3,False,True,True,0.8,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.06585518383631454,0.004277022743740446,0.005,False,0.05,384,,empirical_source,0,composite_multiview_v3,False,True,True,0.8,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.0365634633135075,0.006213846123917438,0.005,False,0.05,128,0.9939265671749855,empirical_source,1,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.041417752537808245,0.004137969259826586,0.005,False,0.05,128,2.364140825746896,empirical_source,1,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.6,0.12741249334583737,0.0042155674418906715,0.005,False,0.05,128,3.3377019090610793,empirical_source,1,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.06989852398331978,0.0041048873740768405,0.005,False,0.05,384,,empirical_source,1,composite_multiview_v3,False,True,True,0.705,0.15384615384615385,0.15384615384615385,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.04479960439499707,0.006349361236146997,0.005,False,0.05,128,0.9939244726919998,empirical_source,2,composite_multiview_v3,False,True,True,0.81,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.03975245807663486,0.0037664663077303776,0.005,False,0.05,128,2.364140825746896,empirical_source,2,composite_multiview_v3,False,True,True,0.81,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.10129501774558614,0.006454587718969725,0.005,False,0.05,128,3.309502173079527,empirical_source,2,composite_multiview_v3,False,True,True,0.81,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.06194902673907271,0.004439548310614893,0.005,False,0.05,384,,empirical_source,2,composite_multiview_v3,False,True,True,0.81,0.07692307692307693,0.07692307692307693,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.02675575529952223,0.008123599199961229,0.005,False,0.05,128,0.9916074091661358,empirical_source,3,composite_multiview_v3,False,True,True,0.7,0.15384615384615385,0.15384615384615385,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.04689685388228919,0.004465836542393428,0.005,False,0.05,128,2.364140825746896,empirical_source,3,composite_multiview_v3,False,True,True,0.7,0.15384615384615385,0.15384615384615385,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.10549397151584093,0.005839699878330494,0.005,False,0.05,128,3.4127346394121796,empirical_source,3,composite_multiview_v3,False,True,True,0.7,0.15384615384615385,0.15384615384615385,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
