policy,mask_replicate,diagnostic_mode,calibration_intercept,calibration_slope,estimated_target_prevalence_mlls,estimated_target_prevalence_soft_bbse,diagnostic_best_prior,diagnostic_best_statistic,diagnostic_p_value,diagnostic_accepted_interval_low,diagnostic_accepted_interval_high,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,adaptation_allowed,outer_target,experiment,variant,epochs,config_sha256
drop_advanced,0,composite_multiview_v3,-0.07602906081210534,1.1284212707878134,0.9899994957330541,0.99,0.95,0.07451986560791468,0.005,,,True,True,0.76,0.07692307692307693,0.07692307692307693,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
drop_exercise,0,composite_multiview_v3,-1.1455360656526363,1.8483329114294493,0.8552670423639005,0.815400678920647,0.85,0.07794543489097093,0.005,,,True,True,0.935,0.07692307692307693,0.07692307692307693,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
drop_routine,0,composite_multiview_v3,0.06787050040004766,1.1385330539744984,0.9899994957330541,0.99,0.95,0.08491765286253733,0.005,,,True,True,0.74,0.07692307692307693,0.07692307692307693,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,0,composite_multiview_v3,-0.04960335168148655,1.1731970920420267,0.9899994957330541,0.99,0.95,0.06585518383631454,0.005,,,True,True,0.8,0.07692307692307693,0.07692307692307693,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,1,composite_multiview_v3,-0.10274023155577997,1.0709346151850276,0.9899994957330541,0.99,0.95,0.06989852398331978,0.005,,,True,True,0.705,0.15384615384615385,0.15384615384615385,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,2,composite_multiview_v3,-0.08046222085839588,1.0799686985670822,0.9899994957330541,0.99,0.95,0.06194902673907271,0.005,,,True,True,0.81,0.07692307692307693,0.07692307692307693,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,3,composite_multiview_v3,-0.07885016212382279,1.1384906423544752,0.9899994957330541,0.99,0.95,0.05971552689921737,0.005,,,True,True,0.7,0.15384615384615385,0.15384615384615385,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,4,composite_multiview_v3,-0.07474183923430934,1.09548328638823,0.9899994957330541,0.99,0.95,0.07161261113555528,0.005,,,True,True,0.76,0.07692307692307693,0.07692307692307693,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,5,composite_multiview_v3,-0.049437903937600614,1.1248224108391496,0.9899994957330541,0.99,0.95,0.05758899552844469,0.005,,,True,True,0.705,0.15384615384615385,0.15384615384615385,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,6,composite_multiview_v3,-0.08250116020595016,1.0793121929968525,0.9899994957330541,0.99,0.95,0.0638175439548284,0.005,,,True,True,0.705,0.15384615384615385,0.15384615384615385,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,7,composite_multiview_v3,-0.08217425287776031,1.103972559080134,0.9899994957330541,0.99,0.95,0.06814098158491652,0.005,,,True,True,0.71,0.15384615384615385,0.23076923076923078,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
empirical_source,8,composite_multiview_v3,-0.06760650265896834,1.1499907565307044,0.9899994957330541,0.99,0.95,0.06290915723805121,0.005,,,True,True,0.705,0.15384615384615385,0.15384615384615385,False,va_long_beach,v2_prior_separated,v2,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
