stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_crossfit_v3_same_policy,va_long_beach,cleveland,v2_prior_separated,v2,5062,538633950,5.0,0.5063704252243042,0.5063704252243042,0.5594371557235718,0.1671966314315796
outer_crossfit_v3_same_policy,va_long_beach,cleveland,v2_prior_separated,v2,5063,2000563448,5.0,0.5127620697021484,0.5127620697021484,0.5504908561706543,0.1688620150089264
outer_crossfit_v3_same_policy,va_long_beach,cleveland,v2_prior_separated,v2,5064,1444323341,5.0,0.5613923072814941,0.5613923072814941,0.6430716514587402,0.1915760040283203
outer_crossfit_v3_same_policy,va_long_beach,hungary,v2_prior_separated,v2,5062,4282797526,5.0,0.5009472370147705,0.5009472370147705,0.5138208866119385,0.1622958481311798
outer_crossfit_v3_same_policy,va_long_beach,hungary,v2_prior_separated,v2,5063,2431081210,5.0,0.5643775463104248,0.5643775463104248,0.5678561925888062,0.18992821872234344
outer_crossfit_v3_same_policy,va_long_beach,hungary,v2_prior_separated,v2,5064,1404872907,5.0,0.5223702192306519,0.5223702192306519,0.575501561164856,0.17270782589912415
outer_crossfit_v3_same_policy,va_long_beach,switzerland,v2_prior_separated,v2,5062,3535054919,5.0,0.5009272694587708,0.5009272694587708,0.5218279957771301,0.16288995742797852
outer_crossfit_v3_same_policy,va_long_beach,switzerland,v2_prior_separated,v2,5063,3877001420,5.0,0.5258869528770447,0.5258869528770447,0.5373878479003906,0.17118538916110992
outer_crossfit_v3_same_policy,va_long_beach,switzerland,v2_prior_separated,v2,5064,1578683536,5.0,0.4619385302066803,0.4619385302066803,0.47961848974227905,0.14732100069522858
outer_final,va_long_beach,,v2_prior_separated,v2,5062,1046224777,5.0,0.5784782767295837,0.5784782767295837,0.6343357563018799,0.1952255666255951
outer_final,va_long_beach,,v2_prior_separated,v2,5063,4138350707,5.0,0.501296877861023,0.501296877861023,0.5671122074127197,0.16531343758106232
outer_final,va_long_beach,,v2_prior_separated,v2,5064,390142586,5.0,0.5429638624191284,0.5429638624191284,0.568950891494751,0.18006311357021332
