view,best_prior,mmd2_statistic,bootstrap_critical_value,p_value,accepted,alpha,rff_dimensions,source_bandwidth,policy,mask_replicate,diagnostic_mode,automatic_adaptation_allowed,mask_support_passed,mask_all_feature_states_supported,mask_exact_pattern_support_rate,mask_nearest_hamming_fraction_q95,mask_nearest_hamming_fraction_max,outer_target,experiment,variant,epochs,config_sha256
evidence,0.95,0.0017410909396176984,0.00658454683592721,0.305,True,0.05,128,1.0181715720454472,drop_advanced,0,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.045153416065410144,0.0045812753865029,0.005,False,0.05,128,2.364140825746896,drop_advanced,0,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.65,0.1326514482584916,0.004848724914818515,0.005,False,0.05,128,2.487139370845939,drop_advanced,0,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.062383173203139804,0.004578513285559704,0.005,False,0.05,384,,drop_advanced,0,composite_multiview_v3,False,True,True,0.76,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.8,0.00047597511816386043,0.002770016787886457,0.54,True,0.05,128,1.0002018757789073,drop_exercise,0,composite_multiview_v3,False,True,True,0.935,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.04597057239238878,0.004038951783635477,0.005,False,0.05,128,2.364140825746896,drop_exercise,0,composite_multiview_v3,False,True,True,0.935,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.6,0.17058582640060782,0.005416611664670746,0.005,False,0.05,128,2.8528263664868425,drop_exercise,0,composite_multiview_v3,False,True,True,0.935,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.85,0.07609330412205265,0.0038983893210731606,0.005,False,0.05,384,,drop_exercise,0,composite_multiview_v3,False,True,True,0.935,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.004065275341802984,0.00474343654743088,0.06,True,0.05,128,1.0287750505439128,drop_routine,0,composite_multiview_v3,False,True,True,0.74,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.042484470770620814,0.004165177271445717,0.005,False,0.05,128,2.364140825746896,drop_routine,0,composite_multiview_v3,False,True,True,0.74,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.45,0.18447994807123128,0.003864351774107053,0.005,False,0.05,128,2.8528263664868425,drop_routine,0,composite_multiview_v3,False,True,True,0.74,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
composite,0.95,0.08152383613510235,0.003930740690434871,0.005,False,0.05,384,,drop_routine,0,composite_multiview_v3,False,True,True,0.74,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
evidence,0.95,0.004106048986457835,0.005673888396475378,0.115,True,0.05,128,1.0206444404164574,empirical_source,0,composite_multiview_v3,False,True,True,0.8,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
core,0.95,0.04203731559299219,0.003909716617874701,0.005,False,0.05,128,2.364140825746896,empirical_source,0,composite_multiview_v3,False,True,True,0.8,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
mask,0.95,0.1287752258373526,0.006185722473921525,0.005,False,0.05,128,3.372889422127189,empirical_source,0,composite_multiview_v3,False,True,True,0.8,0.07692307692307693,0.07692307692307693,va_long_beach,v5_mask_only_dro,v5_mask,5,be0549617bb8b478de0037a7d30026ad8a37acf124c4f7170c0029656ff8d54f
