stage,outer_target,inner_validation,experiment,variant,training_seed,fit_seed,epoch,objective,mean_group_risk,robust_group_risk,mean_group_brier
outer_crossfit_v3_same_policy,va_long_beach,cleveland,v5_mask_only_dro,v5_mask,5062,3438124551,5.0,0.5648766160011292,0.544317364692688,0.547600269317627,0.18097074329853058
outer_crossfit_v3_same_policy,va_long_beach,cleveland,v5_mask_only_dro,v5_mask,5063,3457144948,5.0,0.5792576670646667,0.5599254965782166,0.5607759356498718,0.1869431883096695
outer_crossfit_v3_same_policy,va_long_beach,cleveland,v5_mask_only_dro,v5_mask,5064,1385682531,5.0,0.5206701159477234,0.502096951007843,0.5048527717590332,0.1650633066892624
outer_crossfit_v3_same_policy,va_long_beach,hungary,v5_mask_only_dro,v5_mask,5062,1015492021,5.0,0.5262895226478577,0.5066019892692566,0.5106557011604309,0.1664724051952362
outer_crossfit_v3_same_policy,va_long_beach,hungary,v5_mask_only_dro,v5_mask,5063,135341273,5.0,0.583173930644989,0.5619786381721497,0.5648751258850098,0.1902293860912323
outer_crossfit_v3_same_policy,va_long_beach,hungary,v5_mask_only_dro,v5_mask,5064,4077128944,5.0,0.594275712966919,0.5741108059883118,0.575064480304718,0.19449667632579803
outer_crossfit_v3_same_policy,va_long_beach,switzerland,v5_mask_only_dro,v5_mask,5062,3604629323,5.0,0.5916576385498047,0.5715156197547913,0.5727357268333435,0.1922697126865387
outer_crossfit_v3_same_policy,va_long_beach,switzerland,v5_mask_only_dro,v5_mask,5063,3536270656,5.0,0.5221637487411499,0.5034160614013672,0.5065871477127075,0.16369372606277466
outer_crossfit_v3_same_policy,va_long_beach,switzerland,v5_mask_only_dro,v5_mask,5064,2775298302,5.0,0.5617094039916992,0.5413131713867188,0.5446592569351196,0.17886614799499512
outer_final,va_long_beach,,v5_mask_only_dro,v5_mask,5062,2565618242,5.0,0.5571323037147522,0.5365444421768188,0.5401701331138611,0.17868584394454956
outer_final,va_long_beach,,v5_mask_only_dro,v5_mask,5063,653425512,5.0,0.5918318629264832,0.5702622532844543,0.5733855366706848,0.19227130711078644
outer_final,va_long_beach,,v5_mask_only_dro,v5_mask,5064,1298026253,5.0,0.5633369088172913,0.5431132912635803,0.5460123419761658,0.1804933249950409
