outer_target,inner_validation,experiment,variant,parameter_id,seed,epoch,objective,validation_score,mean_group_risk,robust_group_risk,mean_group_brier
cleveland,hungary,smoke_v2,v2,0,17,1.0,0.7011840343475342,0.6687861604251446,0.7011840343475342,0.7161039113998413,0.25204187631607056
cleveland,hungary,smoke_v2,v2,0,17,2.0,0.6679903268814087,0.6484723024121029,0.6679903268814087,0.6879217028617859,0.23735260963439941
cleveland,switzerland,smoke_v2,v2,0,17,1.0,0.6943955421447754,0.6891944145633406,0.6943955421447754,0.712306797504425,0.250261127948761
cleveland,switzerland,smoke_v2,v2,0,17,2.0,0.6601572632789612,0.6905171761761555,0.6601572632789612,0.689394474029541,0.23335236310958862
cleveland,va_long_beach,smoke_v2,v2,0,17,1.0,0.7132107019424438,0.6958699684388174,0.7132107019424438,0.7197930812835693,0.25978490710258484
cleveland,va_long_beach,smoke_v2,v2,0,17,2.0,0.681572675704956,0.681869642046077,0.681572675704956,0.6870831251144409,0.24429665505886078
hungary,cleveland,smoke_v2,v2,0,17,1.0,0.8163188695907593,0.8093627880467187,0.8163188695907593,0.828936755657196,0.3059747815132141
hungary,cleveland,smoke_v2,v2,0,17,2.0,0.7513311505317688,0.7804855124654304,0.7513311505317688,0.7566961050033569,0.278278112411499
hungary,switzerland,smoke_v2,v2,0,17,1.0,0.730504035949707,0.7011593084623151,0.730504035949707,0.7327470779418945,0.2681918144226074
hungary,switzerland,smoke_v2,v2,0,17,2.0,0.6859878301620483,0.7010790706655483,0.6859878301620483,0.6955204606056213,0.24644418060779572
hungary,va_long_beach,smoke_v2,v2,0,17,1.0,0.670854389667511,0.7259538651724611,0.670854389667511,0.6789796352386475,0.23875728249549866
hungary,va_long_beach,smoke_v2,v2,0,17,2.0,0.6405215263366699,0.7236812917865518,0.6405215263366699,0.6549244523048401,0.2239445149898529
switzerland,cleveland,smoke_v2,v2,0,17,1.0,0.7180250883102417,0.6517982033552203,0.7180250883102417,0.724224328994751,0.2619273066520691
switzerland,cleveland,smoke_v2,v2,0,17,2.0,0.6802592873573303,0.6501706802799465,0.6802592873573303,0.6824901103973389,0.24374984204769135
switzerland,hungary,smoke_v2,v2,0,17,1.0,0.876856803894043,0.8075624383892263,0.876856803894043,0.9516761898994446,0.336060106754303
switzerland,hungary,smoke_v2,v2,0,17,2.0,0.812286376953125,0.7742016268232564,0.812286376953125,0.8536485433578491,0.30644357204437256
switzerland,va_long_beach,smoke_v2,v2,0,17,1.0,0.7985445261001587,0.730076693935173,0.7985445261001587,0.8145294785499573,0.2974185645580292
switzerland,va_long_beach,smoke_v2,v2,0,17,2.0,0.7343801856040955,0.706086482439123,0.7343801856040955,0.744975209236145,0.269615113735199
va_long_beach,cleveland,smoke_v2,v2,0,17,1.0,0.7076504230499268,0.7247939258634686,0.7076504230499268,0.7170246243476868,0.25726640224456787
va_long_beach,cleveland,smoke_v2,v2,0,17,2.0,0.6654551029205322,0.7007400319119295,0.6654551029205322,0.667237401008606,0.23651659488677979
va_long_beach,hungary,smoke_v2,v2,0,17,1.0,0.7201765775680542,0.6946192224024561,0.7201765775680542,0.7418263554573059,0.2629791498184204
va_long_beach,hungary,smoke_v2,v2,0,17,2.0,0.6833341121673584,0.6882042645145794,0.6833341121673584,0.7093229293823242,0.2453087866306305
va_long_beach,switzerland,smoke_v2,v2,0,17,1.0,0.7024625539779663,0.6822400107149639,0.7024625539779663,0.7174589037895203,0.2546803951263428
va_long_beach,switzerland,smoke_v2,v2,0,17,2.0,0.6807401180267334,0.6768783137713725,0.6807401180267334,0.6955154538154602,0.24389752745628357
