experiment,backend,variant,model,weighting,parameter_id,parameters_json,seed,best_epoch,validation_score,parameter_count,fit_seconds
logistic_pooled,classical,not_applicable,logistic,pooled,0,"{""C"": 0.1}",7201,,0.7589085622385596,,10.592478399994434
logistic_pooled,classical,not_applicable,logistic,pooled,0,"{""C"": 0.1}",7202,,0.7591676698858455,,9.292985699998098
logistic_pooled,classical,not_applicable,logistic,pooled,0,"{""C"": 0.1}",7203,,0.7595970325365757,,10.004622099993867
logistic_pooled,classical,not_applicable,logistic,pooled,1,"{""C"": 1.0}",7201,,0.7981976493882348,,19.389824000012595
logistic_pooled,classical,not_applicable,logistic,pooled,1,"{""C"": 1.0}",7202,,0.7985238784956705,,19.282339299999876
logistic_pooled,classical,not_applicable,logistic,pooled,1,"{""C"": 1.0}",7203,,0.798849776259472,,13.379687900000135
logistic_environment_class_balanced,classical,not_applicable,logistic,environment_class_balanced,0,"{""C"": 0.1}",7201,,0.8167646616646717,,6.796800600001006
logistic_environment_class_balanced,classical,not_applicable,logistic,environment_class_balanced,0,"{""C"": 0.1}",7202,,0.8165764534504587,,6.599876499996753
logistic_environment_class_balanced,classical,not_applicable,logistic,environment_class_balanced,0,"{""C"": 0.1}",7203,,0.8184902066937133,,6.924866699991981
logistic_environment_class_balanced,classical,not_applicable,logistic,environment_class_balanced,1,"{""C"": 1.0}",7201,,1.0064592054153816,,16.278806699992856
logistic_environment_class_balanced,classical,not_applicable,logistic,environment_class_balanced,1,"{""C"": 1.0}",7202,,1.006108864204702,,10.881133100003353
logistic_environment_class_balanced,classical,not_applicable,logistic,environment_class_balanced,1,"{""C"": 1.0}",7203,,1.009358865973952,,10.797751299993251
lightgbm_environment_class_balanced,classical,not_applicable,lightgbm,environment_class_balanced,0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0, ""subsample"": 0.8}",7201,,0.7797959776079754,,3.453327099996386
lightgbm_environment_class_balanced,classical,not_applicable,lightgbm,environment_class_balanced,0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0, ""subsample"": 0.8}",7202,,0.7884079212560942,,3.2741572000086308
lightgbm_environment_class_balanced,classical,not_applicable,lightgbm,environment_class_balanced,0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 15, ""reg_lambda"": 5.0, ""subsample"": 0.8}",7203,,0.8023130033256363,,3.2819951999990735
lightgbm_environment_class_balanced,classical,not_applicable,lightgbm,environment_class_balanced,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_lambda"": 5.0, ""subsample"": 0.8}",7201,,0.7724019216593975,,3.667469499996514
lightgbm_environment_class_balanced,classical,not_applicable,lightgbm,environment_class_balanced,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_lambda"": 5.0, ""subsample"": 0.8}",7202,,0.7796287515883524,,3.711598800000502
lightgbm_environment_class_balanced,classical,not_applicable,lightgbm,environment_class_balanced,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_lambda"": 5.0, ""subsample"": 0.8}",7203,,0.786894700020888,,3.698474399992847
catboost_environment_class_balanced,classical,not_applicable,catboost,environment_class_balanced,0,"{""depth"": 5, ""iterations"": 500, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",7201,,0.7439261676926425,,7.58766679999826
catboost_environment_class_balanced,classical,not_applicable,catboost,environment_class_balanced,0,"{""depth"": 5, ""iterations"": 500, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",7202,,0.7391147104520892,,6.789286100000027
catboost_environment_class_balanced,classical,not_applicable,catboost,environment_class_balanced,0,"{""depth"": 5, ""iterations"": 500, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",7203,,0.7570144755491076,,6.9524445999995805
catboost_environment_class_balanced,classical,not_applicable,catboost,environment_class_balanced,1,"{""depth"": 7, ""iterations"": 500, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",7201,,0.7473365399421781,,8.743680400002631
catboost_environment_class_balanced,classical,not_applicable,catboost,environment_class_balanced,1,"{""depth"": 7, ""iterations"": 500, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",7202,,0.7356808435919926,,12.82579899999837
