representation,mechanism,batch_size,episodes,seeds,acceptance_rate,prior_coverage,prior_mae,mean_set_width,mean_selective_coverage,mean_selective_error,zero_shot_bll,always_point_bll,gated_bll,prior_oracle_bll
hybrid,conditional_scale,32,200,10,0.965,0.875,0.1015,0.37383419689119174,0.74296875,0.14042114688758006,0.5452238740113918,0.6965059891442725,0.6775319256943915,0.6665567799593708
hybrid,conditional_scale,64,200,10,0.985,0.88,0.0735,0.2624365482233502,0.83078125,0.14645473806259554,0.5540008732521668,0.7131255156285551,0.7021530883350826,0.6881227577216245
hybrid,conditional_scale,128,200,10,0.985,0.875,0.055749999999999994,0.182994923857868,0.8856640625,0.1565551195583987,0.5501741468649667,0.6853013562643571,0.6794692626349712,0.6824766409820667
hybrid,conditional_scale,256,200,10,0.945,0.85,0.040999999999999995,0.12777777777777777,0.87642578125,0.16341345997244297,0.5431602339714381,0.6717400073368922,0.6570834208863939,0.671584255430265
hybrid,conditional_scale,512,200,10,0.935,0.825,0.02475,0.08128342245989305,0.89212890625,0.16778076859845684,0.5444851989086702,0.6663149759032748,0.6500305332349224,0.6711566059686228
hybrid,conditional_translation,32,200,10,0.69,0.525,0.11174999999999999,0.2822463768115942,0.5675,0.1341657791473386,0.480686602248115,0.6571570678824729,0.62863509630991,0.6270560272813022
hybrid,conditional_translation,64,200,10,0.555,0.43,0.08775000000000001,0.17972972972972973,0.498671875,0.13411371549514417,0.4657821451721477,0.6078478214431261,0.5861074658003491,0.6171035565908063
hybrid,conditional_translation,128,200,10,0.355,0.31,0.07825,0.13380281690140844,0.3317578125,0.1091742652347331,0.4743397557039913,0.613735127381647,0.5807312854615477,0.6340384954937914
hybrid,conditional_translation,256,200,10,0.285,0.25,0.08074999999999999,0.08859649122807017,0.27306640625,0.10292897315107989,0.4829248529279473,0.6215843096249393,0.5857181098859202,0.6447985385827542
hybrid,conditional_translation,512,200,10,0.23,0.215,0.07375,0.06304347826086956,0.22380859375,0.08882234367277979,0.4762596725222793,0.6042325636264988,0.5601647397376045,0.6337350989806494
hybrid,covariance_shear,32,200,10,1.0,0.97,0.08625,0.37174999999999997,0.76578125,0.09433561411905775,0.43984665458684,0.6037245008681014,0.6037245008681014,0.5698377236990414
hybrid,covariance_shear,64,200,10,1.0,0.935,0.07275,0.27975,0.8284375,0.10439500475198642,0.41604901596882216,0.5417728834555077,0.5417728834555077,0.5334913792293862
hybrid,covariance_shear,128,200,10,1.0,0.96,0.04675,0.19099999999999998,0.889375,0.11663109793172916,0.4334347455645118,0.5784149159478416,0.5784149159478416,0.5727567438639588
hybrid,covariance_shear,256,200,10,1.0,0.96,0.0315,0.13724999999999998,0.920390625,0.1263171840310538,0.4362356072477988,0.5712689816527149,0.5712689816527149,0.5752829066477309
hybrid,covariance_shear,512,200,10,0.995,0.905,0.025999999999999995,0.08994974874371858,0.94447265625,0.1331068196022351,0.4321265619652075,0.5522225599934215,0.5486515738756153,0.5647298022560799
hybrid,outcome_dependent_dropout,32,200,10,0.645,0.485,0.12,0.26356589147286824,0.52234375,0.13926050288533634,0.46372804139338125,0.6058411192978284,0.5789124753543461,0.6005297881230129
hybrid,outcome_dependent_dropout,64,200,10,0.43,0.335,0.09699999999999999,0.18139534883720929,0.37828125,0.1428966245295839,0.442605493325903,0.5785395629284639,0.5415974147992719,0.5893996265077424
hybrid,outcome_dependent_dropout,128,200,10,0.325,0.28,0.07975,0.12999999999999998,0.3016796875,0.11825151409192658,0.4552798999894169,0.5862986632597523,0.5476608849422526,0.6091931249073393
hybrid,outcome_dependent_dropout,256,200,10,0.215,0.18,0.08049999999999999,0.08372093023255814,0.20607421875,0.10880278799486699,0.45691607123469075,0.5773732384860631,0.5320929351528083,0.609678291183381
hybrid,outcome_dependent_dropout,512,200,10,0.155,0.11,0.07375,0.05161290322580645,0.151015625,0.09630741893685146,0.45648088659412905,0.5714820927224908,0.515106312065009,0.6082976155891943
hybrid,pure_label_shift,32,200,10,0.995,0.97,0.08024999999999999,0.3773869346733668,0.76625,0.07736032546472907,0.4156637543556627,0.5693412844794002,0.5678145672607755,0.5573785320684613
hybrid,pure_label_shift,64,200,10,1.0,0.95,0.07125,0.27425,0.836875,0.09594530932877211,0.4255108499241805,0.5769870157057875,0.5769870157057875,0.5853155283077073
hybrid,pure_label_shift,128,200,10,1.0,0.94,0.048499999999999995,0.192,0.889609375,0.10154014438735111,0.4147898789914412,0.5814503660167528,0.5814503660167528,0.5836854702942472
hybrid,pure_label_shift,256,200,10,1.0,0.965,0.03275,0.13849999999999998,0.9198828125,0.11093820508810846,0.4088748778849272,0.5567772617247899,0.5567772617247899,0.5701936142674271
hybrid,pure_label_shift,512,200,10,1.0,0.965,0.020749999999999998,0.09475,0.946728515625,0.11862576988296537,0.41225007582355166,0.555198146619408,0.555198146619408,0.5698635525901958
hybrid,support_translation,32,200,10,0.005,0.0,0.1555,0.0,0.005,0.25,0.4444290541506313,0.7354791639732041,0.4445213608779358,0.6107046939890497
