representation,mechanism,batch_size,episodes,seeds,acceptance_rate,prior_coverage,prior_mae,mean_set_width,mean_selective_coverage,mean_selective_error,zero_shot_bll,always_point_bll,gated_bll,prior_oracle_bll,zero_shot_log_loss,always_point_log_loss,gated_log_loss,prior_oracle_log_loss
hybrid,conditional_scale,32,200,10,0.965,0.875,0.1015,0.37383419689119174,0.74296875,0.14042114688758006,0.5452238740113918,0.6965059891442725,0.6775319256943915,0.6665567799593708,0.5598418171138215,0.47606525478872164,0.4820223516163008,0.4356345430349021
hybrid,conditional_scale,64,200,10,0.985,0.88,0.0735,0.2624365482233502,0.83078125,0.14645473806259554,0.5540008732521668,0.7131255156285551,0.7021530883350826,0.6881227577216245,0.5597595904633594,0.4537389251341964,0.45792489351121823,0.4320912285849875
hybrid,conditional_scale,128,200,10,0.985,0.875,0.055749999999999994,0.182994923857868,0.8856640625,0.1565551195583987,0.5501741468649667,0.6853013562643571,0.6794692626349712,0.6824766409820667,0.5554140712237359,0.4416936310275338,0.4464778428076617,0.428507166830269
hybrid,conditional_scale,256,200,10,0.945,0.85,0.040999999999999995,0.12777777777777777,0.87642578125,0.16341345997244297,0.5431602339714381,0.6717400073368922,0.6570834208863939,0.671584255430265,0.5496255047877123,0.43635249305430535,0.44950645142192847,0.4265836694413444
hybrid,conditional_scale,512,200,10,0.935,0.825,0.02475,0.08128342245989305,0.89212890625,0.16778076859845684,0.5444851989086702,0.6663149759032748,0.6500305332349224,0.6711566059686228,0.5537762999339103,0.43173735486681397,0.44785380518317097,0.4277382754850404
hybrid,conditional_translation,32,200,10,0.69,0.525,0.11174999999999999,0.2822463768115942,0.5675,0.1341657791473386,0.480686602248115,0.6571570678824729,0.62863509630991,0.6270560272813022,0.4753694286566521,0.4142869968931528,0.45065821780211573,0.363005346959511
hybrid,conditional_translation,64,200,10,0.555,0.43,0.08775000000000001,0.17972972972972973,0.498671875,0.13411371549514417,0.4657821451721477,0.6078478214431261,0.5861074658003491,0.6171035565908063,0.46789768344407984,0.3894934490526138,0.43066626471538993,0.35794334314874243
hybrid,conditional_translation,128,200,10,0.355,0.31,0.07825,0.13380281690140844,0.3317578125,0.1091742652347331,0.4743397557039913,0.613735127381647,0.5807312854615477,0.6340384954937914,0.47245815876803754,0.38854940083292466,0.4324857442323344,0.3613698744816304
hybrid,conditional_translation,256,200,10,0.285,0.25,0.08074999999999999,0.08859649122807017,0.27306640625,0.10292897315107989,0.4829248529279473,0.6215843096249393,0.5857181098859202,0.6447985385827542,0.47728321885456837,0.393505070154858,0.43864424551674913,0.3631970011455221
hybrid,conditional_translation,512,200,10,0.23,0.215,0.07375,0.06304347826086956,0.22380859375,0.08882234367277979,0.4762596725222793,0.6042325636264988,0.5601647397376045,0.6337350989806494,0.4739285281404965,0.3875034917609996,0.4357815140865584,0.3609361633903563
hybrid,covariance_shear,32,200,10,1.0,0.97,0.08625,0.37174999999999997,0.76578125,0.09433561411905775,0.43984665458684,0.6037245008681014,0.6037245008681014,0.5698377236990414,0.441051478150455,0.3684668115661553,0.3684668115661553,0.3449787221081476
hybrid,covariance_shear,64,200,10,1.0,0.935,0.07275,0.27975,0.8284375,0.10439500475198642,0.41604901596882216,0.5417728834555077,0.5417728834555077,0.5334913792293862,0.43050247209446807,0.349574130784064,0.349574130784064,0.3329750358513749
hybrid,covariance_shear,128,200,10,1.0,0.96,0.04675,0.19099999999999998,0.889375,0.11663109793172916,0.4334347455645118,0.5784149159478416,0.5784149159478416,0.5727567438639588,0.43074863566592136,0.34424853047841775,0.34424853047841775,0.3379029594404318
hybrid,covariance_shear,256,200,10,1.0,0.96,0.0315,0.13724999999999998,0.920390625,0.1263171840310538,0.4362356072477988,0.5712689816527149,0.5712689816527149,0.5752829066477309,0.43354782348873705,0.3430764895357293,0.3430764895357293,0.33974697537906623
hybrid,covariance_shear,512,200,10,0.995,0.905,0.025999999999999995,0.08994974874371858,0.94447265625,0.1331068196022351,0.4321265619652075,0.5522225599934215,0.5486515738756153,0.5647298022560799,0.4320775148204977,0.34024130790592333,0.3413581303202013,0.3369936483832107
hybrid,outcome_dependent_dropout,32,200,10,0.645,0.485,0.12,0.26356589147286824,0.52234375,0.13926050288533634,0.46372804139338125,0.6058411192978284,0.5789124753543461,0.6005297881230129,0.46147020955656326,0.4025813734983096,0.435282458419411,0.3603017791754436
hybrid,outcome_dependent_dropout,64,200,10,0.43,0.335,0.09699999999999999,0.18139534883720929,0.37828125,0.1428966245295839,0.442605493325903,0.5785395629284639,0.5415974147992719,0.5893996265077424,0.44687610865499766,0.38676273802322086,0.42408943342208727,0.3502519378263766
hybrid,outcome_dependent_dropout,128,200,10,0.325,0.28,0.07975,0.12999999999999998,0.3016796875,0.11825151409192658,0.4552798999894169,0.5862986632597523,0.5476608849422526,0.6091931249073393,0.4525812258582604,0.3771628533780993,0.4189832403831676,0.34963769536350137
