representation,mechanism,batch_size,episodes,seeds,acceptance_rate,prior_coverage,prior_mae,mean_set_width,mean_selective_coverage,mean_selective_error,zero_shot_bll,always_point_bll,gated_bll,prior_oracle_bll,zero_shot_log_loss,always_point_log_loss,gated_log_loss,prior_oracle_log_loss
hybrid,conditional_scale,32,20,2,1.0,1.0,0.1125,0.425,0.725,0.15791812897247678,0.5461934032714888,0.6077114091691609,0.6077114091691609,0.5755373218256128,0.5978462053902842,0.5512740508940309,0.5512740508940309,0.5255034024668446
hybrid,conditional_scale,128,20,2,1.0,1.0,0.05499999999999999,0.22000000000000003,0.861328125,0.1863690757108269,0.5336489523694296,0.5676178975461067,0.5676178975461067,0.5562775863307389,0.5786458409205972,0.5114843192143753,0.5114843192143753,0.5047971096484452
hybrid,conditional_scale,512,20,2,1.0,0.95,0.019999999999999997,0.09249999999999999,0.94326171875,0.21047588573879347,0.5385917925726385,0.5701592900946267,0.5701592900946267,0.5707978944262502,0.5734856223366813,0.5091787017300158,0.5091787017300158,0.5079046801463923
hybrid,conditional_translation,32,20,2,1.0,0.85,0.1,0.3525,0.7734375,0.09761823565493419,0.422655940772913,0.5994670574265161,0.5994670574265161,0.5140069598506588,0.41273532698378224,0.3839347083206883,0.3839347083206883,0.35354487964181047
hybrid,conditional_translation,128,20,2,0.65,0.55,0.05750000000000001,0.1576923076923077,0.59453125,0.1370068991728895,0.48004094546326825,0.6022639148564042,0.5904157669847175,0.5787994815684592,0.4619905667149603,0.43392014016379027,0.4297206698658016,0.41724847038212065
hybrid,conditional_translation,512,20,2,0.45,0.4,0.04,0.061111111111111116,0.43876953125,0.13253045144591039,0.48006082977480746,0.6030273282459934,0.5795713110357674,0.5899213883624963,0.4582189255390773,0.41777561713273165,0.41250877234625866,0.4099794828166815
hybrid,covariance_shear,32,20,2,1.0,1.0,0.1025,0.4325,0.690625,0.12707040156266164,0.4453233911533806,0.5215189777171052,0.5215189777171052,0.47010968742968295,0.4519668647445865,0.4678602344790039,0.4678602344790039,0.4328314922709067
hybrid,covariance_shear,128,20,2,1.0,0.95,0.04750000000000001,0.2125,0.878125,0.15055348033483695,0.430786150168034,0.4723248478917796,0.4723248478917796,0.45738433521548283,0.4302663005145912,0.40748399362748045,0.40748399362748045,0.40327467376583437
hybrid,covariance_shear,512,20,2,1.0,0.9,0.0325,0.0875,0.95068359375,0.17491723839334364,0.4333038838071707,0.46476562190603155,0.46476562190603155,0.45784979792897335,0.43609125867906473,0.41253424908252867,0.41253424908252867,0.40990575050385747
hybrid,nonlinear_bimodal,32,20,2,1.0,0.75,0.11500000000000002,0.35750000000000004,0.7546875,0.1169711137292659,0.43652806934423616,0.5825870009857184,0.5825870009857184,0.48696319096185914,0.43597396025207813,0.4254521747539905,0.4254521747539905,0.3940427821988778
hybrid,nonlinear_bimodal,128,20,2,1.0,0.9,0.04999999999999999,0.18,0.887890625,0.14193111818506435,0.432514969651357,0.4933786918931594,0.4933786918931594,0.4822554756518092,0.4358583630238817,0.39332300514187396,0.39332300514187396,0.38757627960880986
hybrid,nonlinear_bimodal,512,20,2,0.75,0.6,0.024999999999999998,0.06333333333333332,0.721875,0.17092222309890914,0.41598162649790005,0.45591685241591184,0.4354304126692935,0.4606111733120192,0.4191341016349616,0.3785705577011306,0.4067619605017814,0.3756709901434913
hybrid,outcome_dependent_dropout,32,20,2,0.8,0.5,0.1375,0.25,0.621875,0.17362483633489784,0.4561535702166971,0.5060965043790233,0.488413722373935,0.4781755769493185,0.4588959615742829,0.46856653720602176,0.4523744129745243,0.433633205447643
hybrid,outcome_dependent_dropout,128,20,2,0.3,0.2,0.0925,0.09166666666666667,0.279296875,0.1831562502349374,0.4621075893912644,0.5159709138602007,0.48716964293194076,0.4901582347848784,0.4623753519595408,0.4582729548636947,0.4549357440313041,0.43248395493698233
hybrid,outcome_dependent_dropout,512,20,2,0.0,0.0,0.1025,,0.0,,0.45608113077050383,0.5220761178985321,0.45608113077050383,0.4900327724605916,0.4504516250128499,0.46001379184423496,0.4504516250128499,0.42808174173076896
hybrid,pure_label_shift,32,20,2,1.0,1.0,0.1,0.3975,0.740625,0.09067653823763036,0.47248507139247053,0.7170106039609222,0.7170106039609222,0.6764053756183457,0.41307391610009236,0.35774691191939184,0.35774691191939184,0.3365981192774535
hybrid,pure_label_shift,128,20,2,1.0,1.0,0.06,0.2125,0.880078125,0.09330261078959257,0.3788127625288379,0.49587581088717964,0.49587581088717964,0.5043109694893136,0.3850686622378191,0.309085767536932,0.309085767536932,0.3005662563602004
hybrid,pure_label_shift,512,20,2,1.0,0.95,0.025000000000000005,0.11500000000000002,0.93388671875,0.1213687608844684,0.4065038108246971,0.5196197655702144,0.5196197655702144,0.5340964723059891,0.41354697552624337,0.32061379957711356,0.32061379957711356,0.3185311590047629
hybrid,support_translation,32,20,2,0.0,0.0,0.16,,0.0,,0.4392044033267104,0.6929430927213012,0.4392044033267104,0.4936174908274623,0.4202016722543694,0.5125161145625828,0.4202016722543694,0.4046377931490852
hybrid,support_translation,128,20,2,0.0,0.0,0.145,,0.0,,0.44346056932944516,0.6345960486821192,0.44346056932944516,0.49924521423853985,0.42231681750044203,0.502958911209033,0.42231681750044203,0.41139111260699057
hybrid,support_translation,512,20,2,0.0,0.0,0.16,,0.0,,0.43516155592000577,0.6710913980038287,0.43516155592000577,0.4927387570019963,0.4127821061806277,0.5111411263358553,0.4127821061806277,0.4052387961990112
hybrid,tail_contamination,32,20,2,1.0,1.0,0.09,0.4125,0.746875,0.11836273776753536,0.44330893538271754,0.516458975056643,0.516458975056643,0.47990885090462676,0.43468403241866105,0.41431876815896473,0.41431876815896473,0.4006797539121544
hybrid,tail_contamination,128,20,2,1.0,0.95,0.05500000000000001,0.20749999999999996,0.877734375,0.13930335283275733,0.42238579342767435,0.4904713830976202,0.4904713830976202,0.4617126913140462,0.4166318598077652,0.39885832626561857,0.39885832626561857,0.39027682867742053
hybrid,tail_contamination,512,20,2,1.0,0.85,0.027500000000000007,0.07000000000000002,0.955859375,0.17188166353171333,0.4293016583625356,0.45990782577937067,0.45990782577937067,0.45964647421097543,0.4320205108244619,0.4030188013943746,0.4030188013943746,0.39976917106931126
hybrid,unidentifiable_concept_reversal,32,20,2,1.0,0.3,0.4175,0.38249999999999995,0.790625,0.906213257522768,1.9940450883913616,2.14023755516562,2.14023755516562,2.0620689024178254,2.000096538413425,2.6289898942279923,2.6289898942279923,1.6969952534435908
