representation,mechanism,batch_size,episodes,seeds,acceptance_rate,prior_coverage,prior_mae,mean_set_width,mean_selective_coverage,mean_selective_error,zero_shot_bll,always_point_bll,gated_bll,prior_oracle_bll,zero_shot_log_loss,always_point_log_loss,gated_log_loss,prior_oracle_log_loss
hybrid,conditional_scale,32,200,10,0.965,0.87,0.10099999999999999,0.37305699481865284,0.74296875,0.14034838965652374,0.5452238740113918,0.6967952492004797,0.6778211857505987,0.6665567799593708,0.5598418171138215,0.47623731645949363,0.48219441328707285,0.4356345430349021
hybrid,conditional_scale,64,200,10,0.985,0.88,0.0735,0.2624365482233502,0.830546875,0.1462059819007701,0.5540008732521668,0.712481261091351,0.7015088337978785,0.6881227577216245,0.5597595904633594,0.4537791896532989,0.45796515803032073,0.4320912285849875
hybrid,conditional_scale,128,200,10,0.985,0.86,0.05625,0.1812182741116751,0.8866015625,0.15709410836387042,0.5501741468649667,0.6869207265226249,0.6810886328932391,0.6824766409820667,0.5554140712237359,0.44203513427444896,0.44681934605457685,0.428507166830269
hybrid,conditional_scale,256,200,10,0.945,0.85,0.040999999999999995,0.12724867724867725,0.87658203125,0.1635286280478051,0.5431602339714381,0.6718198835611805,0.6571632971106822,0.671584255430265,0.5496255047877123,0.43640804048881615,0.44956199885643927,0.4265836694413444
hybrid,conditional_scale,512,200,10,0.935,0.82,0.025,0.07994652406417112,0.89287109375,0.1680322455479396,0.5444851989086702,0.6668572807416411,0.6505728380732885,0.6711566059686228,0.5537762999339103,0.43176362749083724,0.4478800778071943,0.4277382754850404
hybrid,conditional_translation,32,200,10,0.71,0.525,0.11049999999999999,0.27992957746478875,0.58515625,0.13605176770041694,0.480686602248115,0.6564226284284497,0.6292608981649706,0.6270560272813022,0.4753694286566521,0.41381613947261814,0.450121841969693,0.363005346959511
hybrid,conditional_translation,64,200,10,0.56,0.43,0.087,0.17500000000000002,0.5040625,0.13539889586169382,0.4657821451721477,0.6074891996743899,0.58601266895699,0.6171035565908063,0.46789768344407984,0.38922535605291536,0.4306384023016613,0.35794334314874243
hybrid,conditional_translation,128,200,10,0.36,0.31,0.07725,0.1326388888888889,0.3365625,0.10904211303537482,0.4743397557039913,0.6140760591093815,0.5815701830764343,0.6340384954937914,0.47245815876803754,0.38766783224491236,0.43159901093361774,0.3613698744816304
hybrid,conditional_translation,256,200,10,0.29,0.255,0.08025,0.08879310344827587,0.27783203125,0.10352662544053678,0.4829248529279473,0.6231111880678938,0.5866477630103618,0.6447985385827542,0.47728321885456837,0.39285025467848783,0.43817588505266647,0.3631970011455221
hybrid,conditional_translation,512,200,10,0.23,0.215,0.073,0.0641304347826087,0.22376953125,0.08872821342674121,0.4762596725222793,0.6042301984401669,0.5601647397376045,0.6337350989806494,0.4739285281404965,0.3868963184934458,0.4357815140865584,0.3609361633903563
hybrid,covariance_shear,32,200,10,1.0,0.97,0.08574999999999999,0.3715,0.76515625,0.09424355726287047,0.43984665458684,0.6039534277436944,0.6039534277436944,0.5698377236990414,0.441051478150455,0.3684073336651692,0.3684073336651692,0.3449787221081476
hybrid,covariance_shear,64,200,10,1.0,0.935,0.07225,0.27949999999999997,0.828359375,0.10386763647312856,0.41604901596882216,0.5404924118873778,0.5404924118873778,0.5334913792293862,0.43050247209446807,0.34913821668176154,0.34913821668176154,0.3329750358513749
hybrid,covariance_shear,128,200,10,1.0,0.965,0.04649999999999999,0.19149999999999998,0.88875,0.11633696012562852,0.4334347455645118,0.5784997606370443,0.5784997606370443,0.5727567438639588,0.43074863566592136,0.34419121319455553,0.34419121319455553,0.3379029594404318
hybrid,covariance_shear,256,200,10,1.0,0.955,0.032,0.13674999999999998,0.92052734375,0.1263322780985571,0.4362356072477988,0.5708270498884506,0.5708270498884506,0.5752829066477309,0.43354782348873705,0.34309836819061457,0.34309836819061457,0.33974697537906623
hybrid,covariance_shear,512,200,10,0.995,0.905,0.025999999999999995,0.08944723618090453,0.944736328125,0.13318666453617484,0.4321265619652075,0.5522225599934215,0.5486515738756153,0.5647298022560799,0.4320775148204977,0.34024130790592333,0.3413581303202013,0.3369936483832107
hybrid,nonlinear_bimodal,32,200,10,0.965,0.885,0.09125,0.36191709844559583,0.7578125,0.09476150268024967,0.43080482382947904,0.5846802654928017,0.5720778775793119,0.5570598802907111,0.42766029424202634,0.36091104976194943,0.3641693124598806,0.3379797046800722
hybrid,nonlinear_bimodal,64,200,10,0.96,0.88,0.07325,0.25755208333333335,0.812890625,0.11195408754277109,0.4261257793675279,0.5612880529643196,0.5509688794435443,0.5632181032420415,0.4275084518360879,0.3506356851871076,0.3564171553345294,0.3365611960667965
hybrid,nonlinear_bimodal,128,200,10,0.92,0.85,0.051,0.17119565217391305,0.8266796875,0.12123576893943369,0.42074248099818834,0.559661504238851,0.5341907655123536,0.5552064355975814,0.4210042966845514,0.3402260278351246,0.3518500435146391,0.3300955523761232
hybrid,nonlinear_bimodal,256,200,10,0.85,0.745,0.0365,0.11147058823529411,0.796484375,0.13142958372923852,0.4228662794103459,0.5500562377978541,0.5182481484000653,0.5580127182708478,0.4239190318888785,0.3364638992837048,0.35713503267424557,0.33075794859476093
hybrid,nonlinear_bimodal,512,200,10,0.695,0.595,0.03175,0.07661870503597122,0.664931640625,0.13768520478404128,0.42267762456821467,0.5392987092915887,0.4919620668256416,0.552934000521576,0.42416401614352783,0.33645532056210464,0.3695563051131753,0.33240536935459986
hybrid,outcome_dependent_dropout,32,200,10,0.65,0.5,0.12025000000000001,0.2684615384615385,0.5240625,0.13606936873821826,0.46372804139338125,0.6053883631542164,0.578117864227048,0.6005297881230129,0.46147020955656326,0.4025704368296041,0.4354311906187771,0.3603017791754436
