representation,mechanism,batch_size,episodes,seeds,acceptance_rate,prior_coverage,prior_mae,mean_set_width,mean_selective_coverage,mean_selective_error,zero_shot_bll,always_point_bll,gated_bll,prior_oracle_bll
hybrid,conditional_scale,32,2,1,1.0,1.0,0.0,0.15,0.84375,0.14488636363636365,0.6175592061669931,0.6713410308953651,0.6713410308953651,0.6713410308953651
hybrid,pure_label_shift,32,2,1,1.0,1.0,0.15,0.3,0.6875,0.17894736842105263,0.5099677458211597,0.6629182856574365,0.6629182856574365,0.6106094475102535
hybrid,unidentifiable_concept_reversal,32,2,1,1.0,0.0,0.45000000000000007,0.30000000000000004,0.8125,0.9220389805097451,2.1363208508726745,2.176568498519352,2.176568498519352,2.295924664459969
learned,conditional_scale,32,2,1,1.0,1.0,0.0,0.30000000000000004,0.78125,0.11458333333333333,0.6175592061669931,0.6713410308953651,0.6713410308953651,0.6713410308953651
learned,pure_label_shift,32,2,1,1.0,0.5,0.3,0.30000000000000004,0.671875,0.171875,0.5099677458211597,0.5622765839683428,0.5622765839683428,0.6106094475102535
learned,unidentifiable_concept_reversal,32,2,1,1.0,0.0,0.45000000000000007,0.30000000000000004,0.8125,0.9220389805097451,2.1363208508726745,2.176568498519352,2.176568498519352,2.295924664459969
raw_linear,conditional_scale,32,2,1,1.0,1.0,0.0,0.15,0.84375,0.14488636363636365,0.6175592061669931,0.6713410308953651,0.6713410308953651,0.6713410308953651
raw_linear,pure_label_shift,32,2,1,1.0,1.0,0.15,0.3,0.6875,0.17894736842105263,0.5099677458211597,0.6629182856574365,0.6629182856574365,0.6106094475102535
raw_linear,unidentifiable_concept_reversal,32,2,1,1.0,0.0,0.45000000000000007,0.30000000000000004,0.8125,0.9220389805097451,2.1363208508726745,2.176568498519352,2.176568498519352,2.295924664459969
rff,conditional_scale,32,2,1,1.0,1.0,0.0,0.15,0.84375,0.14488636363636365,0.6175592061669931,0.6713410308953651,0.6713410308953651,0.6713410308953651
rff,pure_label_shift,32,2,1,1.0,1.0,0.15,0.3,0.6875,0.17894736842105263,0.5099677458211597,0.6629182856574365,0.6629182856574365,0.6106094475102535
rff,unidentifiable_concept_reversal,32,2,1,1.0,0.0,0.45000000000000007,0.30000000000000004,0.8125,0.9220389805097451,2.1363208508726745,2.176568498519352,2.176568498519352,2.295924664459969
